2363
qstr_{reg61}.0{reg62} {reg61}.0{reg62}
qstr_Quests_Completed:_{r Quests_Completed:_{reg0}
qstr_Companions_Found:_{r Companions_Found:_{reg0}
qstr_Companions_Lost/Depa Companions_Lost/Departed:_{reg0}
qstr_Wealth:_{reg0}_scill Wealth:_{reg0}_scillingas
qstr_Inventory:_{reg0}_sc Inventory:_{reg0}_scillingas
qstr_Renown:_{reg0} Renown:_{reg0}
qstr_Experience:_{reg0} Experience:_{reg0}
qstr_Days_Passed:_{reg0} Days_Passed:_{reg0}
qstr_Difficulty:_{reg0}% Difficulty:_{reg0}%
qstr_{!}{reg3?+:}{reg0} {!}{reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0} TOTAL_SCORE:_{reg0}
qstr_{!}DEBUG____Adding_{ {!}DEBUG_--_Adding_{reg3}_items_to_{s3}
qstr_{s0}__{s50}_ {s0}_({s50})
qstr_None None
qstr_{s55}__{reg0}%_ {s55}_({reg0}%)
qstr_{s55} {s55}
qstr_Wages_for_your_Shipc Wages_for_your_Shipcrew's:
qstr_Staff: Staff:
qstr_Tributes_from_your_n Tributes_from_your_nobles:
qstr_You_paid_{reg0}_cash You_paid_{reg0}_cash_to_liquidate_a_debt
qstr_Earlier_cash: Earlier_cash:
qstr_New_cash: New_cash:
qstr_Your_troops_are_unpa Your_troops_are_unpaid!__Morale_has_dropped.
qstr_{!}Custom_note_added {!}Custom_note_added.
qstr_Manage_Ship Manage_Ship
qstr_{s12}Ships_were_an_i {s12}Ships_were_an_important_part_of_society,_not_only_as_a_means_of_transportation,_but_also_for_the_prestige_that_it_conferred_on_her_owner_and_skipper.Their_ships_permitted_the_people_to_embark_on_their_voyages_of_trading,_of_raiding,_and_of_exploration.Typically,_a_warship_is_narrower,_longer,_and_is_powered_by_oars._The_warship_is_completely_open_and_is_built_for_speed_and_maneuverability.Cargo_carrying_capability_is_the_primary_concern._A_typical_warship_might_have_had_16_rowers_on_each_side.^^Warships_typically_had_minimal_decking,_with_removable_planks_under_the_rowers_laid_on_the_crossbeams_(right),_and_small_raised_platforms_at_the_bow_and_stern.When_anchored_or_in_harbor,_an_awning_was_arrayed_overhead_to_provide_some_protection_from_the_elements.A_war_ship_was_a_valuable_item,_not_only_for_the_prestige_and_monetary_value_that_went_to_her_owner,_but_also_for_her_utility_in_future_battles.As_a_result,_the_intent_in_naval_combat_was_to_gain_control_of_the_ship_(and_any_valuables_she_might_be_carrying)_while_minimizing_any_damage_to_the_ship.This_goal_was_achieved_not_by_attacking_the_ship,_but_rather_by_attaching_the_ship's_crew.The_attackers_attempted_to_sweep_the_decks_free_of_the_enemy_without_damaging_the_ship_or_her_gear,_and_thus_gain_control_of_the_ship.
qstr_Select_ship: Select_ship:
qstr_Name_your_ship: Name_your_ship:
qstr_Rename_Ship. Rename_Ship.
qstr_Send_ship_to_port: Send_ship_to_port:
qstr_Verify. Verify.
qstr_Manage_the_crew. Manage_the_crew.
qstr_View_the_ship_regist View_the_ship_registry.
qstr_This_is_your_ship__{ This_is_your_ship_'{s13}'._The_crew_is_currently_made_up_of_{reg7}_men.^^
qstr_Make_sure_you_select Make_sure_you_selected_a_ship
qstr_Your_ship_{s15}_succ Your_ship_{s15}_succesfully_set_sail_for_{s16}.
qstr_Make_sure_a_ship_is_ Make_sure_a_ship_is_selected,_it_has_a_sufficient_crew_and_there_is_room_for_another_ship_in_the_target_town.
qstr_This_area_of_{s1}_ca This_area_of_{s1}_can_best_be_described_as_the_very_core_of_the_town.^^_You_can_almost_see_the_strings_that_are_being_pulled_from_here,_the_money_that_comes_and_goes_at_seemingly_endless_rates.__Here_you_can_buy_the_land_that_is_cultivated_outside_the_towns_gates_and_benefit_from_the_ones_working_hard._Of_course_you_might_not_have_the_scillingas_required_to_do_so,_but_the_moneylenders_are_known_to_have_some_spare_change.
qstr_{reg1}_people_live_i {reg1}_people_live_in_{s1}._There_are_currently_{reg2}_acres_of_land_available_for_cultivation_to_provide_them_with__food_and_other_goods._You_own_{reg3}_acres_of_land_in_this_town._You_currently_owe_the_moneylenders_of_{s1}_{reg4}_scillingas._The_interest_rate_is_20%_and_the_contract_period_amounts__to_2_weeks._If_you_dont_manage_to_pay_off_your_debt_until_the_deadline,_the_interest_is_raised_to_40%._Buying_an_existing_acre_costs_{reg9}_scillingas,_while_it_sells_for_{reg10}_scillingas._Building_a_new_one_requires_{reg11}_scillingas._The_rent_paid_to_landowners_currently_accumulates_to_{reg13}_scillingas_per_acre_every_2_weeks_and_has_to_be_collected_in_the_town._Land_wont_be_rented_if_a_town_is_already_well_supplied.
qstr_Choose_how_many_acre Choose_how_many_acres_you_wish_to_sell_:
qstr_Choose_how_many_acres Choose_how_many_acres_you_wish_to_buy_:
qstr_{s2} {s2}
qstr_Buy_Land Buy_Land
qstr_Choose_how_much_mone Choose_how_much_money_you_wish_to_borrow_:
qstr_Borrow Borrow
qstr_Buy_and_prepare_uncu Buy_and_prepare_uncultivated_land_:
qstr_Prepare_Land Prepare_Land
qstr_Pay_off_your_debt_: Pay_off_your_debt_:
qstr_Make_Payment Make_Payment
qstr_{reg5} {reg5}
qstr_You_cant_sell_0_acre You_cant_sell_0_acres_of_land.
qstr_You_cant_buy_0_acres You_cant_buy_0_acres_of_land.
qstr_{reg6} {reg6}
qstr_You_cant_borrow_0_sc You_cant_borrow_0_scillingas.
qstr_{reg7} {reg7}
qstr_{reg8} {reg8}
qstr_You_cant_pay_back_0_ You_cant_pay_back_0_scillingas.
qstr_Town Town
qstr_Acres Acres
qstr_Owned Owned
qstr_Balance Balance
qstr_Assets Assets
qstr_Debt Debt
qstr_Deadline Deadline
qstr_{s9} {s9}
qstr_{reg2} {reg2}
qstr_{reg3} {reg3}
qstr_{reg4} {reg4}
qstr__Return_to_menu_ _Return_to_menu_
qstr_CURRENT_COMMANDER_S_ CURRENT_COMMANDER'S_REPORT!
qstr_Your_Commander:_{s19 Your_Commander:_{s19}
qstr_Commander_Relation:_ Commander_Relation:_{reg0}
qstr_Enlisted_Faction:_{s Enlisted_Faction:_{s20}
qstr_Current_Rank:_{s21} Current_Rank:_{s21}
qstr_N/A N/A
qstr_Experience_to_next_p Experience_to_next_promotion:_{s1}
qstr_Days_in_service:_{re Days_in_service:_{reg20}
qstr_Current_Wage:_{reg23 Current_Wage:_{reg23}_denars.
qstr_Next_Pay/Promotion_d Next_Pay/Promotion_day:_{s25}
qstr_Army_size:_{reg26} Army_size:_{reg26}
qstr_Commander_s_Army Commander's_Army
qstr_This_is_the_gambling This_is_the_gambling_screen._Hold_down_control_key_while_clicking_on_an_item_to_purchase_or_sell_it.
qstr_Money:_{s1} Money:_{s1}
qstr_You_don_t_have_enoug You_don't_have_enough_money.
qstr_He_don_t_have_enough He_don't_have_enough_money.
qstr__We_believe_the_enem _We_believe_the_enemy_has_{reg1}_troops_ready_for_battle.
qstr_We_ve_paid_a_bit_of_ We've_paid_a_bit_of_gold_to_assure_that_{s1}_aids_us._Their_party_is_{reg1}_troops_strong.
qstr_We_ve_paid_a_bit_of_g We've_paid_a_bit_of_gold_to_assure_that_{s1}_aids_us,_but_we_must_be_watchful_for_possible_betrayal._Their_party_is_{reg1}_troops_strong.
qstr_{s1}_will_most_assur {s1}_will_most_assuredly_aid_the_enemy,_bringing_{reg1}_troops_to_battle.
qstr_We_believe_{s1}_will We_believe_{s1}_will_withdraw_from_the_coming_battle._All_{reg1}_of_them_faint_at_the_sight_of_blood.
qstr_{s1}_is_obligated_to {s1}_is_obligated_to_join_us,_bringing_his_{reg1}_troops_to_battle.
qstr_{s1}_will_join_us_br {s1}_will_join_us,_bringing_{reg1}_troops_to_battle.
qstr_{s1}_feels_no_obliga {s1}_feels_no_obligation_to_aid_us._We_have_not_done_them_many_favors_in_the_past.
qstr__Report_^_Dispositio _Report_^_Disposition_of_nearby_parties_in_a_position_to_join_in_battle.
qstr___Continue__ __Continue__
qstr__of_the_{s2}. _of_the_{s2}.
qstr__Insult_{s1}. _Insult_{s1}.
qstr__Buy_food_supplies_f _Buy_food_supplies_from_{s1}.
qstr__Challenge_{s1}_to_a _Challenge_{s1}_to_a_duel.
qstr__Send_an_amphorae_of _Send_an_amphorae_of_wine_to_{s1},_as_a_gift.
qstr__Send_a_poisoned_amp _Send_a_poisoned_amphorae_of_wine_to_{s1},_as_a_gift.
qstr__Compose_a_message_t _Compose_a_message_to_{s1}{s9}
qstr_View_Current_Message View_Current_Message
qstr__Cancel_Message__ _Cancel_Message__
qstr_{s3} {s3}
qstr_{s8} {s8}
qstr__Send_Message_ _Send_Message_
qstr__Cancel_Message_ _Cancel_Message_
qstr__RETURN_ _RETURN_
qstr__is_not_present. _is_not_present.
qstr__capacity_is_{reg2}. _capacity_is_{reg2}.
qstr__As_you_look_over_th _As_you_look_over_the_carnage_and_debri_of_your_latest_victory,_you_realize_there_is_still_one_more_choice_to_be_made._You_decide_to...
qstr_have_your_troops_bur have_your_troops_bury_or_burn_the_dead,_cure_wounds_and_gather_any_loot.
qstr_You_estimate_that_it You_estimate_that_it_will_take_3_hours.
qstr_leave_the_dead_to_ro leave_the_dead_to_rot,_but_loot_the_corpses.
qstr_You_estimate_that_it_ You_estimate_that_it_will_take_1_hour.
qstr_bury_or_burn_the_dea bury_or_burn_the_dead,_cure_wounds_and_leave_any_remaining_loot_for_scavengers.
qstr_You_estimate_that_it_w You_estimate_that_it_will_take_2_hours.
qstr_leave_this_place_as_ leave_this_place_as_it_is_and_continue_your_journeys.
qstr__Supply_wagon{s16} _Supply_wagon{s16}
qstr__You_increase_morale _You_increase_morale_by_victory_in_battle.
qstr__After_the_bloody_ba _After_the_bloody_battle_you_decide_to:
qstr_Deal_with_the_priest Deal_with_the_priests,_women_and_some_companions_of_the_wounded_and_dead.
qstr_Join_more_greedy_men Join_more_greedy_men_and_try_to_gather_as_much_gold_as_possible.
qstr_You_re_not_a_thug_ju You're_not_a_thug,_just_need_the_wealth_provided_by_your_master._You_stay_with_him,_faithfully_following.
qstr__Your_lord_is_not_ve _Your_lord_is_not_very_happy,_with_a_few_friends_you_leave_him_alone._He_does_not_want_sycophants_around_him.
qstr__Your_lord_gives_you _Your_lord_gives_you_some_iron_rings,_a_symbol_of_your_bravery,_and_some_money.
qstr__Your_lord_gives_you_ _Your_lord_gives_you_a_warrior_bracelet_as_a_reward_for_your_courage.
qstr__Your_lord_pats_your _Your_lord_pats_your_back,_congratulating_you_on_the_victory.
qstr__No_one _No_one
qstr__Assign_a_hero_to_co _Assign_a_hero_to_command_your_supply_wagon.
qstr__{s2}_is_currently_l _{s2}_is_currently_leading_the_wagon.
qstr_Kingdom Kingdom
qstr_Distance Distance
qstr___{reg2}_Km __{reg2}_Km
qstr_Select_a_town_for_th Select_a_town_for_the_supply_wagon_to_trade_with.
qstr__None_ _None_
qstr__Supply_Wagon_Manage _Supply_Wagon_Management_
qstr__Current_Wagon_Maste _Current_Wagon_Master:^{s2}_
qstr__Current_Trade_Town: _Current_Trade_Town:^_{s1}_
qstr__Wagon_Space_Availab _Wagon_Space_Available:^_{reg2}_
qstr__Assign_a_hero_to_com _Assign_a_hero_to_command_the_supply_wagon.
qstr__Assign_soldiers_to_ _Assign_soldiers_to_guard_the_supply_wagon.
qstr__Assign_a_town_for_t _Assign_a_town_for_the_supply_wagon_to_trade_with.
qstr__Inspect_the_supply_ _Inspect_the_supply_wagon's_current_inventory.
qstr__Send_the_supply_wag _Send_the_supply_wagon_on_a_trade_run.
qstr__Abandon_the_supply_ _Abandon_the_supply_wagon_and_everything_in_it_in_order_to_travel_faster.
qstr_____You_must_assign_ ____You_must_assign_a_leader_before_the_supply_wagon_can_make_a_trade_run!
qstr_Name:_{s1}^Level:_{r Name:_{s1}^Level:_{reg1}
qstr_{s1}^HP:_{reg0} {s1}^HP:_{reg0}
qstr_{s1} {s1}
qstr_Attributes: Attributes:
qstr_{s3}^STR:_{reg1}^INT {s3}^STR:_{reg1}^INT:_{reg2}^^Skills:
qstr_{s3}^Power_Strike:_{ {s3}^Power_Strike:_{reg1}^Power_Draw:_{reg2}^Power_Throw:_{reg3}^Horse_Archery:_{reg4}^^Weapon_Proficiencies:
qstr_{s3}^1_Hand_Wpns:_{r {s3}^1_Hand_Wpns:_{reg1}^2_Hand_Wpns:_{reg2}^Polearms:_{reg3}
qstr_{s4}^AGI:_{reg1}^CHA {s4}^AGI:_{reg1}^CHA:_{reg2}^^
qstr_{s4}^Ironflesh:_{reg {s4}^Ironflesh:_{reg1}^Athletics:_{reg2}^Shield:_{reg3}^Riding:_{reg4}^^
qstr_{s4}^Archery:_{reg1} {s4}^Archery:_{reg1}^Crossbows:_{reg2}^Throwing:_{reg3}
qstr_{s4} {s4}
qstr_Equipments:_ Equipments:_
qstr__Back_to_shop_ _Back_to_shop_
qstr_Strength Strength
qstr_Riding Riding
qstr_Pdraw Pdraw
qstr_Pthrow Pthrow
qstr_1_hand 1-hand
qstr_2_hand 2-hand
qstr_Polearm Polearm
qstr_Archery Archery
qstr__X_bow_ _X-bow_
qstr_Throwing_ Throwing_
qstr___Others __Others
qstr__Mode _Mode
qstr__to_next_lvl_ (to_next_lvl)
qstr__1.3_ _1.3_
qstr_If_you_can_see_this_ If_you_can_see_this,_buy_a_new_cpu.
qstr___Weapons_ _-Weapons-
qstr___Armor_ _-Armor-
qstr_________________n/a_ ________________n/a________________
qstr_{reg1} {reg1}
qstr_Rides Rides
qstr_Walks Walks
qstr_Startpage_set__Quick Startpage_set_(Quick_View)
qstr_Back_to_shop Back_to_shop
qstr__[?]_ _[?]_
qstr_Hotkeys:^HOME_=_Set_ Hotkeys:^HOME_=_Set_startpage^RMB_=_Exit_to_menu^ESCAPE_=_Quick_View^BACKSPACE_=_Back_to_shop_(if_visited)
qstr___Quit2__ -_Quit2_-
qstr__Quick_View_ _Quick_View_
qstr_______ ______
qstr_Attributes Attributes
qstr_Skills Skills
qstr_Proficiencies Proficiencies
qstr_STR: STR:
qstr_AGI: AGI:
qstr_INT: INT:
qstr_CHA: CHA:
qstr_Health: Health:
qstr_Level: Level:
qstr_To_next_lvl:_ To_next_lvl:_
qstr_Ironflesh^Power_Stri Ironflesh^Power_Strike^Power_Throw^Power_Draw^Weapon_Master^Shield^Athletics^Riding^Horse_Archery^Looting^Trainer^Tracking^
qstr_Tactics^Path_finding Tactics^Path-finding^Spotting^Inventory_Management^Wound_Treatment^Surgery^First_Aid^Engineer^Persuasion^Prisoner_Management^Leadership^Trade
qstr_10 10
qstr_One_Handed_Weapons:^ One_Handed_Weapons:^^Two_Handed_Weapons:^^Polearms:^^Archery:^^Crossbows:^^Throwing:^^Slings:
qstr_350^^350^^350^^350^^ 350^^350^^350^^350^^350^^350^^350
qstr__{reg1}_ _{reg1}_
qstr__100%__ _100%__
qstr__30_ _30_
qstr__3333333333_ _3333333333_
qstr__Weapons_ -Weapons-
qstr__Armor_ -Armor-
qstr_n/a_________________ n/a________________________________
qstr_{s9}_feels... {s9}_feels...
qstr_{s6} {s6}
qstr_your_choice_of_compa your_choice_of_companions,
qstr_{s7} {s7}
qstr_your_style_of_leader your_style_of_leadership_and...
qstr_the_general_state_of the_general_state_of_affairs.^------------------------------
qstr_Morale:_____________ Morale:_______________________^^Origin:__________
qstr_State:______________ State:_______________________
qstr_Startpage_set__Exten Startpage_set_(Extended_View)
qstr__Faction_Relations_R _Faction_Relations_Report_
qstr_Player^Relation Player^Relation
qstr_Status Status
qstr_Relation Relation
qstr_War War
qstr_Casus_Belli Casus_Belli
qstr_Peace Peace
qstr_Truce Truce
qstr_Alliance Alliance
qstr_Defense_Pact Defense_Pact
qstr_Trade_Agreement Trade_Agreement
qstr_{s60} {s60}
qstr_{reg59?{reg59}_days: {reg59?{reg59}_days:}
qstr_{reg61} {reg61}
qstr_Loyal Loyal
qstr_Devoted Devoted
qstr_Fond Fond
qstr_Gracious Gracious
qstr_Friendly Friendly
qstr_Supportive Supportive
qstr_Favorable Favorable
qstr_Cooperative Cooperative
qstr_Accepting Accepting
qstr_Indifferent Indifferent
qstr_Suspicious Suspicious
qstr_Grumbling Grumbling
qstr_Hostile Hostile
qstr_Resentful Resentful
qstr_Angry Angry
qstr_Hateful Hateful
qstr_Revengeful Revengeful
qstr_Vengeful Vengeful
qstr_{reg61}_{reg58?_{reg {reg61}_{reg58?({reg58}_U)_:}Centers
qstr_{reg62}_Caravans {reg62}_Caravans
qstr_{reg60}_{reg59?_{reg {reg60}_{reg59?({reg59}_P)_:}Lords
qstr__Courtships_in_progr _Courtships_in_progress_
qstr__Known_Lords_by_Rela _Known_Lords_by_Relation_
qstr__Character_&_Compani _Character_&_Companions_
qstr__Done_ _Done_
qstr_Your_supporters Your_supporters
qstr_Centware Centware
qstr_Suth_Seaxna Suth_Seaxna
qstr_East_Seaxna East_Seaxna
qstr_East_Englas East_Englas
qstr_Gewissae Gewissae
qstr_Hwicce Hwicce
qstr_All_Cultures All_Cultures
qstr_Dumnonia Dumnonia
qstr_Mierce Mierce
qstr_Ynys_Manaw Ynys_Manaw
qstr_Pengwern Pengwern
qstr_Goutodin Goutodin
qstr_Bernaccia Bernaccia
qstr_Lindisware Lindisware
qstr_Reghed Reghed
qstr_Crafu Crafu
qstr_Connaught Connaught
qstr_Alt_Clut Alt_Clut
qstr_Dal_Riata Dal_Riata
qstr_Cait Cait
qstr_Ceredigion Ceredigion
qstr_Powys Powys
qstr_Gwynedd Gwynedd
qstr_Dyfed Dyfed
qstr_Brycheiniog Brycheiniog
qstr_Gwent Gwent
qstr_Laigin Laigin
qstr_Desmumu Desmumu
qstr_Ulaid Ulaid
qstr_Ui_Neill Ui_Neill
qstr_Airgialla Airgialla
qstr_F4___Formation_types F4_-_Formation_types
qstr_F5___Weapon_orders F5_-_Weapon_orders
qstr_F6___Skirmish_orders F6_-_Skirmish_orders
qstr_F7___Memorize_Div._P F7_-_Memorize_Div._Placement
qstr_F8___Default_Divisio F8_-_Default_Division_Placement
qstr_F4___Ranks F4_-_Ranks
qstr_F5___Shieldwall F5_-_Shieldwall
qstr_F6___Wedge F6_-_Wedge
qstr_F7___Square F7_-_Square
qstr_F8___No_Formation F8_-_No_Formation
qstr_F5___One_Handers F5_-_One_Handers
qstr_F6___Two_Hands_&_Pol F6_-_Two_Hands_&_Pole
qstr_F7___Ranged F7_-_Ranged
qstr_F8___Shields F8_-_Shields
qstr_F5___Skirmish F5_-_Skirmish
qstr_F6___Melee F6_-_Melee
qstr_Disable_mod_formatio Disable_mod_formations:
qstr_Put_player_in_divisi Put_player_in_division:
qstr_Formations_rotate_to Formations_rotate_to_face_enemy_center:
qstr_Make_large_battles_s Make_large_battles_smoother,_AI_dumber:
qstr_Prevent_AI_from_taki Prevent_AI_from_taking_defensive:
qstr_What_will_your_party What_will_your_party_be_known_as?
qstr_By_the_name_entered_ By_the_name_entered_above.
qstr_Simply_by_my_name:_{ Simply_by_my_name:_{s5}.
qstr_What_will_your_fort_ What_will_your_fort_be_known_as?
qstr_Simply_by:_{s5}. Simply_by:_{s5}.
qstr__{s2}_siege_camp. _{s2}_siege_camp.
qstr_Co_op_Mode Co-op_Mode
qstr_Battle_size Battle_size
qstr_Use_spawn_formations Use_spawn_formations
qstr_Skip_menu_buttons Skip_menu_buttons
qstr_Disable_active_inven Disable_active_inventory_
qstr_Reduce_damage_to_pla Reduce_damage_to_players.
qstr_Load_Battle Load_Battle
qstr_Native_Admin_Panel Native_Admin_Panel
qstr_All_troops_in_party All_troops_in_party
qstr_Infantry_in_party Infantry_in_party
qstr_Archers_in_party Archers_in_party
qstr_Cavalry_in_party Cavalry_in_party
qstr_Start_battle. Start_battle.
qstr_Choose_Character Choose_Character
qstr_Choose_Troops Choose_Troops
qstr_Start_Battle Start_Battle
qstr_Show_Game_Rules Show_Game_Rules
qstr_Access_Inventory Access_Inventory
qstr_Toggle_xp_Messages Toggle_xp_Messages
qstr_End_Battle End_Battle
qstr_Messages:_off Messages:_off
qstr_Messages:_show_xp Messages:_show_xp
qstr_Troops_{reg1} Troops_{reg1}
qstr_Reserves_{reg0} Reserves_{reg0}
qstr_{s1}_as_{s2} {s1}_as_{s2}
qstr_right_position right_position
qstr_left_position left_position
qstr_ERROR!_KEINE_ENTSCHE ERROR!_KEINE_ENTSCHEIDUNG!
qstr_Error_1_in_calculate Error_1_in_calculate_dockingpoint
qstr_Aground! Aground!
qstr_Boarding_Stopt! Boarding_Stopt!
qstr_boarding_in_progress boarding_in_progress!
qstr_ERROR!_NO_SECOND_SHI ERROR!_NO_SECOND_SHIP_FOUND!
qstr_Collision! Collision!
qstr_Boarding_enemy_ship! Boarding_enemy_ship!
qstr_Boarding_f_ship! Boarding_f_ship!
qstr_Free_Boarding! Free_Boarding!
qstr_Forced_Boarding_left Forced_Boarding_left!
qstr_Forced_Boarding_righ Forced_Boarding_right!
qstr_just_collide! just_collide!
qstr_{!}DEBUG_:_Completed {!}DEBUG_:_Completed_faction_troop_assignments,_cheat_mode:_{reg3}
qstr_{!}DEBUG____initial_ {!}DEBUG_--_initial_war/peace_check_begins
qstr_{!}DEBUG_:_Completed_ {!}DEBUG_:_Completed_political_events,_cheat_mode:_{reg3}
qstr_{!}DEBUG_:_Assigned_ {!}DEBUG_:_Assigned_love_interests._Attraction_seed:_{reg3}
qstr_{!}DEBUG_:_Located_k {!}DEBUG_:_Located_kingdom_ladies,_cheat_mode:_{reg3}
qstr_{!}DEBUG_:_SYSTEM_ER {!}DEBUG_:_SYSTEM_ERROR!
qstr__near_{s10} _near_{s10}
qstr_Your_recruiter_who_w Your_recruiter_who_was_commissioned_to_recruit_{reg10}_recruits_to_{s13}_has_been_defeated{s10}!
qstr_Your_caravan_sending Your_caravan_sending_{s12}_to_{s13}_has_been_defeated_{s10}!
qstr_Your_messenger_on_th Your_messenger_on_the_way_to_{s13}_has_been_defeated_{s10}!
qstr_Your_soldiers_patrol Your_soldiers_patrolling_{s13}_have_been_defeated_{s10}!
qstr_A_scout_trying_to_ga A_scout_trying_to_gather_information_about_{s13}_has_been_slain_{s10}!
qstr_{!}DEBUG_:_Prisoner_ {!}DEBUG_:_Prisoner_granted_parole
qstr_{!}DEBUG_:_Prisoner_n {!}DEBUG_:_Prisoner_not_offered_parole
qstr_{s1}_of_{s3}_was_def {s1}_of_{s3}_was_defeated_in_battle_but_managed_to_escape.
