3604
qstr_Breaking_camp... Breaking_camp...
qstr__Your_tactics_skill_ _Your_tactics_skill_has_increased_by_1.
qstr__Your_persuasion_ski _Your_persuasion_skill_has_increased_by_1.
qstr__Your_leadership_ski _Your_leadership_skill_has_increased_by_1.
qstr__Your_intelligence_h _Your_intelligence_has_increased_by_1.
qstr__Your_trade_skill_ha _Your_trade_skill_has_increased_by_1.
qstr__Your_weapon_master_ _Your_weapon_master_skill_has_increased_by_1.
qstr__Your_engineer_skill _Your_engineer_skill_has_increased_by_1.
qstr_You_have_finished_re You_have_finished_reading_{s1}.{s2}
qstr_Book_Read Book_Read
qstr_Christian_monastery Christian_monastery
qstr_Christian_church Christian_church
qstr_shrine_to_Norse_gods shrine_to_Norse_gods
qstr_temple_to_Odin temple_to_Odin
qstr_People_of_{s24}_are_ People_of_{s24}_are_unhappy_with_your_religious_intolerance,_and_destroyed_{s25}.
qstr_You_have_{reg0}_days You_have_{reg0}_days_to_finish_this_quest.
qstr_{s1}_is_scouted. {s1}_is_scouted.
qstr_{!}DEBUG___{s4}_facti {!}DEBUG_-_{s4}_faction_changed_from_slot_troop_change_to_faction
qstr_{s1}_has_switched_fr {s1}_has_switched_from_the_{s2}_to_the_{s3}.
qstr_{!}DEBUG_:_{s2}_is_b {!}DEBUG_:_{s2}_is_besieged_by_{s3}
qstr_{!}DEBUG___Checking_ {!}DEBUG_-_Checking_fire_at_{s4}_for_{s5}_-_current_time_{reg3},_last_nearby_fire_{reg4}
qstr_The_merchants__rest_ The_merchants'_rest_hall_in_{s1}_adds_to_its_prosperity.
qstr_Christian_monastery_ Christian_monastery_at_{s33}_improves_Christian_faith_in_{s34}.
qstr_Pagan_hof_at_{s33}_r Pagan_hof_at_{s33}_reduces_Christian_faith_in_{s34}.
qstr_The_scriptorium_in_{ The_scriptorium_in_{s1}_adds_to_your_renown.
qstr_Due_to_the_good_word Due_to_the_good_word_Christian_clergymen_spread_about_you,_your_relationship_with_the_{s1}_improves.
qstr_Due_to_the_bad_word_ Due_to_the_bad_word_Christian_clergymen_spread_about_you,_your_relationship_with_the_{s1}_declines.
qstr_{s1}_has_become_host {s1}_has_become_hostile_to_you_due_to_your_mistreatment_of_Christian_subjects.
qstr_Faction_became_hosti Faction_became_hostile
qstr_Due_to_the_good_word_ Due_to_the_good_word_influential_pagans_spread_about_you,_your_relationship_with_the_{s1}_improves.
qstr_Due_to_the_bad_word_i Due_to_the_bad_word_influential_pagans_spread_about_you,_your_relationship_with_the_{s1}_declines.
qstr_{s1}_has_become_hosti {s1}_has_become_hostile_to_you_due_to_your_mistreatment_of_Pagan_subjects.
qstr_{s13}_has_too_many_t {s13}_has_too_many_troops_garrisoned_in_and_may_be_picked_by_marshal_to_levy_soldiers.
qstr_most most
qstr_half half
qstr_some some
qstr_few few
qstr_There_are_too_many_m There_are_too_many_men_in_your_Refuge._Some_of_them_became_unhappy_and_deserted!
qstr_Refuge_Garrison Refuge_Garrison
qstr_You_receive_word_tha You_receive_word_that_the_trainer_at_{s1}_has_completed_his_task.
qstr_TEST:_I_moved_Lords_ TEST:_I_moved_Lords_to_St_Helena.
qstr_TEST:_I_bring_Lords_ TEST:_I_bring_Lords_back.
qstr_Physicians_in_larger Physicians_in_larger_towns_can_treat_the_wounds_for_a_price,_after_which_they_will_heal_within_a_few_days._Any_negative_effects_will_then_be_removed.
qstr_You_are_wounded You_are_wounded
qstr_{s1}You_have_only_on {s1}You_have_only_one_day_left_to_take_care_of_{reg7}_of_your_injuries._Visit_a_physician_in_a_larger_town_to_do_so.^^
qstr_{s1}{reg7}_of_your_i {s1}{reg7}_of_your_injuries_{reg8?have:has}_become_permanent_because_{reg8?they_haven't_been:it_wasn't}_tended.^^
qstr_{s1}{reg7}_of_your_w {s1}{reg7}_of_your_wounds_{reg8?are:is}_cured,_and_your_related_abilities_aren't_limited_any_more.
qstr_{s1} {s1}
qstr_Wound_Report Wound_Report
qstr_A_ship_has_been_buil A_ship_has_been_built_for_you_in_{s0}.
qstr_Ship_finished Ship_finished
qstr_{s0}_has_recovered_f {s0}_has_recovered_from_being_raided.
qstr_By_now_you_have_more By_now,_you_have_more_than_one_ship._In_a_sea_battle_you_can_give_a_'stand_ground'_or_'charge'_command_to_your_ships_by_giving_it_to_class_number_nine,_like_you_give_commands_to_a_troop_class_in_a_field_battle._The_first_troops_in_your_army_list_will_be_together_with_you_on_the_flagship._The_other_troops_will_be_in_the_following_ships._You_can_change_your_flagship_in_a_port_and_while_camping_on_the_sea._If_you_are_next_to_a_coast_you_can_also_split_your_fleet_while_camping_on_the_sea_or_search_for_the_closest_landing_point_with_a_right_click_on_your_party.
qstr_Ship_management Ship_management
qstr_Your_troops_are_angr Your_troops_are_angry,_because_they_hate_to_spend_the_night_on_sea.
qstr_Your_troops_feel_une Your_troops_feel_uneasy_about_crossing_the_sea.
qstr_Severe_weather_has_d Severe_weather_has_damaged_the_{s1}_({s7}).
qstr_Severe_weather_has_de Severe_weather_has_destroyed_the_{s1}_({s7}).
qstr_vSeason vSeason
qstr_vWindStrength vWindStrength
qstr_The_weather_changed_ The_weather_changed_to:_'Calm'
qstr_The_weather_changed_t The_weather_changed_to:_'Light_breeze'
qstr_The_weather_changed_to The_weather_changed_to:_'Moderate_breeze'
qstr_The_weather_changed_to: The_weather_changed_to:_'Strong_breeze'
qstr_The_weather_changed_to:_ The_weather_changed_to:_'High_wind'
qstr_The_weather_changed_to:__ The_weather_changed_to:_'Gale'
qstr_The_weather_changed_to:__S The_weather_changed_to:_'Storm'
qstr_The_operation_of_the The_operation_of_the_slave_market_in_{s33}_reduces_your_reputation.
qstr_DEBUG_rebellion:_che DEBUG_rebellion:_checking_faction_{s1}_on_day_{reg1}
qstr_DEBUG_rebellion:_fac DEBUG_rebellion:_faction_{s1}_reborn_on_day_{reg1}
qstr__Possible_Rebellion_ (Possible_Rebellion)_Rumors_say_that_{s14}_recruits_from_your_kingdom_despite_your_leadership.
qstr__Possible_Rebellion__ (Possible_Rebellion)_Rumors_say_that_{s14}_will_surely_attempt_to_restore_his_kingdom.
qstr__Possible_Rebellion__R (Possible_Rebellion)_Rumors_say_that_{s14}_is_still_alive.
qstr__Possible_Rebellion__Ru (Possible_Rebellion)_Rumors_say_that_{s14}_is_stockpiling_weapons_and_is_seeking_support_among_the_Franks.
qstr__Possible_Rebellion__Rum (Possible_Rebellion)_Rumors_say_that_{s14}_meets_in_secret_with_his_faithful.
qstr__Possible_Rebellion__Rumo (Possible_Rebellion)_Rumors_say_that_people_favor_the_restoration_of_{s14}.
qstr__Possible_Rebellion__Rumor (Possible_Rebellion)_Rumors_say_that_{s14}_is_gathering_an_army_to_regain_his_throne.
qstr__Possible_Rebellion__Rumors (Possible_Rebellion)_Rumors_say_that_{s14}_is_stockpiling_weapons.
qstr__ _
qstr_Congratulations!_You Congratulations!_You've_managed_to_imprison_seven_or_more_lords_at_{s13}._You_really_are_a_true_dungeon_master.
qstr_Dungeon_master_Achie Dungeon_master_Achievement
qstr_Congratulations!_You_ Congratulations!_You've_managed_to_make_five_or_more_women_your_lovers._Ladies_must_be_heads_over_heels_for_you,_so_certainly_you_must_feel_proud_to_be_in_such_a_demand._Keep_up_the_good_work!
qstr_Skirt_Chaser_Achieve Skirt_Chaser_Achievement
qstr_Congratulations!_You_v Congratulations!_You've_managed_to_tuck_away_25_or_more_barrels_of_wine_in_your_household_storage,_a_great_feat_considering_you_are_in_the_part_of_the_world_more_known_for_mead_and_ale._Either_you_have_a_drinking_problem,_or_you_are_a_true_wine_connoisseur.
qstr_Wine_Connoisseur_Ach Wine_Connoisseur_Achievement
qstr_{s33}_revokes_your_r {s33}_revokes_your_right_to_recruit_in_{s34}_due_to_bad_relations_between_you_two.
qstr_The_village_leader_o The_village_leader_of_{s34}_revokes_your_right_to_recruit_due_to_bad_relations_between_you_and_his_village.
qstr_fixing_banners;_plea fixing_banners;_please_reset_your_banner
qstr_unable_to_restore_ba unable_to_restore_banner_{reg0}_assigned_to_troop_{reg1}
qstr_Prisoners_revolted!_ Prisoners_revolted!_near_{s33}
qstr_Your_gift_sent_to_{s Your_gift_sent_to_{s13}_appeared_to_improve_your_relations_with_him.
qstr_Gift_Sent_to_Lord Gift_Sent_to_Lord
qstr_Tutorial Tutorial
qstr_Recruiting_warriors Recruiting_warriors
qstr_{!}DEBUG____Wanted_b {!}DEBUG_--_Wanted_bandits_spotted_by_{s4}
qstr_{!}{s4}_is_in_{s5} {!}{s4}_is_in_{s5}
qstr_Your_troops_feel_ref Your_troops_feel_refreshed_from_the_night's_rest.
qstr_Your_men_need_rest_o Your_men_need_rest_or_their_morale_will_suffer.
qstr_Foragers Foragers
qstr_Scouts Scouts
qstr_Morale Morale
qstr_Each_day_of_the_sieg Each_day_of_the_siege,_you_need_to_cover_a_number_of_expenses._You_pay_for_rewards,_digging_latrines,_cleaning_stables,_buying_and_bringing_water_and_food,_cooking,_entertaining_the_troops...
qstr_You_do_not_have_mone You_do_not_have_money_to_cover_the_basic_expenses_of_a_siege._This_greatly_undermines_morale.
qstr_{!};Date:{reg0} {!};Date:{reg0},
qstr_{!}{s31}/{reg1}{reg0 {!}{s31}/{reg1},{reg0}
qstr_{!}{s31}/Others{reg0 {!}{s31}/Others,{reg0}
qstr_{!}{s40}{s31};/ {!}{s40}{s31};/
qstr_{!}Templates: {!}Templates:
qstr_{!}{s31}/{reg0}{reg1 {!}{s31}/{reg0},{reg1},{reg2},{reg3}
qstr_{!}{s31}{s40} {!}{s31}{s40}
qstr_{!}Date:{reg0} {!}Date:{reg0},
qstr_{!}{s40}{reg9}{reg7} {!}{s40}{reg9},{reg7},{reg8},{reg1},{reg2},{reg3},{reg4},{reg5},{reg0}
qstr_{!}{s31}^{s40} {!}{s31}^{s40}
qstr_{!}DEBUG:_Talk_troop {!}DEBUG:_Talk_troop_{s1}_party_{s2}_faction_{s4}_at_{s3}._Relations:_personal_{reg1}_faction/personal_{reg2}_faction/kingdom_{reg3}
qstr_{reg65?my_Lady:my_Lo {reg65?my_Lady:my_Lord}
qstr_{reg65?My_Lady:My_Lo {reg65?My_Lady:My_Lord}
qstr_{reg65?madame:sir} {reg65?madame:sir}
qstr_{reg65?Madame:Sir} {reg65?Madame:Sir}
qstr_{!}DEBUG____Talk_con {!}DEBUG_--_Talk_context:_{reg4}
qstr_{!}DEBUG____Time_sin {!}DEBUG_--_Time_since_last_talk:_{reg4}
qstr_Dog Dog
qstr_Welcome_landlubber._ Welcome,_landlubber._I_am_the_shipwright_here.
qstr_Welcome_{reg59?lady: Welcome,_{reg59?lady:lord}_{playername}.
qstr_Welcome_{reg59?madam Welcome,_{reg59?madame:sir}.
qstr_Welcome. Welcome.
qstr_Your_ship_is_in_a_ba Your_ship_is_in_a_bad_condition._You_should_consider_repairing_it_here_in_my_shipyard.
qstr_The_{s7}_is_the_most The_{s7}_is_the_most_glorious_ship_I_have_ever_seen._It_is_a_great_honour,_my_{reg59?lady:lord},_to_have_her_here_in_our_port.
qstr_Your_ship_is_of_poor Your_ship_is_of_poor_quality._You_may_want_to_consider_buying_a_better_ship_from_me.
qstr_That_s_a_decent_ship That's_a_decent_ship_you_have_there.
qstr_Your_ship_the_{s7}_i Your_ship,_the_{s7},_is_marvellous._My_workers_could_apply_some_fresh_varnish_and_paint_if_you_like.
qstr_The_{s7}_is_a_wonder The_{s7}_is_a_wonderful_ship._I'm_happy_to_see_her_in_my_port.
qstr_{s2}_{s3} {s2}_{s3}
qstr_You_are_already_in_{ You_are_already_in_{s1}.
qstr__and_your_troops _and_your_troops
qstr_There_is_a_ship_that There_is_a_ship_that_can_bring_you{s3}_to_the_port_of_{s1}_for_{reg1}_peningas.
qstr_I_changed_my_mind. I_changed_my_mind.
qstr_For_a_ship_of_this_s For_a_ship_of_this_size,_I_don't_have_enough_timber,_tar_and_wool,_so_I_need_you_to_bring_these_extra_items._
qstr___He_indicates_the_f --He_indicates_the_far_side_of_the_bay_with_his_arm.--
qstr_Now_you_must_join_th Now_you_must_join_the_fleet_led_by_Sven_Bull_Neck_and_Harald_Haraldsson,_which_soon_leaves_Ribe_for_Englaland._Your_destiny_once_again_leads_you_to_other_lands.
qstr___His_eyes_shine.__ --His_eyes_shine.--
qstr_The_port_master_of_R The_port_master_of_Ribe_gave_you_the_location_of_Sven's_hideout:_southeast_of_{s3}._Go_there_to_rescue_the_Woden_Ric_prisoners.
qstr___He_approaches_you_ --He_approaches_you_until_you_can_smell_the_cheap_beer_on_his_breath.--
qstr___He_looks_with_a_pe --He_looks_with_a_perverse_look.--
qstr_The_port_master_of_Ri The_port_master_of_Ribe_wants_a_book_called_'The_Cathach_of_Colum_Cille,'_which_is_in_Gleann_Da_Loch,_a_monastery_near_{s3},_in_Eriu,_Hibernia.
qstr_The_port_master_from The_port_master_from_Ribe_gave_you_the_location_of_Sven's_hideout:_southeast_of_{s3}._Go_there_to_rescue_the_Woden_Ric_prisoners.
qstr___He_gives_you_a_str --He_gives_you_a_strange_look.--
qstr_The_port_master_of_{ The_port_master_of_{s4}_wants_you_to_deliver_a_pack_of_furs_to_{s3}_in_Eriu,_to_the_local_merchant,_called_Hogni.
qstr_The_port_master_from_ The_port_master_from_{s4}_gave_you_the_location_of_Odin's_cave:_near_{s3}._Go_there_to_recover_Bodo's_letter.
qstr_The_port_master_from_R The_port_master_from_Ribe_gave_you_the_location_of_Odin's_cave:_near_{s3}._Go_there_to_recover_Bodo's_letter.
qstr_Embark_on_your_boat_ Embark_on_your_boat,_join_the_fleet,_and_lead_it_to_Douar-an-Enez.
qstr_Perhaps_there_is_a_l Perhaps_there_is_a_little_time_left_until_the_end_of_the_world._(Phlegmatic)
qstr_You_re_right!_The_co You're_right!_The_coming_of_the_Vikings_shows_that_it's_truly_the_End!_(Melancholic)
qstr_The_Bible_also_says_ The_Bible_also_says_that_a_king_will_unite_all_the_earth._I_am_that_king._(Choleric)
qstr_A_change_in_the_worl A_change_in_the_world_just_makes_more_opportunity_for_the_bold,_that's_all._(Sanguine)
qstr_I_appreciate_your_re I_appreciate_your_reassuring_words,_but_I'm_afraid_that_the_end_of_the_world_has_already_been_set,_and_nothing_that_we_do_or_say_will_alter_it._All_we_can_do_is_wait_and_fight_until_the_armies_of_God_come.
qstr_Exactly!_West_Seaxe_ Exactly!_West_Seaxe_is_the_last_bastion_of_the_faithful,_but_it_will_succumb_to_the_hordes_despite_all_its_efforts._We're_all_going_to_die!_Leave_me_alone,_I_do_not_want_to_talk_any_more.
qstr_Your_self_confidence Your_self-confidence_comforts_me,_but_I_must_inform_you_that_the_king_will_be_defeated_by_the_army_of_evil._Only_the_arrival_of_the_army_of_God_will_save_the_world._However,_if_you_ever_become_the_king,_it_will_be_a_pleasure_to_fight_and_die_beside_you.
qstr_I_m_surprised_that_y I'm_surprised_that_you_can_see_any_benefit_in_the_misfortunes_of_others._You're_definitely_more_ruthless_than_I_had_thought.
qstr_You_need_to_rid_your You_need_to_rid_yourself_of_arrogance._(Phlegmatic)
qstr_I_am_always_willing_ I_am_always_willing_to_learn._Thanks,_Egil._(Melancholic)
qstr_I_think_it_s_clear_t I_think_it's_clear_that_Fate_is_more_favorable_to_me_than_to_you._(Choleric)
qstr_Silence!_You_shall_n Silence!_You_shall_not_disrespect_my_authority!_(Sanguine)
qstr_Yes_I_pretended_to_b Yes,_I_pretended_to_be_modest._Well,_it's_something_that_comes_naturally_to_me,_but_arrogance_is_good_for_a_leader._You_should_learn_to_be_a_bit_arrogant_when_needed_--_that_is_part_of_my_advice_--_and_men_should_see_your_confidence._Your_orders_must_be_sharp,_and_anyone_who_does_not_follow_them_has_to_be_punished._This_is_what_I_value_in_a_leader,_and_I'm_glad_you_listened._But_enough_talking.
qstr_I_understand._Someon I_understand._Someone_like_you_does_not_have_my_experience_and_my_knowledge._It_is_important_that_you_try_to_learn_from_me,_{playername}._Try_to_be_like_me,_someone_whom_people_admire_and_respect._I_would_also_suggest_that_you_be_the_first_into_battle,_setting_an_example_for_your_men,_and_share_silver_with_your_men_without_greed._Those_are_my_tips._Now_I_have_things_to_do.
qstr_Your_men_see_the_way Your_men_see_the_way_Egil_treats_you,_and_you_lose_authority.
qstr_And_people_say_that_ And_people_say_that_I'm_arrogant!_But_what_can_I_say?_Well,_I_like_it._That's_what_I_value_most_in_a_leader:_his_ability_to_demonstrate_self-confidence_and_to_convince_others_with_his_charisma._You're_right._I_have_nothing_to_teach_you.
qstr_I_only_pretended_to_ I_only_pretended_to_give_advice,_but_it_is_clear_you_do_not_wish_to_listen._Well,_you_gave_an_order,_demonstrating_your_authority,_but_that_doesn't_mean_you're_a_good_leader._I'll_comply,_shut_up_and_return_to_my_chores.
qstr_I_am_just_a_poor_far I_am_just_a_poor_farmer_here._Talk_to_the_farmstead_reeve_over_there.
qstr_I_just_work_the_fiel I_just_work_the_fields_here._Talk_to_the_farmstead_reeve_over_there.
qstr_Stranger_go_talk_to_ Stranger,_go_talk_to_the_farmstead_reeve_over_there_if_you_want_to_do_business_here.
qstr__Relation:_{reg0} _Relation:_{reg0}
qstr_{s12}I_want_to_plund {s12}I_want_to_plunder_and_retain_{s1}_for_myself._{s2}
qstr__no_fiefs_ (no_fiefs)
qstr__fiefs:_{s0}_ (fiefs:_{s0})
qstr_{!}g_talk_troop_=_{r {!}g_talk_troop_=_{reg0}_,_g_encountered_party_=_{reg1}_,_slot_value_=_{reg2}
qstr___The_child_looks_at --The_child_looks_at_you_with_funny_eyes_and_laughs.--
qstr_My_mother_told_me_no My_mother_told_me_not_to_talk_to_strangers._Bye!
qstr_Running_is_fun!_I_ca Running_is_fun!_I_can_run_faster_than_you_can!_Do_you_want_to_race_me?
qstr_We_are_landless_poor We_are_landless,_poor_and_persecuted._Life_has_led_us_to_this,_{reg59?girlie:mate}._No_sudden_moves_or_we'll_run_you_through.
qstr_Luckily_for_you_you_ Luckily_for_you,_you_caught_me_in_a_good_mood._Give_us_all_your_coin_and_I_might_just_let_you_live.
qstr_This_a_robbery_eh?_I This_a_robbery,_eh?_I'm_givin'_you_one_chance_to_hand_over_everythin'_you_got,_or_me_and_my_mates'll_kill_you._Understand?
qstr_big big
qstr_medium_sized medium_sized
qstr_small small
qstr_don_t_ don't_
qstr_Note_4:_{s9}_has_sen Note_4:_{s9}_has_sent_men_to_kill_you._They_ambushed_you_by_the_river,_and_although_you_have_survived_their_attack,_you_sleep_less_calmly_now.
qstr___A_large_group_of_S --A_large_group_of_Saxons_gets_in_your_way._Their_leader_steps_forward_and_raises_a_hand.--
qstr_we_have_made_very_li we_have_made_very_little_progress_so_far
qstr_we_have_succeeded_in we_have_succeeded_in_gaining_some_ground,_but_we_still_have_a_long_way_to_go
qstr_we_have_become_a_sig we_have_become_a_significant_force,_and_we_have_an_even_chance_of_victory
qstr_we_are_winning_the_w we_are_winning_the_war,_but_our_enemies_are_still_holding_on.
qstr_we_are_on_the_verge_ we_are_on_the_verge_of_victory._The_remaining_enemies_pose_no_threat,_but_we_still_need_to_hunt_them_down.
qstr_Warlord Warlord
qstr_Note_5:_You_fell_in_ Note_5:_You_fell_in_love_with_Morrigan.
qstr_{s21}_seems_happy._{ {s21}_seems_happy._{s21}_looks_pleased.
qstr___She_smiles.__ --She_smiles.--
qstr___He_mutters_somethi --He_mutters_something_under_his_breath_as_if_talking_to_someone_unseen.--
qstr___He_seems_very_nerv --He_seems_very_nervous_and_scared.--
qstr_Please_calm_down._I_ Please_calm_down._I_am_not_your_enemy._Take_a_deep_breath_and_tell_me_about_my_mother._(Phlegmatic)
qstr_You_re_making_me_wor You're_making_me_worried..._very_worried..._Please_calm_down_and_tell_me_about_my_mother._(Melancholic)
qstr_Relax!_You_re_talkin Relax!_You're_talking_to_a_friend,_and_I_can_protect_you_from_whoever_would_hurt_you._(Choleric)
qstr_Calm_down_and_tell_m Calm_down_and_tell_me_about_my_mother!_Otherwise,_I_swear,_your_corpse_will_be_answering_my_questions._(Sanguine)
qstr_Thank_you_for_being_ Thank_you_for_being_so_understanding._I've_had_a_hard_day_today._I'm_better_now._Listen,_I_have_important_things_to_say.
qstr_Please_please_do_not Please,_please,_do_not_be_anxious!_When_Sven_was_anxious,_he_cut_off_the_fingers_of_those_who_bothered_him._Look,_I'm_better,_and_I'll_tell_you_important_things.
qstr_Oh_well_yes_I_trust_ Oh,_well,_yes,_I_trust_you._She_told_me_to_trust_you._I'm_going_to_tell_you_everything.
qstr_Oh_my_god..._Do_not_ Oh_my_god..._Do_not_kill_me!_Do_not_kill_me!_I'm_very_quiet._I'll_kiss_the_ground_you_walk_on._I_will_be_your_servant,_even_your_slave._I'll_tell_you_everything_I_know.
qstr___He_seems_calmer.__ --He_seems_calmer.--
qstr_In_Boar_Grove_you_fo In_Boar_Grove,_you_found_a_priest_named_Beda_who_had_been_a_slave_of_your_mother._He_was_freed_so_that_he_could_find_you_and_remind_you_about_your_mother's_love._You_finally_managed_to_get_news_about_your_mother._You_are_now_one_step_closer_to_finding_her.^^Finally,_you_are_ready_to_sail_to_Douar-an-Enez._Talk_to_the_old_captain_at_the_port._He_is_always_near_ships.
qstr___He_smiles.__ --He_smiles.--
qstr___He_closes_his_eyes --He_closes_his_eyes_for_a_few_seconds,_as_if_searching_for_the_right_words.--
qstr___He_takes_a_deep_br --He_takes_a_deep_breath_and_then_responds_slowly,_calmly.--
qstr_Asbjorn_has_joined_y Asbjorn_has_joined_your_party_to_make_sure_you_join_the_fleet._Besides_that,_he_has_offered_to_accompany_your_band_and_serve_as_a_physician._Now_it_is_time_to_get_the_port_master_of_{s3}_to_take_you_to_the_Viking_fleet_departing_for_Englaland.
qstr___Bodo_seems_excited --Bodo_seems_excited.--
