
qstr_Next_Page|다음 페이지
qstr_The_village_of_{s50}|{s50}은(는) {s52}에 인접한 곳에 위치하고 있습니다.^
qstr_{s51}_belongs_to_{s1|{s51}{s2}의 {s1}에 의해 다스려지고 있습니다.^
qstr_{s7}_and_{s8}|{s7} 그리고 {s8}
qstr_{s2}It_has_no_villag|{s2}소속된 마을은 없음.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?소속된 마을들은:소속된 마을은} {s8}입니다.^
qstr_{s2}Its_prosperity_i|{s2}^재정 상태: {s50}
qstr_noone|없음
qstr_{s9}_and_{s10}|{s9} 그리고 {s10}
qstr_{s5}_has_been_defeat|{s5}은 전투에서 패배하였습니다.
qstr_{s7}_opened_the_gate|{s7}의 성문을 엽니다.
qstr_{s7}_closed_the_gate|{s7}의 성문을 닫습니다.
qstr_+{reg1}_to_party_mor|부대 사기 +{reg1}
qstr_Requires_{reg1}_inte|책을 읽는데 {reg1}의 지력이 필요합니다.
qstr_Reading_Progress:_{r|읽기 진척율: {reg1}%
qstr_wound_treament|치료
qstr_trainer|교련
qstr_surgery|수술
qstr_+1_to_{s1}_while_in_|가방에 있을 때 {s1}에 +1의 효과
qstr_Move_here|이곳으로 이동
qstr_View_notes|보고서 보기
qstr_Accompany|Accompany
qstr_killed|사망
qstr_wounded|부상
qstr_{s0}^TOTAL:_{reg3}__|{s0}^총: {reg3}명 ({s2})
qstr_^None|^없음
qstr_nothing|아무것도 아니다.
qstr_{reg0}_village{reg1?|{reg0} 마을{reg1?들:}
qstr_{reg0}_castle{reg1?s|{reg0} 성{reg1?들:}
qstr_{reg0}_castle{reg1?s:|{reg0} 성{reg1?들:} 그리고 {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} 도시{reg1?들:}
qstr_{reg0}_town{reg1?s:}_|{reg0} 도시{reg1?들:} 그리고 {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} 도시{reg1?들:}, {s0}
qstr_Your_opponents_are_r|당신의 상대가 전투준비를 완료했습니다.
qstr_Try_to_destroy_as_ma|2분 30초 동안 가능한 많은 적을 물리치십시오.
qstr_Stay_behind_the_line|선 뒤에서 목표를 노리세요. 한발 한발을 함부로 낭비해서는 안 됩니다.
qstr_Battle_Advantage_=_{|전투의 유리함 = {reg0}.
qstr_{s9}_wants_you_to_re|{s9}은(는) 다음 통지가 있을 때까지 다시 그의 군대를 따라오라고 했습니다.
qstr__Being_Raided_|(급습이 시작됨)
qstr__Looted_|(약탈당함)
qstr__Under_Siege_|(포위당함)
qstr_The_village_of_{s1}_|{s1}이 {s2}에게 약탈당했습니다.
qstr_{s3}_is_no_longer_un|{s3}을(를) 포위하던 군대가 물러났습니다.
qstr_Small_bands_of_enemi|{s1} 부근에서 적 부대가 감지되었습니다.
qstr_Enemy_patrols_spotte|{s1} 부근에서 적 순찰대가 감지되었습니다.
qstr_Medium_sized_group_o|{s1} 부근에서 소규모 적 분견대가 감지되었습니다.
qstr_Significant_group_of|{s1} 부근에서 중간 규모의 적 부대가 감지되었습니다.
qstr_Army_of_enemies_spot|{s1} 부근에서 큰 규모의 적 부대가 감지되었습니다.
qstr_Large_army_of_enemie|{s1} 부근에서 군단 급 규모의 적 부대가 감지되었습니다.
qstr_Great_host_of_enemie|{s1} 부근에서 대규모 군단 급 규모의 적 부대가 감지되었습니다.
qstr_{s1}_has_been_besieg|{s1}은(는) {s3}의 {s2}에게 포위되었습니다.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1}은(는) {s2}의 새로운 총사령관이 되었습니다.
qstr_You_gained_{reg12}_r|당신은 {reg12}의 명성을 얻었습니다.
qstr_You_lose_{reg12}_ren|당신은 {reg12}의 명성을 잃었습니다.
qstr_Your_relation_with_{|당신과 {s1}의 관계가 향상 되었습니다.
qstr_Your_relation_with_{s|당신과 {s1}의 관계가 악화 되었습니다.
qstr_You_gain_honour.|당신은 명예를 얻었습니다.
qstr_You_lose_honour.|당신은 명예를 잃었습니다.
qstr_{s1}_has_declared_wa|{s1}가 {s2}에게 선전포고 했습니다!
qstr_{s1}_and_{s2}_have_m|{s1}와 {s2}가 평화조약을 맺었습니다.
qstr_{s2}_{reg3?was:is_cu|{s2}{reg3?:은(는) 현재} {s3}에 있을 것이오.
qstr_{s2}_{reg3?was:is}_t|{s2}{reg3?:은(는) 현재} {s3}로 여행을 떠났고, {reg4?그녀:그}는 아마도 {s4}{reg3?: 근방}에 있을 것이오.
qstr_{s2}_{reg3?was:is}_i|{s2}{reg3?:은(는) 현재} {s3}{reg3?: 근방}에 있을 것이오.
qstr_{s2}_{reg3?was:is}_b|{s2}{reg3?:은(는) 현재} {s3}에 붙잡혀 있소.
qstr_{s2}_{reg3?was:has_b|{s2}{reg3?:은(는) 현재} 적국의 {reg4}에게 붙잡혀 있소.
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}의 위치를 알 수 없습니다:나는 {s2}가 어디에 있는지 모른다}.
qstr_{s6}_has_joined_your|부대에 합류: {s6}
qstr_You_now_owe_{reg2}_d|당신은 {s1}에게 {reg2}디나르를 빚지고 있다.
qstr_Renown_value_for_thi|이 전투에서 얻은 명성은 {reg8}입니다.
qstr_You_have_run_into_a_|우리 군대가 함정에 빠졌습니다.
qstr_You_are_attacked_by_|우리 군대가 산적 무리에게 공격당했습니다!
qstr_Holding|위치유지
qstr_Following|나를 따르라
qstr_Charging|돌격
qstr_Advancing|전진
qstr_Falling_Back|후퇴
qstr_Standing_Closer|밀집
qstr_Spreading_Out|산개
qstr_Standing|정지
qstr_N/A|N/A
qstr_Free|자유
qstr_Any_Weapon|임의의 무기
qstr_Blunt_Weapons|둔기
qstr_{s1}_Rebels|{s1} 반란군
qstr_Given_by:_{s62}|지시자: {s62}
qstr_Given_on:_{s60}|일  시: {s60}
qstr_You_have_{reg0}_days|당신은 {reg0}일 이내에 임무를 완료해야 합니다.
qstr_This_quest_has_been_|이 임무는 종료되었습니다. 임무 완료를 위해 {s59}와 대화하십시오.
qstr_This_quest_has_been_s|이 임무는 성공적으로 완료되었습니다. 사례금을 받기 위해 {s59}와 대화하십시오.
qstr_This_quest_has_faile|이 임무는 실패 했습니다. {s59}와 대화하세요.
qstr_At_the_time_quest_wa|퀘스트를 부여 받았습니다.:^{s1}
qstr_{s5}_has_a_strength_|{s5}의 {reg1} 통합.
qstr_The_last_time_you_sa|마지막으로 {reg1?그녀:그}를 본 것으로는 아마도, {s1}
qstr_The_last_time_you_he|마지막으로 {reg1?그녀:그}에 관해 접한 소식으로는, {s1}
qstr_Current_garrison_con|현재 수비대는 {reg5}명이고, 총 {reg6}일 분량의 식량이 비축되어 있습니다.
qstr_Very_Poor|매우 가난
qstr_Poor|가난
qstr_Average|보통
qstr_Rich|풍족
qstr_Very_Rich|매우 풍족
qstr_Manor|장원
qstr_A_manor_lets_you_res|장원을 건설하면 해당 마을에서 부대를 재정비할 수 있습니다. 그리고 머무르는 동안은 부대 유지비용이 절반으로 줄어듭니다.
qstr_Mill|방앗간
qstr_A_mill_increases_vil|방앗간은 마을의 번영율을 5% 향상 시킵니다.
qstr_Watch_Tower|감시탑
qstr_A_watch_tower_lets_t|감시탑은 마을사람들이 빠르게 위협을 감지할 수 있도록 해줍니다. 마을을 약탈하는데 걸리는 시간을 25% 증가 시킵니다.
qstr_School|학교
qstr_A_shool_increases_th|학교는 당신에 대한 주민들의 충성심을 매달 +1씩 높여 줍니다.
qstr_Messenger_Post|우체국
qstr_A_messenger_post_let|우체국은 당신이 멀리 떨어져 있더라도 적이 마을에 접근하면 당신에게 메시지를 보내줍니다.
qstr_Prison_Tower|감옥탑
qstr_A_prison_tower_reduc|감옥탑은 수감된 포로들의 탈옥 성공 확률을 감소시킵니다.
qstr_Prosperity_of_{s2}_h|{s2}의 상태가 {s3}에서 {s4}으로 바뀌었습니다.
qstr_{s4}_looks_upset.|{s4}은(는) 흥분한 것 같습니다.
qstr_your_party|당신의 부대
qstr_{reg0?One_of_your_pr|{reg0?당신의 포로 중, :}{s3}의 {s1}이(가) 탈옥했습니다. 
qstr_You_brought_{reg3}_h|당신은 {reg3}마리의 소를 {s1}에게 가져왔습니다.
qstr_I_heard_that_there_w|제가 듣기로는 {s62}에서 곧 토너먼트가 열릴 거라더군요.
qstr_I_heard_that_one_can|{s63}에서 {s62}을(를) 아주 싸게 살 수 있다고 들었습니다.
qstr_I_heard_that_they_pa|소문에 {s63}에서 {s62}를 높은 가격에 사고 있다고 들었습니다.
qstr_two_days_ago|2일 전
qstr_Best_threat_of_{s4}_|가장 적대적인 {s4}은(는) {reg1} 정도의 가치를 가졌다.
qstr_No_center_found_to_d|방어할 중심을 찾지 못했습니다.
qstr_You_gain_right_to_ru|당신은 정통성을 얻었습니다.
qstr_You_lose_right_to_ru|당신은 정통성을 잃었습니다.
qstr_You_got_keys_of_dung|당신은 지하감옥의 열쇠를 얻었습니다.
qstr_You_must_stay_behind|선 안에 머물러야 합니다! 포인트는 빠져나가지 않습니다.
qstr_Tutorial|튜토리얼
qstr_You_came_into_the_wo| 당신은 가진 것이라곤 살고 있는 집이 전부인 몰락한 귀족의 {reg3?딸:아들}로 태어났습니다. 당신의 가족은 재정적 고난에도 불구하고, 당신이 어린 시절을 귀족의 저택에서 엄격한 궁중교육을 받을 수 있는 기회를 부여해줬습니다.
qstr_You_were_born_the_{r| 당신은 언제나 돈을 찾아 이곳 저곳을 유랑하는 한 상인의 {reg3?딸:아들}로 태어났습니다. 당신의 부모가 부유한 편이라 좋은 교육을 받을 수 있었지만 당신은 길에서 친구를 만들고 상인들과 흥정하는 법을 배우는 것을 더 좋아했습니다.
qstr_As_a_child_your_fami| 어린 시절 당신의 가족은 지역영주 호위병인 아버지의 빈약한 벌이에 시달려야 했습니다. 쉬운 생활은 아니었고, 당신이 교육 받기엔 집안이 너무 가난했습니다. 당신은 주로 거리에 나가 놀았고, 무기가 있던 없던 자신 스스로를 방어할 능력을 길렀습니다.
qstr_{reg3?daughter:son}|{reg3?딸:아들}
qstr_You_were_the_{reg3?d| 당신은 무엇이든 숲에서 직접 얻은 물자로 근근이 살아가는 가족의 {reg3?딸:아들}로 태어났습니다. 사냥, 벌목, 화살 만들기, 밀렵 등은 언제나 어려운 일이었고, 동물이건 사람이건 벌벌 떨어야 했던 강추위에 시달려야 했습니다. 비록 당신의 형제들은 운이 없었지만, 당신은 밖으로 나가 새로운 여명을 맞을 여행을 떠나려 합니다.
qstr_You_were_a_child_of_| 당신은 초원의 아이였고, 불모의 초원을 통해 거대한 캠프에서 살아가는 떠돌이 유목민의 부족에서 태어났습니다. 다른 부족민들처럼, 당신의 가족은 어느 무엇보다 말을 경외시했고, 걷는 것을 배우기도 전에 말 타는 법부터 가르쳤습니다.
qstr_As_the_{reg3?daughte| 도둑의 {reg3?딸:아들}로서, 당신은 형식적인 교육을 매우 조금 받았습니다. 대신에 당신은 모든 어린 시절을 거리로 나가서, 소매치기를 배울 때까지는 구걸을 했으며, 자물쇠를 따는 법을 배울 때까지는 소매치기를 했습니다. 여전히, 이 긴 시절은 당신이 도시물정에 밝고 도시의 수상한 뒷골목이나 비밀에 대해 잘 알게 해주었습니다.
qstr_As_a_{reg3?girl:boy}| {reg3?소녀:소년}(으)로서의 어린 시절을 지나, 당신은 귀족 중 한 명의 궁중에 살도록 보내졌습니다. 그곳에서 당신은 영주와 부인들의 집안일을 대신 거들어야 했습니다. 하지만 그들의 체스게임, 우아한 잡담, 위대한 업적에 대한 시와 기품 있는 사랑으로부터 갈등과 경쟁이 있는 어른들의 세계에 대해 남들보다 빨리 배워갔습니다. 당신은 또한 다른 아이들로부터 어른들의 검을 흉내 낸 막대기로 서로를 쳐부수는 거친 경기를 배웠습니다.
qstr_As_a_{reg3?girl:boy}_| {reg3?소녀:소년}(으)로서의 어린 시절을 지나, 무역에 대해 배우기 위해 지역의 장인의 견습생이 되었습니다. 새로운 주인 밑에서의 몇 년간의 고된 일과 공부 후에, 그는 당신을 직공으로 승진시키고 당신이 머물길 바라는 동안 완전한 급료를 받는 장인으로 고용했습니다.
qstr_As_a_{reg3?girl:boy}_g| {reg3?소녀:소년}(으)로서의 어린시절을 지나, 당신은 무역을 하고 수년간 가게를 운영하고 상단을 운영하는 부유한 상인의 견습생이 되었습니다. 당신은 곧 싸게 사고, 비싸게 팔며, 고객들이 좋은 거래를 했다고 믿게 만드는 재주에 익숙해졌습니다.
qstr_As_a_{reg3?girl:boy}_gr| {reg3?소녀:소년}(으)로서의 어린 시절을 지나, 당신은 거리로 나가, 살아남기 위해 무슨 짓이든 했습니다. 구걸, 강도, 빵을 얻기 위해 갱단을 위해 일하기도 했으며, 매일매일을 이런 잔인한 세계에서 살았고, 법과 당신에게 적의를 품은 자들을 언제나 한 발짝 앞서갔습니다.
qstr_As_a_{reg3?girl:boy}_gro| {reg3?소녀:소년}(으)로서의 어린 시절을 지나, 당신은 혼자서 거대한 초원에 나가 말을 타고 달렸습니다. 그리고 초원과 사막에서의 생존법을 배워 나갔습니다. 비록 가끔씩 허기진 배를 부여잡아야 했지만, 사람의 발길이 닿지 않는 이 나라에서 당신은 숙련된 사냥꾼이자 탐험가로 자랐습니다. 하지만 당신의 몸은 유목민 {reg3?여성:남성}으로서 발달됨에 따라, 근육은 비교적 약해졌습니다.
qstr_{reg3?daughter:man}|{reg3?딸:아들}
qstr_Though_the_distincti|당신이 진정한 {reg3?여성:남성}이 되면서 이전에 받던 차별은 뒤로하고, 주변의 모든 사물이 달라 보이기 시작했습니다. 이내 당신이 귀족에 종자가 되었고 많은 시간을 무기와 함께 연습하며 보냈습니다. 이제 당신은 어떻게 고난과 역경을 피하고 또한 그것들을 이겨내는지에 대해서 잘 알고 있습니다.
qstr_{reg3?woman:man}|{reg3?여성:남성}
qstr_Though_the_distinctio|당신이 진정한 {reg3?여성:남성}이 되면서 이전에 받던 차별은 뒤로 하고, 주변의 모든 사물이 달라보이기 시작했습니다. 당신은 모두가 귀부인처럼 행동해야 하는 궁녀들의 사교집단에 참여했습니다. 그곳에는 귀족들의 본처와 첩, 그리고 아직 남편을 찾지 못한 처녀들이 있었습니다. 하지만 이곳에서 두드러지기 위해 계락을 꾸미거나, 미혼인 왕족의 눈에 들기 위해 서로 격렬하게 싸우는 여성들처럼 당신도 동등한 집단을 만들었고, 당신은 곧 이 상황들을 자신에게 유리하게 바꿔 돌아가게 하는 법을 배웠습니다. 만약 당신 스스로를 이 미묘함에 적응시킨다면 당신 스스로가 세상에 거대한 영향력을 휘드르는 건 꿈이 아닙니다.
qstr_Though_the_distinction|당신이 진정한 {reg3?여성:남성}이 되면서 이전에 받던 차별은 뒤로 하고, 주변의 모든 사물이 달라보이기 시작했습니다. 당신은 등에 짊어진 악기와 목소리만을 가지고 여행을 떠났습니다. 그것은 수많은 배고픔과 사람들의 무관심이 함께하는 괴로운 삶이였지만, 당신은 가까스로 음악만으로도 살아갈 수 있었습니다. 세월이 흘러 당신은 선술집의 취객들이 연주하는 것에 익숙해졌고, 오히려 당신이 원하는 것을 가지지 않은 사람들과도 대화를 할 수 있게 되었습니다.
qstr_Though_the_distinction_|당신이 진정한 {reg3?여성:남성}이 되면서 이전에 받던 차별은 뒤로 하고, 주변의 모든 사물이 달라보이기 시작했습니다. 당신은 기술, 철학 그리고 약학을 가르치는 어느 도시의 대학에서 학생으로써의 자신을 찾았습니다. 그러나 당신의 모든 수업이 꼭 교실에서만 진행되는 것은 아닙니다. 당신의 동료들과 함께 골목을 배회하며 술과 여자, 그리고 좋은 싸움을 찾을지도 모르지만 당신은 부러진 턱을 어떻게 맞추는지를, 또는 어떻게 성난 시민이 곤봉을 내려놓고 그의 가게가 부서진 배상을 받도록 설득하는지를 확실하게 관찰할 수 있었습니다.
qstr_Though_the_distinction_f|당신이 진정한 {reg3?여성:남성}이 되면서 이전에 받던 차별은 뒤로 하고, 주변의 모든 사물이 달라보이기 시작했습니다. 당신은 열린 길의 부름에 유의하며, 마을과 마을 사이를 여행하면서 당신이 할 수 있는 만큼 물건을 사고 팔았습니다. 그럿은 부유한 삶은 아니였지만, 당신은 에누리의 달인이 되어, 매우 가난한 노인조차 당신에게 좋은 값을 매겨주었습니다. 당신도 알다시피, 머지않아 당신은 적당한 위치에 서서 자신만의 상업 왕국을 열 것입니다.
qstr_Though_the_distinction_fe|당신이 진정한 {reg3?여성:남성}이 되면서 이전에 받던 차별은 뒤로 하고, 주변의 모든 사물이 달라보이기 시작했습니다. 당신은 대장장이로써의 일을 추구하여, 단순한 금속이 아닌 기능과 아름다움을 가진 물건들을 만들었습니다. 세월이 흘러 당신은 대장장이 일이 경지에 올라, 괜찮은 작품은 좋은 가격에 팔리게 되었습니다. 만족스러운 의식주와 함께, 당신은 자신의 작품과 증대하는 명성을 자랑할 수 있었습니다.
qstr_Though_the_distinction_fel|당신이 진정한 {reg3?여성:남성}이 되면서 이전에 받던 차별은 뒤로 하고, 주변의 모든 사물이 달라보이기 시작했습니다. 불만스럽고 가난한 삶에서 벗어날 돈을 위해, 당신은 지방 영주의 숲으로 가서 자신 스스로에게 관대해지기로 했고, 법은 당신에게 있어서 아무런 의미가 없게 되었습니다. 당신은 노루와 멧돼지, 그리고 거위를 사냥해 값비싼 고기를 불법으로 팔았습니다. 당신은 경비병의 코앞에서 나무를 잘라서 그것들을 장작으로 사용하여 겨울철 얼어붙은 집들을 녹여주었지만 당연히 전적으로 약간의 돈을 위해서였습니다.
qstr_Only_you_know_exactl|꼭 알아야 하는 것은 당신은 모험가로서 긴 인생을 부여 받았다는 것입니다. 여전히 분노가 가슴 속에서 불타올랐기에, 떠나는 건 어려운 결정이 아니였습니다. 당신은 복수와 정의를 원합니다. 복수를 끝내지 않고는 끝냈다고 할 수 없고, 피를 흘리는 것만이 복수를 끝낼 수 있습니다.
qstr_Only_you_know_exactly|꼭 알아야 하는 것은 당신은 모험가로서 긴 인생을 부여 받았다는 것입니다. 당신은 사랑했던 이의 기억이 있지만, 떠나보내고, 혼자 가만히 있을 수 밖에 없는 것이 너무나 고통스러웠습니다. 어쩌면 당신의 새로운 삶이 그 아픔을 잊게 하거나, 당신이 말하는 걸, 참기 힘들게 하던 그 이름을 존경할 것입니다.
qstr_Only_you_know_exactly_|꼭 알아야 하는 것은 당신은 모험가로서 긴 인생을 부여 받았다는 것입니다. 심지어 당신이 포로가 되었을 때도, 지루함이 친숙했고, 방랑의 꿈은 당신의 삶을 삼켜버렸습니다. 당신이 멀리 떨어진 집을 그리워하거나, 그저 자유를 위한 여행을 떠나도, 한 곳에 머무르는 것을 참을 수 없었습니다. 당신은 쉽게 떠났고 뒤돌아보지 않았습니다.
qstr_Only_you_know_exactly_w|꼭 알아야 하는 것은 당신은 모험가로서 긴 인생을 부여 받았다는 것입니다. 하지만 당신은 다시 돌아갈 수 없다는 것을 알고 있습니다. 다시 돌아가면 아무것도 없습니다. 어쨌든 당신의 집은 사라졌고, 넓은 세상으로 나왔음을 인식해야 합니다. 혼자 헤엄쳐 나가거나 가라앉을 수도 있습니다.
qstr_Only_you_know_exactly_wh|꼭 알아야 하는 것은 당신은 모험가로서 긴 인생을 부여 받았다는 것입니다. 모두가 그러듯이, 무엇 하나없이 홀로 동기를 부여하여 스스로 얻어야 합니다. 당신은 부유하고, 강하고, 존경받고, 두려워지길 원합니다. 당신은 다른 이들이 머리를 조아리길 원하는 자가 되길 원합니다. 당신은 사람들이 당신의 이름을 알고 어디서든 이야기 되어지길 원합니다. 당신은 무엇이든 할 수 있고 어느 누구도 당신의 뜻을 멈출 수 없을 것입니다.
qstr_Back_to_the_beginnin|처음으로 돌아가기...
qstr_View_next_segment...|다음 세그먼트 보기...
qstr_^No_food:___{reg7}|^식량 고갈: -{reg7}
qstr_^Wage_debt:___{reg6}|^고용 비용: -{reg6}
qstr_Appoint_next_marshal|다음 총사령관을 지목
qstr_Award_{s12}_as_fief|{s12}를 영지로 수여
qstr_No_one|아무도 없습니다.
qstr_Selected_faction_is:|선택된 세력: {s10}^^{s9}
qstr_You_are_currently_re|당신이 현재 읽고 있는 책: {s8}
qstr_You_are_not_reading_|당신이 현재 읽고 있는 책: 없음
qstr_none|없음
qstr_{s5}_and_{s6}|{s5} 그리고 {s6}
qstr_Your_estates_are:_{s|당신의 재산: {s8}.^{s9}
qstr_Current_party_size_l|현재 최대 모집가능 병력 수: {reg5}.^부대 변동사항:^^기본 크기:  +10^리더십: {s2}{reg1}^카리스마: {s3}{reg2}^명성: {s4}{reg3}^전체:  {reg5}
qstr_Loyal|충성함(9)
qstr_Devoted|헌신적(8)
qstr_Fond|좋아함(7)
qstr_Gracious|자비로움(6)
qstr_Friendly|친절함(5)
qstr_Supportive|지지함(4)
qstr_Favorable|호의로움(3)
qstr_Cooperative|협력적임(2)
qstr_Accepting|받아들임(1)
qstr_Indifferent|무관심함(0)
qstr_Suspicious|의심스러움(-1)
qstr_Grumbling|불평스러움(-2)
qstr_Hostile|적대시함(-3)
qstr_Resentful|분개함(-4)
qstr_Angry|화남(-5)
qstr_Hateful|증오함(-6)
qstr_Revengeful|복수심(-7)
qstr_Vengeful|보복대상(-8)
qstr_Your_relation_with_t|각 세력과의 관계:^{s2}
qstr_Player_renown_is_inc|플레이어의 명성이 100으로 증가합니다. 
qstr_Player_honor_is_incr|플레이어의 명예가 1 증가하였고, 총 {reg7}이(가) 되었습니다.
qstr_{reg1}_{s1}_{reg2?ac|{reg1}명의 {s1}이(가) 제안을 {reg2?수락:수락}했습니다.
qstr_No_one_accepts_the_o|아무도 제안을 수락하지 않았습니다.
qstr_You_start_reading_{s|당신은 {s2}을(를) 읽기 시작 했습니다. 몇 페이지를 넘긴 후, 당신은 당신이 이 책에서 많은 것을 배울 수 있었다는 것을 느꼈습니다. 당신은 그것을 곁에 두고 언제든지 읽을 수 있도록 했습니다.
qstr_You_flip_through_the|당신이 {s2}를 읽기 시작했지만 내용이 너무 난해하고 자신이 따라 하기에 어렵다는 걸 알았습니다. 좀 더 읽어 보려고 노력했지만 머리만 아파왔고 결국은 읽는 것을 포기할 수 밖에 없었습니다.
qstr_Villagers|마을
qstr_You_have_encountered|당신은 {s1}와(과) 만났습니다.
qstr_You_have_engaged_{s1|당신은 {s1}가 {s3}를 습격하는 전투에 가세했습니다.
qstr_You_were_caught_by_{|당신의 부대가 {s3}을(를) 공격하는 동안 {s1}이(가) 참전했습니다.
qstr_You_were_victorious!|당신은 승리하였습니다!
qstr_Battle_was_lost._You|전투에서 패했습니다. 당신의 부대는 완전하게 와해되었습니다.
qstr_Your_companions_carr|당신의 동료들이 당신을 전투에서 안전한 지역으로 이송했습니다.
qstr_You_have_defeated_th|당신은 적을 격퇴시켰습니다.
qstr_You_have_retreated_f|당신은 전투에서 퇴각했습니다.
qstr_^^Ally_Casualties:{s|^^동맹군 사상자:{s0}
qstr_{s1}_of_{s3}_managed|{s3}의 {s1}은(는) 탈출했습니다.
qstr_Some_of_your_tendons|당신은 전투 중에 힘줄을 다쳐 1만큼의 근력을 잃게 되었습니다.
qstr_You_took_a_nasty_wou|당신은 치료를 하였음에도 작은 후유증으로 절룩거리게 되었습니다. 당신은 1의 민첩을 잃었습니다.
qstr_You_have_trouble_thi|당신은 전투후유증에 시달립니다. 당신의 머리에 어떤 강한 충격이 가해져 두통을 유발하여 기억이 오락가락하기 시작한 것 같습니다. 당신의 지력이 1 하락하였습니다.
qstr_Perhaps_I_m_getting_|아마도 나는 운이 없나 보군...
qstr_Retirement_is_starti|은퇴라는 단어가 갈수록 좋아지기 시작하는데.
qstr_No_matter!_I_will_pe|아무 문제없어! 난 좀 더 노력할거야!
qstr_What_did_I_do_to_des|내가 이걸 받기 위해서 무엇을 해야 합니까?
qstr_I_suppose_it_ll_make|내가 생각하기에는 적어도 그건 좋은 이야기가 될 거 같아...
qstr_{s9}_wants_you_to_fo|{s9}은(는) 다음 통지가 있을 때까지 자신의 군대를 따라오라고 했습니다.
qstr_{s8}_of_{s9}|{s9} 소속 {s8}
qstr__Your_own_banner_fli| 성문 위로 당신의 깃발이 휘날리고 있습니다.
qstr__You_see_the_banner_| 성문 위로 {s7}의 깃발이 보입니다.
qstr__Your_own_banner_flie| 도시의 성문 위로 당신의 깃발이 휘날리고 있습니다.
