qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_This_area_of_{s1}_ca|{s1}의 이 구역은 도시 기능의 가장 핵심적인 장소로 중요한 일을 처리합니다.^^ 당신은 이곳에서 돈을 빌리거나 땅을 구매할 수 있습니다. 땅을 구매하면 소작농들에게 빌려주어 농사를 짓게하여 돈으로 돌려받을 수 있습니다. 경작된 모든 땅을 구입했으면 경작되지 않은 땅을 개간할 수도 있는데 이것은 추가 비용이 필요합니다. 도시의 발전도에 따라 차등이 존재 합니다.
qstr_{reg1}_people_live_i|{reg1}의 사람들이 {s1}에 살고 있습니다. 그곳에 현재 {reg2} 에이커의 땅이 경작과 물품제작을 위해 사용가능합니다. 당신은 이 도시에서 {reg3} 에이커의 땅을 소유하고 있습니다. 당신은{s1}의 채권자로 부터 {reg4}실버의 돈을 빌린 상태입니다. 이자는 2주일뒤 20%입니다. 만일 당신이 데드라인까지 돈을 지불하지 못하면, 이율은 40%로 상향됩니다. 현존하는 땅의 시세는 {reg9} 실버입니다, 가치가 {reg10} 실버일때 기준입니다. 미경작지를 경작하기 위해서는 {reg11} 실버가 필요합니다. 토지임대수입은 2주마다 1에이커당 {reg13}실버입니다.
qstr_Choose_how_many_acre|~에이커의 땅을 판매 :
qstr_Choose_how_many_acres|~에이커의 땅을 구매 :
qstr_{s2}|{s2}
qstr_Buy_Land|땅을 구입 (클릭)
qstr_Choose_how_much_mone|빌리고 싶은 금액:
qstr_Borrow|빌리기 (클릭)
qstr_Buy_and_prepare_uncu|경작 준비중(미경작지)인 땅을 구매함 :
qstr_Prepare_Land|미경작지 구입 (클릭)
qstr_Pay_off_your_debt_:|빌린 돈을 갚음 :
qstr_Make_Payment|갚기 (클릭)
qstr_{reg5}|{reg5}
qstr_You_cant_sell_0_acre|당신은 0 에이커의 땅을 팔 수는 없다.
qstr_You_cant_buy_0_acres|당신은 0 에이커의 땅을 살 수는 없다.
qstr_{reg6}|{reg6}
qstr_You_cant_borrow_0_sc|당신은 0 실버를 빌릴 수는 없다.
qstr_{reg7}|{reg7}
qstr_{reg8}|{reg8}
qstr_You_cant_pay_back_0_|당신은 0 실버의 돈을 갚을 수는 없다.
qstr_Town|Town
qstr_Acres|Acres
qstr_Owned|Owned
qstr_Balance|Balance
qstr_Assets|Assets
qstr_Debt|Debt
qstr_Deadline|Deadline
qstr_{s9}|{s9}
qstr_{reg2}|{reg2}
qstr_{reg3}|{reg3}
qstr_{reg4}|{reg4}
qstr__Return_to_menu_| 메뉴로 복귀 
qstr_CURRENT_COMMANDER_S_|지휘관 보고서!
qstr_Your_Commander:_{s19|당신의 지휘관: {s19}
qstr_Commander_Relation:_|지휘관과의 관계: {reg0}
qstr_Enlisted_Faction:_{s|소속 국가: {s20}
qstr_Current_Rank:_{s21}|현재 보직: {s21}
qstr_N/A|N/A
qstr_Experience_to_next_p|다음 진급을 위한 경험치: {s1}
qstr_Days_in_service:_{re|근무 일수: {reg20}
qstr_Current_Wage:_{reg23|현재 주급: {reg23}
qstr_Next_Pay/Promotion_d|다음 임금지급/진급 날짜: {s25}
qstr_Army_size:_{reg26}|부대규모: {reg26}
qstr_Commander_s_Army|지휘관의 부대
qstr_This_is_the_gambling|이것은 도박 시스템입니다. 아이템을 사거나 팔때 컨트롤 키를 계속 누르고 있어야 합니다.
qstr_Money:_{s1}|자금: {s1}
qstr_You_don_t_have_enoug|당신은 충분한 돈이 없습니다. 매우 당혹스럽군요!
qstr_He_don_t_have_enough|그는 충분한 돈을 가지고 있지 않습니다.
qstr__We_believe_the_enem| 적들의 {reg1}병력이 전투준비중인 것으로 보입니다.
qstr_We_ve_paid_a_bit_of_|{s1}가 우리를 돕게 하려면 어느 정도의 비용을 지불해야 합니다. 그들 부대 {reg1}는 강합니다.
qstr_We_ve_paid_a_bit_of_g|{s1}가 우리를 돕게 하려면 어느 정도의 비용을 지불해야 합니다, 그러나 배신의 가능성도 염두해야합니다. 그들 부대 {reg1}는 강합니다.
qstr_{s1}_will_most_assur|{s1}는 상대편을 도울것으로 보입니다, {reg1} 병사를 이끌고 전투에 참가할것입니다.
qstr_We_believe_{s1}_will|{s1}는 전투에서 철수 할것으로 보입니다. 그들의 {reg1}병사들은 이미 피칠갑을 하고 있습니다.
qstr_{s1}_is_obligated_to|{s1}가 우리를 도우려 합니다, 그는 {reg1} 병력을 이끌고 왔습니다.
qstr_{s1}_will_join_us_br|{s1}가 우리에게 합류합니다, {reg1}병력이 전투에 참가 가능합니다.
qstr_{s1}_feels_no_obliga|{s1}는 우리를 도울 필요를 못느끼는 것으로 보입니다. 그들과 관계가 그리 원만하지 않았습니다.
qstr__Report_^_Dispositio| 보고서 ^ 전투에 참여 할 수 있는 다른 부대.
qstr___Continue__|  계속  
qstr__of_the_{s2}.| {s2}의
qstr__Insult_{s1}.| {s1}을 모욕하다
qstr__Buy_food_supplies_f| {s1}로 부터 식료품을 구입.
qstr__Challenge_{s1}_to_a| {s1}에게 결투를 신청.
qstr__Send_an_amphorae_of| {s1}에게 와인을 선물로 보내기.
qstr__Send_a_poisoned_amp| {s1}에게 독이 든 와인을 선물로 보내기.
qstr__Compose_a_message_t| {s1}{s9}로 갈 메시지 작성하기
qstr_View_Current_Message| 현재 메시지 보기
qstr__Cancel_Message__| 메시지 취소  
qstr_{s3}|{s3}
qstr_{s8}|{s8}
qstr__Send_Message_| 메시지 보내기 
qstr__Cancel_Message_| 메시지 취소 
qstr__RETURN_| 복귀 
qstr__is_not_present.| 존재하지 않습니다.
qstr__capacity_is_{reg2}.| 용량은 {reg2}입니다.
qstr__As_you_look_over_th| 전투로 적과 아군의 시신이 쌓여있습니다, 당신은 그것을 어떻게 처리할지를 정해야합니다. 화장시켜주지 않고 그냥 떠나면 평판이 하락하지만 화장을 시키려 시간을 소모하면 그동안 적의 공격에 노출됩니다. 당신의 결정은 .....
qstr_have_your_troops_bur|시신을 화장하고 부상을 치료하면서 전리품을 챙긴다.
qstr_You_estimate_that_it|(3시간 소모)
qstr_leave_the_dead_to_ro|전리품만 챙기고 뜬다.
qstr_You_estimate_that_it_|(1시간 소모)
qstr_bury_or_burn_the_dea|시신을 화장하지만 전리품을 그대로 두고 간다.
qstr_You_estimate_that_it_w|(2시간 소모)
qstr_leave_this_place_as_|이 장소를 떠난다.
qstr__Supply_wagon{s16}| 수송마차 {s16}
qstr__You_increase_morale| 전투에서 승리하여 사기가 상승합니다.
qstr__After_the_bloody_ba| 피투성이 전투를 끝낸 뒤:
qstr_Deal_with_the_priest|죽거나 다친 동료를 성직자에게 맡긴다.
qstr_Join_more_greedy_men|가능한 한 많은 전리품을 챙긴다.
qstr_You_re_not_a_thug_ju|당신은 도둑이 아니다, 군주가 하사하는 것만 당신의 것이다. 당신은 군주를 따라 묵묵히 대기한다.
qstr__Your_lord_is_not_ve| 당신의 군주는 그리 기분이 좋지 않다. 그에게 해코지 당하고 싶지 않다면 근처에 가지 않는 것이 좋을 것이다.
qstr__Your_lord_gives_you| 군주가 당신의 노력을 보상하기위해 장신구와 약간의 돈을 주었다.
qstr__Your_lord_gives_you_| 군주가 당신의 용맹을 치하하기 위해 훈장을 내렸다.
qstr__Your_lord_pats_your| 군주가 당신의 등을 두드렸다. 승리를 축하하면서.
qstr__No_one| 아무도 없음
qstr__Assign_a_hero_to_co| 부관에게 수송마차를 지휘하게 합니다.
qstr__{s2}_is_currently_l| {s2} 가 현재 수송마차를 이끌고 있습니다.
qstr_Kingdom|국가
qstr_Distance|거리
qstr___{reg2}_Km|  {reg2}.
qstr_Select_a_town_for_th|수송마차가 교역할 도시를 선택하시오. (버그주의: 평양을 선택하지 마시오. none가 되는 버그가 있음.)
qstr__None_| None 
qstr__Supply_Wagon_Manage| 수송마차 관리 설정 
qstr__Current_Wagon_Maste| 현재 마차 지휘:^{s2} 
qstr__Current_Trade_Town:| 교역 대상 도시:^ {s1} 
qstr__Wagon_Space_Availab| 마차의 남은 공간:^ {reg2} 
qstr__Assign_a_hero_to_com| 부관에게 마치 지휘를 지시.
qstr__Assign_soldiers_to_| 마차를 호위할 병사를 배정.
qstr__Assign_a_town_for_t| 교역할 도시 선정.
qstr__Inspect_the_supply_| 마차 현보유물품 조사.
qstr__Send_the_supply_wag| [마차 출발]
qstr__Abandon_the_supply_| !!! 마차 폐기 !!!
qstr_____You_must_assign_|    마차를 교역하도록 지시하기전에 마차를 지휘할 부관을 정해야합니다!
qstr_Name:_{s1}^Level:_{r|이름: {s1}^레벨: {reg1}
qstr_{s1}^HP:_{reg0}|{s1}^HP: {reg0}
qstr_{s1}|{s1}
qstr_Attributes:|능력치:
qstr_{s3}^STR:_{reg1}^INT|{s3}^힘: {reg1}^지능: {reg2}^^스킬:
qstr_{s3}^Power_Strike:_{|{s3}^근접 타격: {reg1}^활쏘기: {reg2}^투척술: {reg3}^기마궁술: {reg4}^^무기 숙련:
qstr_{s3}^1_Hand_Wpns:_{r|{s3}^한손 무기: {reg1}^양손 무기: {reg2}^폴암: {reg3}
qstr_{s4}^AGI:_{reg1}^CHA|{s4}^민첩: {reg1}^카리스마: {reg2}^^
qstr_{s4}^Ironflesh:_{reg|{s4}^체력증가: {reg1}^달리기: {reg2}^방패: {reg3}^승마: {reg4}^^
qstr_{s4}^Archery:_{reg1}|{s4}^활: {reg1}^석궁: {reg2}^투척: {reg3}
qstr_{s4}|{s4}
qstr_Equipments:_|장비: 
qstr__Back_to_shop_| 가게로 돌아가기 
qstr_Strength|힘
qstr_Riding|승마
qstr_Pdraw|궁술
qstr_Pthrow|투척술
qstr_1_hand|한손 무기
qstr_2_hand|양손 무기
qstr_Polearm|폴암
qstr_Archery|활
qstr__X_bow_| 석궁 
qstr_Throwing_|투척 
qstr___Others|  그밖에
qstr__Mode| 양식
qstr__to_next_lvl_|(다음 레벨)
qstr__1.3_| 1.3 
qstr_If_you_can_see_this_|만일 이 메시지가 보인다면, 사양이 좋지 않은 것 입니다(사양경고).
qstr___Weapons_| -무기-
qstr___Armor_| -방어구-          
qstr_________________n/a_|                n/a                
qstr_{reg1}|{reg1}
qstr_Rides|승마
qstr_Walks|도보
qstr_Startpage_set__Quick|시작 페이지 설정 (퀵뷰)
qstr_Back_to_shop|가게로 돌아가기
qstr__[?]_| [?] 
qstr_Hotkeys:^HOME_=_Set_|단축키:^HOME = 시작페이지설정^오른마우스버튼 = 메뉴 나가기^ESC = 퀵뷰^BACKSPACE = 가게보기로 돌아가기 (if visited)
qstr___Quit2__|- Quit2 -
qstr__Quick_View_| 퀵 뷰 
qstr_______|      
qstr_Attributes|능력치
qstr_Skills|스킬
qstr_Proficiencies|숙련도
qstr_STR:|체력:
qstr_AGI:|민첩:
qstr_INT:|지능:
qstr_CHA:|카리스마:
qstr_Health:|HP:
qstr_Level:|레벨:
qstr_To_next_lvl:_|다음 레벨: 
qstr_Ironflesh^Power_Stri|HP증가^근접타격^투척술^궁술^무기 숙련^방패^달리기^승마^기마궁술^약탈^훈련^추적^
qstr_Tactics^Path_finding|전술^길찾기^정찰^인벤증가^상처치료^수술^응급치료^기술^설득^포로관리^리더쉽^교역
qstr_10|10
qstr_One_Handed_Weapons:^|한손무기:^^양손무기:^^폴암:^^활:^^석궁:^^투척:^^화기:
qstr_350^^350^^350^^350^^|350^^350^^350^^350^^350^^350^^350
qstr__{reg1}_| {reg1} 
qstr__100%__| 100%  
qstr__30_| 30 
qstr__3333333333_| 3333333333 
qstr__Weapons_|-무기-
qstr__Armor_|-갑옷-                       
qstr_n/a_________________|n/a                                
qstr_{s9}_feels...|{s9} 생각한다...
qstr_{s6}|{s6}
qstr_your_choice_of_compa|동료를 선택하시오,
qstr_{s7}|{s7}
qstr_your_style_of_leader|당신의 지휘 스타일...
qstr_the_general_state_of|영향을 주는 일반적 요소.^------------------------------
qstr_Morale:_____________|사기:                       ^^본래수치:          
qstr_State:______________|상태:                       
qstr_Startpage_set__Exten|시작페이지 설정 (확장 보기)
qstr__Faction_Relations_R| 팩션 관계 정보 
qstr_Player^Relation|플레이어^관계
qstr_Status|상태
qstr_Relation|관계
qstr_War|전쟁
qstr_Casus_Belli|카수스 벨리
qstr_Peace|평화
qstr_Truce|휴전
qstr_Alliance|연합
qstr_Defense_Pact|방위 조약
qstr_Trade_Agreement|무역 협정
qstr_{s60}|{s60}
qstr_{reg59?{reg59}_days:|{reg59?{reg59} 일:}
qstr_{reg61}|{reg61}
qstr_Loyal|충성스러운
qstr_Devoted|헌신적인
qstr_Fond|결속된
qstr_Gracious|반기는
qstr_Friendly|친근한
qstr_Supportive|후원적인
qstr_Favorable|선호하는
qstr_Cooperative|협력적인
qstr_Accepting|받아들이는
qstr_Indifferent|무관심한
qstr_Suspicious|의심스러운
qstr_Grumbling|험담하는
qstr_Hostile|호전적인
qstr_Resentful|반항적인
qstr_Angry|분노한
qstr_Hateful|증오하는
qstr_Revengeful|분개한
qstr_Vengeful|복수의 감정을 품은
qstr_{reg61}_{reg58?_{reg|{reg61} {reg58?({reg58} U) :}센터
qstr_{reg62}_Caravans|{reg62} 캐러반
qstr_{reg60}_{reg59?_{reg|{reg60} {reg59?({reg59} P) :}군주들
qstr__Courtships_in_progr| 진행도
qstr__Known_Lords_by_Rela| 알려진 군주와의 관계 
qstr__Character_&_Compani| 주인공과 동료들 
qstr__Done_| 확인 
qstr_Your_supporters|당신의 후원자들
qstr_Centware|조선
qstr_Suth_Seaxna|그리스
qstr_East_Seaxna|카르타고
qstr_East_Englas|고르 왕조
qstr_Gewissae|로마
qstr_Hwicce|누미디아
qstr_All_Cultures|모든 문화
qstr_Dumnonia|프랑스
qstr_Mierce|페르시아
qstr_Ynys_Manaw|덴마크
qstr_Pengwern|게르만
qstr_Goutodin|스웨덴
qstr_Bernaccia|아이유브 왕조
qstr_Lindisware|호라즘 샤 왕조
qstr_Reghed|폴란드
qstr_Crafu|튜턴기사단
qstr_Connaught|촉
qstr_Alt_Clut|영국
qstr_Dal_Riata|오
qstr_Cait|왜
qstr_Ceredigion|아라곤
qstr_Powys|노르웨이
qstr_Gwynedd|카스틸라
qstr_Dyfed|헝가리
qstr_Brycheiniog|포르투갈
qstr_Gwent|콘스탄티노플 라틴 제국
qstr_Laigin|크메르
qstr_Desmumu|위
qstr_Ulaid|여진
qstr_Ui_Neill|몽골
qstr_Airgialla|서하
qstr_F4___Formation_types|F4 - 진형 유형
qstr_F5___Weapon_orders|F5 - 무기 명령
qstr_F6___Skirmish_orders|F6 - 스커미쉬 명령
qstr_F7___Memorize_Div._P|F7 - 분대 배치 저장
qstr_F8___Default_Divisio|F8 - 분대 배치 초기화
qstr_F4___Ranks|F4 - 횡렬
qstr_F5___Shieldwall|F5 - 방패벽대형
qstr_F6___Wedge|F6 - 산개대형
qstr_F7___Square|F7 - 사각대형
qstr_F8___No_Formation|F8 - 진형 없음
qstr_F5___One_Handers|F5 - 한손 무기
qstr_F6___Two_Hands_&_Pol|F6 - 양손 무기 & 폴암
qstr_F7___Ranged|F7 - 원거리무기
qstr_F8___Shields|F8 - 방패
qstr_F5___Skirmish|F5 - 스커미쉬
qstr_F6___Melee|F6 - 근접
qstr_Disable_mod_formatio|진형 모드 끄기:
qstr_Put_player_in_divisi|플레이어를 포함시킬 분대:
qstr_Formations_rotate_to|적 중앙을 향해 진형의 방향을 회전함:
qstr_Make_large_battles_s|대규모 전투에서는 AI가 멍청해지므로 모드를 덜 적용받게함:
qstr_Prevent_AI_from_taki|적 AI의 방어적 성향을 제거함:
qstr_What_will_your_party|당신의 부대가 어떤 이름으로 불려지길 바라는가?
qstr_By_the_name_entered_|이름 지정.
qstr_Simply_by_my_name:_{|다음과 같이 불려짐: {s5}.
qstr_What_will_your_fort_|당신의 요새가 어떤 이름으로 불려지길 바라는가?
qstr_Simply_by:_{s5}.|Simply by: {s5}.
qstr__{s2}_siege_camp.| {s2} 공성 캠프.
qstr_Co_op_Mode|Co-op Mode
qstr_Battle_size|Battle size
qstr_Use_spawn_formations|Use spawn formations
qstr_Skip_menu_buttons|Skip menu buttons
qstr_Disable_active_inven|Disable active inventory 
qstr_Reduce_damage_to_pla|Reduce damage to players.
qstr_Load_Battle|Load Battle
qstr_Native_Admin_Panel|Native Admin Panel
qstr_All_troops_in_party|All troops in party
qstr_Infantry_in_party|Infantry in party
qstr_Archers_in_party|Archers in party
qstr_Cavalry_in_party|Cavalry in party
qstr_Start_battle.|Start battle.
qstr_Choose_Character|Choose Character
qstr_Choose_Troops|Choose Troops
qstr_Start_Battle|Start Battle
qstr_Show_Game_Rules|Show Game Rules
qstr_Access_Inventory|Access Inventory
qstr_Toggle_xp_Messages|Toggle xp Messages
qstr_End_Battle|End Battle
qstr_Messages:_off|Messages: off
qstr_Messages:_show_xp|Messages: show xp
qstr_Troops_{reg1}|Troops {reg1}
qstr_Reserves_{reg0}|Reserves {reg0}
qstr_{s1}_as_{s2}|{s1} as {s2}
qstr_right_position|right position
qstr_left_position|left position
qstr_ERROR!_KEINE_ENTSCHE|ERROR! KEINE ENTSCHEIDUNG!
qstr_Error_1_in_calculate|Error 1 in calculate dockingpoint
qstr_Aground!|Aground!
qstr_Boarding_Stopt!|Boarding Stopt!
qstr_boarding_in_progress|boarding in progress!
qstr_ERROR!_NO_SECOND_SHI|ERROR! NO SECOND SHIP FOUND!
qstr_Collision!|Collision!
qstr_Boarding_enemy_ship!|적의 배에 올라타라!
qstr_Boarding_f_ship!|Boarding f ship!
qstr_Free_Boarding!|Free Boarding!
qstr_Forced_Boarding_left|Forced Boarding left!
qstr_Forced_Boarding_righ|Forced Boarding right!
qstr_just_collide!|just collide!
qstr__near_{s10}|{s10} 주변
qstr_Your_recruiter_who_w|당신의 징집관이 징집한{s13}이(가) {reg10}에게 패배하였습니다!
qstr_Your_caravan_sending|당신의 상단은{s12}에서 {s13}으로 가던 도중 습격 당했습니다!
qstr_Your_messenger_on_th|당신의 전령은 {s13}로 가는 도중 {s10}에게 습격 당했습니다!
qstr_Your_soldiers_patrol|당신의 순찰대는 {s13} 근방에서 {s10}에게 공격 당했습니다!
qstr_A_scout_trying_to_ga|{s13} 정찰 임무를 수행하던 정찰대가 {s10}에게 살해당했습니다!
qstr_{s1}_of_{s3}_was_def|{s3}의 {s1}는 전투에서 패배했지만 탈출에 성공했습니다.
qstr_{s54}_is_a_claimant_|{s54}은(는) {s56}의 왕위 계승자 입니다.
qstr_nowhere|미지의 장소
qstr_{s57}_and_{s58}|{s57}, {s58}
qstr_{reg3?She:He}|{reg3?그녀:그}
qstr_The_town_of_{s50}|{s50}
qstr_The_village_of_{s50}|{s50}은(는) {s52}에 인접한 곳에 위치하고 있습니다.
qstr_{s51}_belongs_to_{s1|{s51}{s2}의 {s1}에 의해 다스려지고 있습니다.^
qstr_{s7}_and_{s8}|{s7} 그리고 {s8}
qstr_{s2}It_has_no_villag|{s2}소속된 마을은 없음.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?소속된 마을들은:소속된 마을은} {s8}입니다.^
qstr_{s2}Its_prosperity_i|{s2}^재정 상태: {s50}
qstr_noone|없음
qstr_{s9}_and_{s10}|{s9} 그리고 {s10}
qstr_{s5}_has_been_defeat|{s5}은 전투에서 패배하였습니다.
qstr_{s7}_opened_the_gate|{s7}의 성문을 엽니다.
qstr_{s7}_closed_the_gate|{s7}의 성문을 닫습니다.
qstr_You_are_hurt_close_t|다쳐서 죽음이 가깝습니다. 치료가 필요합니다.
