ip_morale|Moral
ip_military_campaigns_text|Northlands'de krallıklar savaşa girdikleri zaman, ordularının saldırı için iki seçeneği vardır: Köylere saldırıp ve sayfiye yerleri yerle bir etmeye çalışabilirler, böylece düşmanlarının itibarına ve ekonomilerine zarar verirler. Ya da, şehirleri ve kaleleri fethedip ellerinde tutmaya çalışabilirler. Bu ikinci seçenek, uzun süren kanlı kuşatmalar gerektirebilir, fakat sonunda daha kesin kazançlar sağlar.^^ Northlands kralları savaş alanına, hükümdarın istediği kadar savaş alanında kalan düzenli ordular sürmez. Bunun yerine, Englaland'daki krallıklar, derebeylerinin soylu gruplarından ve kişisel maiyetlerinden oluşan birlikleri tarafından korunur. Bazen bu soylular kendi başlarına düşman topraklarına saldırsalar da, en kesin sonuçlar genelde büyük orduların birleştiği savaşlarda alınır. Kral tarafından görevlendirilmiş bir soylu olan krallık mareşali, savaş öncesinde orduyu savaşa çağıracak ve onları yönetecektir. Ancak, orduyu savaş alanında fazla tutmamaya dikkat etmek gerekir. Aksi takdirde, derebeylerinin kendilerine işlerine yönelmeleri sonucu ordu çözülmeye başlar ve bir karşı saldırıya karşı savunmasız kalabilir. ^^ Bu sebeple, Kalradya'da savaşların ritmi çoğunlukla iki savaşçının karşılıklı düellosundaki ritme benzer: Taraflardan biri gücünü arttıracak ve düşman topraklarına bir darbe indirmeye çalışacaktır. Eğer mareşal derebeylerini toplamak için yeterince uğraşmazsa düşmanlarına yeterince zarar veremeyebilir. Eğer bu iş için fazla vakit kaybederse sefer henüz başlamadan bitebilir. Büyük bir krallık küçüğünden üstündür, bu üstünlük kaslı bir savaşçının cılız bir düşman üzerindeki üstünlüğüne benzer; ancak krallığın politik yönden ne kadar birlik halinde olduğu da önemli bir etkendir, bu da kuvvetli bir savaşçının düşman karşısında dayanabilmesine benzetilebilir. Bazen iki krallığın orduları kafa kafaya gelir, böyle savaşların sonucu hem asker sayısı hem de askerlerin moralleri tarafından belirlenir. ^^Zaman zaman krallıkların düşmanları hakkında bildikleri yetersiz kalır. Savaş lordları, hangi kalelerin savunmasız olduğunu belirlemek için sık sık düşman topraklarını gözetleme gereksinimi duyar. Herhangi bir düşman harekatı halinde bu bilgiyi yayan tehlike işaretlerinin kalelerden ve şehirlerden yayılması, ordunun kendi yurdunu savunmasına oldukça yardımcı olacaktır. Yine de bu çeşit bilgiler, özellikle sayılar söz konusu olduğunda yetersiz kalacaktır. Bir kuşatmayı kaldırmak veya bir köyü kurtarmak için yola çıkan bir savunma ordusu, gerçekte hazırlıksız olan düşmanlarının sayısını abartabilir -- veya küçümsediği bir orduyu abartmış olması gerektiğini acı yoldan öğrenebilir. Buna karşılık saldıran taraf, düşman topraklarında ne kadar ilerlediklerine dikkat etmelidir; savaşçı mareşaller temkinli olanlardan daha ilerilere atılabilirler. ^^ Oyuncuların, orduya katılarak veya düşman topraklarında gözcülük yapmaya çalışarak gruplarının askeri seferlerine katılmaları beklenir. Bazı oyuncular krallıklarının mareşalini fazla temkinli veya saldırgan bulabilirler. Bu durumda diğer lordları mareşalin yerini almaları için kışkırtmaya çalışabilir, ya da kendileri mareşal olmak için destek toplayabilirler. ^^Çoğu savaşın süresi kısıtlıdır. Savaşa giden krallar, sadece kısa süre bir için kendilerini şeref adına anlaşmazlığın peşine düşmeye mecbur hisseder. Eğer düşmanı bozguna uğratmıyorlarsa, üçüncü bir grubun saldırısına karşı savunmasız kalmamak için anlaşmazlığı çözmenin bir yolunu aramaya başlayacaklardır. Northlands'in hükümdarları, bugünün dostlarının yarın düşman, düşmanlarının da dost olabileceğini gayet iyi bilirler .
ip_armies_size|Army size factors
ip_armies_size_text|Ordunuzun büyüklüğü, kralların orduları ile aynı şekilde, bir çok faktöre bağlıdır: ^^ Liderlik yeteneğiniz: her puan ordunuzun maksimum büyüklüğünü 5 artıracaktır.^^> Karizma: her puan ordunuzun maksimum büyüklüğünü 1 artıracaktır.^^> Nam: Her 9 puan ordunuzun maksimum büyüklüğünü 1 artıracaktır. Kişileri kendi davanıza çekmek sizin yeteneğinize bağlıdır. ^^> Hisseler: alacağınız her şehir ordunuza 80 adam ve her kale 40 adam verecektir. Bu adamlar sizi Lordları olarak kabul ederek size hizmet etmek zorundadırlar.
ip_siege_warfare|Kuşatma Muharebesi
ip_siege_warfare_text|Viking Kuşatması, size Karanlık Çağlardaki kuşatma muharebelerini sunar. Oyuncular bir yerleşim yerini kuşattığında, o yeri ele geçirmek için iki yol izlenebilir: güçten düşürme yolu (açlık, hastalık ...) ya da saldırı. ^^Birinci yolda oyuncunun amacı yerleşim yerini kapatarak erzak ve destek güç alımını önlemektir. Aynı zamanda yerleşim yerinin moral gücünü düşürmek, hastalıkları yaymak ve yiyecek kaynaklarını yok etmek için çeşitli eylemler yapılabilir. Bu tip olaylar zaman alır ancak kendi tarafınızda oluşabilecek büyük kayıpları önler. ^^İkinci yolda ise mevcut saldırı ekipmanları (merdivenler, kalkanlar...) ile doğrudan saldırıya geçilir ya da saldırgan hucümlar yapılır (savunanları yıpratmak, evlerini ve surlarını yakmak...). Bu seçenek, oyuncu kendini o yerleşim yerini tam bir saldırı ile ele geçirmeye hazır hissettiğinde kullanılmalıdır. Bu saldırının avantajı o yeri biran önce ele geçirmektir ancak genellikle benzer pahada can kaybına sebep olur.  ^^Ayrıca yerleşim yerinin bir limanı var ise, oyuncu bir donanma edinerek limana denizden de saltırı yapabilir. ^^Yeni kuşatma sisteminin gücü ve özellikleri burada detaylı anlatılamayacak kadar fazladır. Yapılabilecek en iyi şey oyunu kendi başınıza keşfetmeniz ve kendinize göre stratejiler geliştirmenizdir. Gerçekçi bir kuşatma muharebesine hoşgeldiniz.
ip_naval_warfare|Gemi kontrolü
ip_naval_warfare_text|İleri, ileri hızlı, geri kürek çekme veya durma emri verebilirsin. Yukarı ve aşağı ok tuşları bu emirler arasında geçiş yapmanı sağlar.^Ayrıca düz gitme, sağ sol manevra yapma ve bu manevraların özellikle sert olması için de komut verebilirsin. Sol ve sağ ok tuşları bu komutlar arasında geçişi sağlar. ^O an için geçerli olan komut, gemi görselinin sağ üst köşesindeki oklar ile gösterilir.^Demir almak için Enter tuşunu, sahneyi geniş açıdan görmek için ise Backspace tuşunu kullanabilirsin.
ip_wounds|Yaralar
ip_wounds_text|Büyük şehirlerdeki Hekimler belirli bir ücret karşılığında yaraları birkaç gün içerisinde tedavi edebilirler. Tüm negatif etkiler yok olacaktır. Eğer yara tedavi edilmezse bir süre sonra iz halini alacak ve negatif etkiler kalıcı olacaktır.
ip_traits|Kişisel özellikler
ip_traits_text|15. seviyeye ulaştığında şu karakter özelliklerinden istediğin birini seçebilirsin:^^Berserker: Berserk moda geçmek savaş alanının ateşiyle hızının ve gücünün artmasını sağlar ve bu canavarlık hali görüşünün kanlanmasına sebep olur.^^Lider: Bu yetenek liderlik seviyenizi artırır. Adamlarınız, attığınız savaş çığlıkları ile daha da kana susamış şekilde dövüşeceklerdir.^^Çetin: Bu yetenek, birliklerinizin savaş alanındaki hızını ve hareket kabiliyetini artırır.^^Güçlü: Adamlarınızın kalkan ve zırhlarının bakımı üzerine düşüyor oluşunuz, düşmanınız için sizden birine hasar vermeyi zorlaştıracaktır.^^Bu karakter özelliklerini etkinleştirmek için savaş alnında T tuşuna basın.
ip_recruitment|Asker Toplama Sistemi
ip_recruitment_text|Viking Conquest'teki asker toplama sistemi otomatik değildir ve belirli faktörlere bağlıdır. Her şeyden önce; köylerden, kalelerden veya şehirlerden asker toplamak için bunu yapabilmek için ilgili kişiden izin almanız gerekmektedir. Örneğin köylerdeki izni köy yaşlısından veya köy sahibinden, kale ve şehirlerdeki izni de o yerleşkenin sahibi lorddan almanız gerekmektedir. ^Çiftliklerde her zaman size katılmak isteyen insanlar bulabilirsiniz. Ayrıca, eğer Hristiyan iseniz, manastırlarda yanınıza alabileceğiniz birkaç asker bulma şansınız vardır. Lordlar izin alabilmeniz için şanınızın yeterli seviyede (150+ olması gerektiği gibi o lord ve o krallık ile ilişkilerinizin de iyi olması gerekir. Köy yaşlısından izin alabilmek ise için bir çok yöntem vardır. Yüksek şan seviyeniz (150+), köy ile olan ilişkiniz (15+) veya köy yaşlısına vereceğiniz rüşvet işinizi görmeye yetecektir. Rüşvet girişiminiz ilk seferde işe yaramayabilir. bu durumda birkaç kez daha şansınızı deneyebilirsiniz. İzni aldığınız zaman, köy ile ilişkileriniz pozitif kaldığı sürece buradan asker toplayabilirsiniz. Köylerden 1. kademe askerler toplanabilir. Eğer ki köy ile ilişkileriniz gerçekten yüksek seviyedeyse (60+), 2. kademe askerler toplayabilir hale geleceksiniz. Köyün sahibi olmanız durumunda, köy ile ilişkinizin 20 puanın üzerinde olduğunu varsayarsak, 2. kademe asker toplama şansınız %50dir. Kale ve şehirlerden 2. kademe askerler toplayabilirsiniz. Eğer söz konusu yerleşim yeriyle ilişkileriniz yeterince iyi ise (30+), %30 şans oranıyla 3. kademe asker toplama şansı elde edersiniz. Tek seferde alabileceğiniz maksimum adam sayısı, yerleşke ile ilişkiniz, liderliğiniz, karizmanız, yerleşkenin dini ve o bölgenin sahibi olup olmadığınız ile bağlantılıdır.
