str_yes|Evet.
str_february_reg1_reg2|Şubat {reg1}, {reg2}
str_march_reg1_reg2|Mart {reg1}, {reg2}
str_april_reg1_reg2|Nisan {reg1}, {reg2}
str_may_reg1_reg2|Mayıs {reg1}, {reg2}
str_june_reg1_reg2|Haziran {reg1}, {reg2}
str_july_reg1_reg2|Temmuz {reg1}, {reg2}
str_august_reg1_reg2|Ağustos {reg1}, {reg2}
str_september_reg1_reg2|Eylül {reg1}, {reg2}
str_october_reg1_reg2|Ekim {reg1}, {reg2}
str_november_reg1_reg2|Kasım {reg1}, {reg2}
str_december_reg1_reg2|Aralık {reg1}, {reg2}
str_town_nighttime| Şu anda gece ve halk sokakları boşaltmış durumda.
str_door_locked|Kapı kilitli.
str_castle_is_abondened|Kale boş görünüyor.
str_town_is_abondened|Şehri koruyan herhangi bir birlik yok.
str_place_is_occupied_by_player|Burası sizin birliklerinizin hakimiyeti altında.
str_place_is_occupied_by_enemy|Burası düşman birliklerin hakimiyeti altında.
str_place_is_occupied_by_friendly|Burası dost birliklerin hakimiyeti altında.
str_do_you_want_to_retreat|Geri çekilmek istediğinize emin misin?
str_give_up_fight|Savaştan çekiliyor musunuz?
str_do_you_wish_to_leave_tutorial|Eğitimden çıkmak istiyor musunuz?
str_do_you_wish_to_surrender|Teslim olmak istiyor musunuz?
str_can_not_retreat|Geri çekilemezsiniz. Yakında düşmanlar var!
str_s1_joined_battle_enemy|{s1}, düşman tarafında savaşa katıldı.
str_s1_joined_battle_friend|{s1}, sizin tarafınızda savaşa katıldı.
str_entrance_to_town_forbidden|Şehir muhafızları davetsiz misafirleri gözlüyor ve görünüşe bakılırsa kasabaya sorunsuz girmeniz kolay olmayacak.
str_sneaking_to_town_impossible|Şehir muhafızları alarmda. Kendinizi gizleseniz bile bu kapıdan girmeniz mümkün değil.
str_battle_won|Savaşı kazandınız!
str_battle_lost|Savaşı kaybettiniz!
str_attack_walls_success|Kanlı bir savaştan sonra, cesur askerleriniz duvarları ele geçirdi.
str_attack_walls_failure|Duvarlara dalga dalga saldıran askerleriniz katledildi, sağ kalanlar da bir daha dönmemek üzere kaçtılar.
str_attack_walls_continue|Savaş çok kanlı geçti. Her iki taraf da cesurca savaştı. Savaşçılarınızın tüm çabalarına rağmen şehir hala düşmanın elinde.
str_order_attack_success|Askerleriniz cesaretle savaşarak düşmanı yendi.
str_order_attack_failure|Düşman, birliğinizi son askerine kadar kılıçtan geçirirken ümitsizce muharebeyi izlediniz.
str_order_attack_continue|Askerleriniz düşmanla çarpıştı, fakat onları yenemedi.
str_join_order_attack_success|Askerleriniz ve müttefikleriniz birlikte cesurca savaşıp düşmanı yendi.
str_join_order_attack_failure|Düşman, birliğinizi son askerine kadar kılıçtan geçirirken ümitsizce muharebeyi izlediniz.
str_join_order_attack_continue|Askerleriniz müttefiklerinizle beraber düşmana karşı mücadele verdi; fakat düşmanı yenemedi.
str_siege_defender_order_attack_success|Savunmadakiler kahramanca dövüşüp düşmanı bozguna uğrattılar.
str_siege_defender_order_attack_failure|Düşman savunmadakileri katlederken ümitsizce kuşatmayı izlediniz.
str_siege_defender_order_attack_continue|Tekrar savunmadakiler düşmanla çarpıştı,fakat gerçek bir zafer diyebilceğinizden çok savunmacı hayatta. Kuşatma devam ediyor.
str_hero_taken_prisoner|{s3}'{.den} {s1}, {s2} tarafından esir alındı..
str_hero_freed|{s3}{.den} {s1}, {s2} tarafından esaretten kurtarıldı..
str_center_captured|{s1}, {s2} tarafından {s3}'{.den} alındı.
str_troop_relation_increased|{s1} ile ilişkiniz iyileşerek {reg1}{.den} {reg2}{.e} çıktı.
str_troop_relation_detoriated|{s1} ile ilişkiniz kötüleşerek {reg1}{.den} {reg2}{.e} indi.
str_faction_relation_increased|{s1} ile ilişkiniz iyileşerek {reg1}{.den} {reg2}{.e} çıktı.
str_faction_relation_detoriated|{s1} ile ilişkiniz kötüleşerek {reg1}{.den} {reg2}{.e} indi.
str_party_gained_morale|Grubunuz {reg1} moral kazandı.
str_party_lost_morale|Grubunuz {reg1} moral kaybetti.
str_other_party_gained_morale|{s1} {reg1} moral kazandı.
str_other_party_lost_morale|{s1} {reg1} moral kazandı.
str_qst_follow_spy_noticed_you|Casus sizi fark etti! Kaçmaya çalışıyor!
str_father|baba
str_husband|koca
str_wife|karı
str_daughter|kız
str_mother|anne
str_son|oğlu
str_brother|erkek kardeş
str_sister|kız kardeş
str_he|O
str_she|O
str_s3s_s2|{s3}'{.nin} {s2}{.i}
str_s5_is_s51|{s5} {s51}.
str_s5_is_the_ruler_of_s51|{s5}, {s51}{.nin} hükümdarıdır.
str_s5_is_a_nobleman_of_s6|{s5} bir {s6} soylusudur.  
str_relation_mnus_100|İntikamcı
str_relation_mnus_90|Acımasız
str_relation_mnus_80|Hınçlı
str_relation_mnus_70|Nefret dolu
str_relation_mnus_60|Zıt
str_relation_mnus_50|Saldırgan
str_relation_mnus_40|Kızgın
str_relation_mnus_30|Muhalif
str_relation_mnus_20|Hoşnutsuz
str_relation_mnus_10|Şüpheci
str_relation_plus_0|Kayıtsız
str_relation_plus_10|Uzlaşımcı
str_relation_plus_20|Samimi
str_relation_plus_30|Olumlu
str_relation_plus_40|Destekleyici
str_relation_plus_50|Arkadaşça
str_relation_plus_60|Minnettar
str_relation_plus_70|Dostça
str_relation_plus_80|Sadık
str_relation_plus_90|Adanmış
str_relation_mnus_100_ns|{s60} senin can düşmanın.
str_relation_mnus_90_ns|{s60} sana karşı acımasız.
str_relation_mnus_80_ns|{s60} sana karşı hınçlı.
str_relation_mnus_70_ns|{s60} sana çok öfkeli.
str_relation_mnus_60_ns|{s60} sana karşı zıt davranıyor.
str_relation_mnus_50_ns|{s60} sana karşı saldırgan.
str_relation_mnus_40_ns|{s60} sana kızgın.
str_relation_mnus_30_ns|{s60} sana muhalif.
str_relation_mnus_20_ns|{s60} senden hoşnutsuz.
str_relation_mnus_10_ns|{s60} sana karşı şüpheci.
str_relation_plus_0_ns|{s60} sana karşı kayıtsız.
str_relation_plus_10_ns|{s60} seninle uzlaşımcı.
str_relation_plus_20_ns|{s60} seninle samimi.
str_relation_plus_30_ns|{s60} sana karşı olumlu.
str_relation_plus_40_ns|{s60} seni destekleyici.
str_relation_plus_50_ns|{s60} sana arkadaşça davranıyor.
str_relation_plus_60_ns|{s60} sana minnettar.
str_relation_plus_70_ns|{s60} sana dostça davranıyor.
str_relation_plus_80_ns|{s60} sana sadık.
str_relation_plus_90_ns|{s60} sana kendini adamış. 
str_relation_reg1| İlişki: {reg1}
str_center_relation_mnus_100|^Buranın halkı sizden ölesiye nefret ediyor.
str_center_relation_mnus_90|^Buranın halkı senden hararetle nefret ediyor.
str_center_relation_mnus_80|^Buranın halkı senden oldukça nefret ediyor.
str_center_relation_mnus_70|^Buranın halkı senden nefret ediyor.
str_center_relation_mnus_60|^Buranın halkı sana karşı hınç dolu.
str_center_relation_mnus_50|^Buranın halkı sana çok düşmanca davranıyor.
str_center_relation_mnus_40|^Buranın halkı sana düşmanca davranıyor.
str_center_relation_mnus_30|^Buranın halkı sana karşı düşmanlık besliyor.
str_center_relation_mnus_20|^Buranın halkı sana karşı.
str_center_relation_mnus_10|^Buranın halkı sana muhalif.
str_center_relation_plus_0|^Buranın halkı sana karşı kayıtsız.
str_center_relation_plus_10|^Buranın halkı seni onaylıyor.
str_center_relation_plus_20|^Buranın halkı sana yardımcı oluyor.
str_center_relation_plus_30|^Buranın halkı seni destekliyor gibi.
str_center_relation_plus_40|^Buranın halkı seni destekliyor.
str_center_relation_plus_50|^Buranın halkı seni oldukça destekliyor.
str_center_relation_plus_60|^Buranın halkı sana sadık.
str_center_relation_plus_70|^Buranın halkı sana çok sadık.
str_center_relation_plus_80|^Buranın halkı sana derin bir sadakatle bağlı.
str_center_relation_plus_90|^Buranın halkı sana hararetli bir şekilde bağlı.
str_town_prosperity_0|^{s60} dayanılmaz düzeyde yoksul.
str_town_prosperity_10|^Sefalet içindeki {s60} tamamen terk edilmiş.
str_town_prosperity_20|^Pislik içerisindeki {s60} neredeyse terk edilmiş.
str_town_prosperity_30|{s60} fakir ve göz ardı edilmişe benziyor.
str_town_prosperity_40|^{s60} parasızlıkla boğuşuyor.
str_town_prosperity_50|^{s60} önemsiz görünüyor.
str_town_prosperity_60|^{s60} gelişiyor gibi görünüyor.
str_town_prosperity_70|^İşleri yolunda giden {s60} etkinlikle dolup taşıyor.
str_town_prosperity_80|^{s60} zengin ve bakımlı görünüyor.
str_town_prosperity_90|^{s60} varlıklı, hali vakti yerinde insanlarla dolu.
str_town_prosperity_100|^Muazzam servetiyle göz dolduran {s60} gösteriş yapıyor.
str_fort_prosperity_0|^{s60} dayanılamaz seviyede yoksul.
str_fort_prosperity_10|^{s60} neredeyse terkedilmiş.
str_fort_prosperity_20|^{s60} kalesi çok fakir ve ıssız bir yere benziyor.
str_fort_prosperity_30|^{s60} kalesi fakir ve göz ardı edilmişe benziyor..
str_fort_prosperity_40|^{s60} kalesi parasızlıkla boğuşuyor.
str_fort_prosperity_50|^{s60} kalesi önemsiz görünüyor.
str_fort_prosperity_60|^{s60} kalesi gelişiyor gibi görünüyor.
str_fort_prosperity_70|^Varlıklı {s60} kalesi etkinlikle dolup taşıyor.
str_fort_prosperity_80|^{s60} kalesi zengin ve bakımlı görünüyor.
str_fort_prosperity_90|^{s60} kalesi varlıklı, hali vakti yerinde insanlarla dolu.
str_fort_prosperity_100|^Muazzam servetiyle göz dolduran {s60} gösteriş yapıyor.
str_village_prosperity_0|^{s60} köyü dayanılamaz seviyede yoksul.
str_village_prosperity_10|^{s60} köyü sersefil ve zavallı görünüyor.
str_village_prosperity_20|^{s60} köyü çok fakir ve ıssız bir yere benziyor.
str_village_prosperity_30|^{s60} köyü fakir ve göz ardı edilmişe benziyor.
str_village_prosperity_40|^{s60} köyü parasızlıkla boğuşuyor.
str_village_prosperity_50|^{s60} köyü önemsiz görünüyor.
str_village_prosperity_60|^{s60} köyü gelişiyor gibi görünüyor.
str_village_prosperity_70|^{s60} köyü iyiye gidiyor gibi görünüyor.
str_village_prosperity_80|^{s60} köyü zengin ve bakımlı görünüyor.
str_village_prosperity_90|^{s60} köyü zengin ve gönenç içinde görünüyor.
str_village_prosperity_100|^Geniş, verimli tarlalarla çevrili {s60} köyü çok zengin görünüyor.
str_town_alt_prosperity_0|^Pazarda satılan bazı eşyalar kötü beslenen sıradan insanlar ve onların zayıf hayvanları için pahalı. Harabeler arasında çocuklar sopa ve çakıl taşlarıyla oynuyor.
str_town_alt_prosperity_20|^Tüccarların eşyalarının azalmakta olduğu pazarda yüksek fiyat tartışmaları duyuluyor. Yollarda çocuklar her geçenden bir parça ekmek ya da değerli bir şey dileniyorlar.
str_town_alt_prosperity_40|^Pazardaki eşyalar ortalama kalitede ve tüccarlar kasabanın birkaç zengini için arada lüks eşyalar da getiriyor. Bazı evler tamirat ile kullanılabilirken diğerleri iyi durumda.
str_town_alt_prosperity_60|^Bazılarının kalıp şanslarını denemek istemesi dışında uzak yerlerden ticaret yapıp gitmek için gelen tüccarlar pazarda arı gibi çalışıyor.
str_town_alt_prosperity_80|^Kasaba boyunca çatılar düzgünce yapılmış ve halk kaliteli giysiler giyiyor. Bu canlanan ticaret yerine her gün bir dizi insan iş ve zenginlik bulmak için geliyor.
str_village_alt_prosperity_0|^Güçlü yapılı insanlar az sayıda ve tarlalarda zararlı otlar büyüyor. Birçoğu yerleşim merkezini bırakmış ve hayvanların çoğu ya yenmiş ya da kırsalda ölüyor bu da yabani hayvanları çekiyor.
str_village_alt_prosperity_20|^Tarlalarda birkaç çiftçi ve hayvan çalışıyor fakat çoğu daha iyi bir hayat için göç etmiş. Çiftlikler yıkılmak üzere ve zararlı otlar tarlaları ele geçirmiş.
str_village_alt_prosperity_40|^Daha zengin köylüler ve hayvanları otlak ve tarlalarda dolaşıp duruyor. Ancak birçok ev yıkılmak üzere ve tarlalar ekilmeden bırakılmış. 
str_village_alt_prosperity_60|^İşçiler tarlalarla meyve bahçelerinde arı gibi çalışıyor; çuvallar, köyün ekin ve otlak arazilerinin verimliliğini gösterircesine tahıl ve kurutulmuş et dolu.
str_village_alt_prosperity_80|^Tarlalar ve meyve bahçeleri güçlü vücutlu insanlarla dolu, iyi beslenmiş köylüler çiftlik hayvanlarını beslemek için tarlalarını genişletiyor. Tüm bu sırada işçiler çalışmak ve zenginliğe katılmak için toplaşıyorlar. 
str_oasis_village_alt_prosperity_0|Meyve korulukları neredeyse terk edilmiş, sulama kanalları ise alüvyonlarla tıkanmış. Topu topu bir avuç kalan köylüler rahatsız ve sağlıksız besleniyor gibi görünüyorlar. Koşum hayvanları Koşum hayvanları ise ya açlıktan ölmüş ya da kesilip yenmiş. Yine de sadece birkaçının cesedi varoşlarda görünüyor; kemiklerini çölde yaşayan vahşi çakallar kemirmiş.
str_oasis_village_alt_prosperity_20|Meyve koruluklarına bakan sadece birkaç köylü görünüyor. Çöl kumulları yer yer bahçelerde zarar vermişe benziyor. Sulama kanallarının çoğu alüvyonlar yüzünden tıkalı, kuyular ve sarnıçlar ise kumla dolmuş.
str_oasis_village_alt_prosperity_40|Erkekler ve kadınlar meyve koruluklarının bakımıyla uğraşıyor, ağaçların tepesine tırmanıp meyveleri tozlaştırıyorlar. Sağlıklı hayvanlar tarlalara su getiren tulumbaları ve tekerlekleri çekiyorlar. Yine de sulama kanallarıyla sarnıçların bazılarının bakıma ihtiyacı var.
str_oasis_village_alt_prosperity_60|İşçiler meyve koruluklarıyla bostanlarda arı gibi çalışıyor. Çiftçiler, meyvelerini tozlaştırdıkları ağaçların tepesinden birbirlerine neşeyle sesleniyor. Tahta tulumbaların gıcırtısı, koşum hayvanlarının böğürtüsü ve akan suyun sesi, köylülerin ilgisiyle gelişen bir sulama sistemini haber veriyor.
str_oasis_village_alt_prosperity_80|İşçiler meyve koruluklarıyla bostanlarda arı gibi çalışıyor. İşçiler yığınla meyveyi pazarda satmak için arabalara yüklüyorlar. Erkekler ve kadınlar yeni kuyular ve sulama kanalları kazmakla meşgul, böylece daha büyük bir araziyi sulayabilecekler.
str_acres_grain|dönüm tahıl arazisi
str_acres_orchard|dönüm bağ ve bostan
str_acres_oasis|dönüm sulanan hurma arazisi
str_looms|dokuma tezgahı
str_boats|gemiler
str_head_cattle|baş sığır
str_head_sheep|baş koyun
str_mills|değirmen taşı
str_kilns|fırın
str_pans|çömlek
str_deposits|demir filizi
str_hives|kovan
str_breweries|birahane
str_presses|üzüm sıkacağı
str_smithies|demirci 
str_caravans|kervan
str_traps|tuzak
str_gardens|bahçe
str_tanneries|tabaklama kuyusu
str_master_miller|Değirmenci
str_master_brewer|Bira imalatçısı
str_master_presser|Pres ustası
str_master_smith|Demirci ustası
str_master_tanner|Tabakhane başı
str_master_weaver|Dokumacı ustası
str_master_dyer|İpek ustası
str_war_report_minus_4|savaşı kaybetmek üzereyiz
str_war_report_minus_3|durum iç açıcı görünmüyor
str_war_report_minus_2|işler pek iyi gitmiyor
str_war_report_minus_1|birleşirsek savaşı hala kazanabiliriz
str_war_report_0|düşmanla başa baş durumdayız
str_war_report_plus_1|kazanma şansımız vasatın üstünde
str_war_report_plus_2|işler oldukça iyi gidiyor
str_war_report_plus_3|onları yenmek zor olmayacak
str_war_report_plus_4|savaşı kazanmak üzereyiz
str_persuasion_summary_very_bad|{s50} karşınıza geçiyor ve onu ikna etmek için elinizden geleni yapıyorsunuz, ama savlarınızın hiç biri doğru çıkmıyor. Ne zaman söyledikleriniz bir anlam kazanmaya başlasa, her şeyi yüzünüze gözünüze bulaştırıp tamamen yanlış bir şey söylüyorsunuz. Konuşmayı bitirdiğinizde, işinize yarayacak tutarlı hiç bir şey söylemediğiniz gibi, kendinizi daha da batırdığınızı fark ediyorsunuz. Beklendiği gibi, {s50} hiç de etkilenmiş görünmüyor.
str_persuasion_summary_bad|Savlarınızı sıralamaya yeni başlamış olmanıza rağmen {s50} sizi daha en başından alaşağı ediyor. En iyi savlarınız kendinize bile boş görünüyor. {s50} de sizin söyleyeceklerinize dair pek bir beklenti içerisinde değil.
str_persuasion_summary_average|{s50} keskin bir zekaya ve konuşma konusunda yeteneğe sahip biri olduğunu ortaya koyuyor ve mantığıyla savuşturamayacağı kadar katı bir fikir öne süremiyorsunuz. Nihayetinde, ne siz ne de o, tartışmada bir üstünlük sağlayamıyorsunuz.
str_persuasion_summary_good|Hızlı düşünüp akıcı konuşarak, iddianızı iyi bir şekilde belirtiyor ve {s50} daha karşılık bile veremeden onu çeşitli noktaları kabul etmeye zorluyorsunuz. Ne var ki, {s50} yine de isteğiniz hakkında çekincelere sahip olduğunu belirtiyor.
str_persuasion_summary_very_good|Dinleyen herkesin kulağında yankılanan, ateşli bir konuşma sergiliyorsun. Öyle ki, dünyanın kendisi seni daha iyi duymak için sesini kısmış gibi duruyor. {s50} ilham verici bu sözlerden  derinden etkiliyor ve sana yardım etmeye çok daha hazır ve istekli görünüyor.
str_secret_sign_1|Gardırop gece yarısında dans eder..
str_secret_sign_2|Bu güzel Kergit duvar halılarından satıyorum. Almak ister misiniz?
str_secret_sign_3|Beni bir dostumun dostu yolladı...
str_secret_sign_4|Rüzgar doğudan sert eser ve ırmak kızıla bulanır...
str_countersign_1|Ama şifoniyer için mi yoksa şamdan için mi dans eder?
str_countersign_2|Evet, elinizde mavi var mı?
str_countersign_3|Ama dostum, dostunun dostunun benim gibi bir dostu asla olmayacak.
str_countersign_4|Hasta mıydın?
str_name_1|Aelle
str_name_2|Alduini
str_name_3|Berdun
str_name_4|Caedmon
str_name_5|Cearl
str_name_6|Coenred
str_name_7|Eadbald
str_name_8|Arthfael
str_name_9|Eafa
str_name_10|Earpwald
str_name_11|Hengist
str_name_12|Horsa
str_name_13|Osred
str_name_14|Thrydwulf
str_name_15|Wictred
str_name_16|Wuffa
str_name_17|Cyny
str_name_18|Cunedog
str_name_19|Idnerth
str_name_20|Dyfrig
str_name_21|Treni
str_name_22|Cadfan
str_name_23|Cadwgon
str_name_24|Rhiwallon
str_name_25|Hywel
str_surname_1|Lundenwicli {s50}
str_surname_2|Dorce Ceasterli {s50}
str_surname_3|Bebbanburhlu {s50}
str_surname_4|Caer Wenddoleulu {s50}
str_surname_5|Emain Machalı {s50}
str_surname_6|Cirren Ceasterli {s50}
str_surname_7|Din Draithoulu {s50}
str_surname_8|Licidfelthli {s50}
str_surname_9|Caer Lloywli {s50}
str_surname_10|Colne Ceasterli {s50}
str_surname_11|Din Erthli {s50}
str_surname_12|Norwicli {s50}
str_surname_13|Caer Riderchli {s50}
str_surname_14|Duin Ollaighlı {s50}
str_surname_15|Denisesburnalı {s50}
str_surname_16|Dun Buiceadlı {s50}
str_surname_17|Swanawicli {s50}
str_surname_18|Wodetunlu {s50}
str_surname_19|Badunlu {s50}
str_surname_20|Leim an Eichli {s50}
str_surname_21|Uzun {s50}
str_surname_22|Sıska {s50}
str_surname_23|İpeksakal {s50}
str_surname_24|Serçe {s50}
str_surname_25|Yoksul {s50}
str_surname_26|Çizik {s50}
str_surname_27|Adil {s50}
str_surname_28|Amansız {s50}
str_surname_29|Kızıl {s50}
str_surname_30|Kara {s50}
str_surname_31|Sırık {s50}
str_surname_32|Yıldızgöz {s50}
str_surname_33|Korkusuz {s50}
str_surname_34|Cesur {s50}
str_surname_35|Kurnaz {s50}
str_surname_36|Korkak {s50}
str_surname_37|Parlak {s50}
str_surname_38|Hızlı {s50}
str_surname_39|Âşık {s50}
str_surname_40|Gözüpek {s50}
str_surname_41|Asabi {s50}
str_surnames_end|surnames end
str_number_of_troops_killed_reg1|Öldürülen asker sayısı: {reg1}
str_number_of_troops_wounded_reg1|Yaralı asker sayısı: {reg1}
str_number_of_own_troops_killed_reg1|Öldürülen müttefik asker sayısı: {reg1}
str_number_of_own_troops_wounded_reg1|Yaralanan müttefik asker sayısı: {reg1}
str_retreat|Geri çekilme!
str_siege_continues|Savaş devam ediyor...
str_casualty_display|Kayıp: {s10}. Düşmanın kaybı: {s11}. {s12}
str_casualty_display_hp|{reg1} puanlık yara aldınız.
str_quest_log_updated|Görev kayıtları güncellendi...
str_banner_selection_text|Artık sancak taşıma hakkına sahipsiniz. Sancağınız statünüzün göstergesi olacak ve size şeref verecek. Hangi sancağı seçmek istersiniz?
str_retirement_text_1|Çok geç olana kadar paranızın dayanmayacağını fark etmiyorsunuz. Biriktirmeye tenezzül ettiğiniz azıcık parayı çarçur etmeniz de uzun sürmüyor ve maceracılığa geri dönmek üzere yaptığınız bir kaç çaresiz denemede de başarılı olamıyorsunuz. {s9} kilisesinin yardımı ve sadakalarla yaşayan bir dilenci olup çıkıyorsunuz.
str_retirement_text_2|Çok geç olana kadar paranızın dayanmayacağını fark etmiyorsunuz. Biriktirmeye tenezzül ettiğiniz azıcık parayı çarçur etmeniz de uzun sürmüyor. Elinizde kalan son pening da buhar olup uçtuktan sonra {s9} sokaklarında suç dolu bir hayata başlıyor, yeteneklerinizi kullanarak kadınlardan ve zavallı şehir sakinlerinden bakır çalarak hayatınızı sürdürmeye çalışıyorsunuz.
str_retirement_text_3|Çok geç olana kadar paranızın dayanmayacağını fark etmiyorsunuz. Biriktirmeye tenezzül ettiğiniz azıcık parayı çarçur etmeniz de uzun sürmüyor ve handan hana dolaşıp hoşgörülü müşterilere kimsenin inanmadığı savaş hikayeleri anlatarak içki çarpan parasız bir gezgine dönüyorsunuz.
str_retirement_text_4|Biriktirdiğiniz gümüş uzun süre dayanmıyor ama {s7} yakınlarında biraz toprak alacak kadarını bulmayı başarıyorsunuz. Orada özgür bir çiftçi oluyorsunuz ve potansiyel eş adaylarını çekmeye başlıyorsunuz. Kısa zamanda köylüler size yerel kahramanları gibi davranmaya başlıyorlar. Ziyafetlerde her zaman onursal bir yeriniz oluyor ve yaptıklarınıza dair hikayeler, çocuklar anılarınızı sonsuza dek yaşatsın diye hanlarda ve meyhanelerde defalarca anlatılıyor.
str_retirement_text_5|Biriktirdiğiniz gümüş uzun süre dayanmıyor, ama {s9} içinde küçük bir han almanıza yetiyor. Yerel halk başta uzak dursa da, kısa zamanda sizi aralarına kabul ediyorlar. Zamanla büyüyen hanınız bilinen bir ziyafet ve buluşma noktası haline geliyor. İnsanlar büyük ününüz ve maceracılık zamanlarına dair anlattığınız epik hikayelerinizi dinlemek için uzak mesafelerden yemeye ya da kalmaya geliyorlar.
str_retirement_text_6|Kariyeriniz boyunca akıllıca biriktirdiniz. Şimdi zekanız ve gümüşünüz, geleceğinizi sağlama almak için kusursuz yatırımlar yapmanıza olanak sağlıyor. {s9} içinde çeşitli dükkanlar ve depolar aldıktan sonra kurnazlığınız sizi şehrin önde gelen tüccarlarından biri haline getiriyor ve kısa zamanda savaştaki başarıları kadar ticaret imparatorluğuyla da bilinen biri haline geliyorsunuz.
str_retirement_text_7|Biriktirdiğiniz gümüş uzun süre dayanmıyor, ama {s9} içinde küçük bir han almanıza yetiyor. Yerel halk başta uzak dursa da, kısa zamanda sizi aralarına kabul ediyorlar. Zamanla büyüyen hanınız bilinen bir ziyafet ve buluşma noktası haline geliyor. İnsanlar büyük ününüz ve maceracılık zamanlarına dair anlattığınız epik hikayelerinizi dinlemek için uzak mesafelerden yemeye ya da kalmaya geliyorlar.
