qstr_{reg1}.0|{reg1}.0
qstr_Prevent_AI_from_taki|AI'nin savunmasını önle: 
qstr_Anno_Domini_867|Anno Domini 867
qstr_We_are_in_the_ninth_|Dokuzuncu yüzyıldayız. .^Roma'nın ışıkları çoktan sönmüş, ^zamana yenik düşmüş, ^şovalye ve prenseslerin altın çağına gelinmesine yalnızca bir kaç yüzyıl kalmış.^^Güç ve hayatta kalmanın öyle bir acımasız, karanlık ve zalim çağı ki,^insanlar her gece yataklarına yeni günü görebilmek için dua ederek gidiyorlar.
qstr_It_is_the_age_of_the|Irlanda kabilelerinin, Vikinglerin Çağı, Wesseks'in yükselişi ve Alba krallığının doğuşu.^^                Orada seni bekliyor...
qstr_Choose_Campaign_Type|Savaş tipini seç.
qstr_Choose_Options.|Seçenekler
qstr_You_can_change_these|Oyun sırasında savaştayken bu tercihleri değiştirebilirsiniz.
qstr_SANDBOX_CAMPAIGN|SERBEST OYUN
qstr_STORYLINE_CAMPAIGN|SENARYO
qstr_Impossible|İmkansız
qstr_Full_Realism|Tam Gerçekçilik
qstr_Normal|Normal
qstr_Beginner|Başlangıç
qstr_Custom|Gelenek
qstr_Shield_Bash:|Kalkan Darbesi:
qstr_Stamina:|Dayanıklılık:
qstr_Armor_Penalty:|Zırh cezası:
qstr_Easy_Recruitment:|Kolay Asker Toplama
qstr_Rest_Improves_Morale|Dinlenme Morali Yükseltir:
qstr_Insane_Damage:|Delilik Hasarı:
qstr_Gore:|Kan:
qstr_Disable_Scenic_Menu:|Sahnesel Menüleri Devre Dışı Bırak:
qstr_{s4}|{s4}
qstr_You_can_change_diffi|Zorluk derecesini değiştirebilirsiniz.
qstr_Campaign_type_cannot|Oyun tipi (serbest/senaryo) oyun başladıktan sonra değiştirilemez.
qstr_Default|Varsayılan
qstr_Randomize|Rastgele
qstr_Who_are_you?|Kimsiniz?
qstr_Be_careful_with_your|Seçimlerinizi dikkatli yapın. ^Diğer şeylerin yanında onlar sizin vasıflarınızı, yeteneklerinizi ve diyaloglarınızı etkileyecektir.
qstr_Bio:|Biyografi:
qstr_Gender:|Cinsiyet:
qstr_Height:|Boy:
qstr_Age:|Yaş:
qstr_Personality:|Kişilik:
qstr_Greatest_Virtue:|En büyük meziyetleriniz:
qstr_Nationality:|Milliyet:
qstr_Father_s_Occupation:|Babanın mesleği:
qstr_Learnt_While_a_Child|Çocukken öğrendikleriniz:
qstr_Vocation:|Zanaat:
qstr_Religion:|Din:
qstr_Female|Kadın
qstr_Male|Erkek
qstr_Tall|Uzun
qstr_Short|Kısa
qstr_Young__16_22_years_o|Genç (16-22 yaş)
qstr_Adult__23_40_years_o|Yetişkin (23-40 yaş)
qstr_Elder__40_or_more_ye|Yaşlı (40 ve üstü yaşlar)
qstr_Sanguine|Neşeli
qstr_Choleric|Asabi
qstr_Melancholic|Melankolik
qstr_Phlegmatic|Sakin
qstr_Justice|Adalet
qstr_Temperance|Ölçülülük
qstr_Fortitude|Dayanıklılık
qstr_Wisdom|Bilgelik
qstr_Anglo_Saxon|Anglo-Sakson
qstr_Norse|Nors
qstr_Frisian|Friz
qstr_Irish|İrlandalı
qstr_Briton|Briton
qstr_Scoto_Pict|Scoto-Pikt
qstr_Foreigner|Yabancı
qstr_Outlaw|Haydut
qstr_Peasant|Köylü
qstr_Priest|Rahip
qstr_Craftsman|Zanaatkar
qstr_Merchant|Tüccar
qstr_Noble|Soylu
qstr_Farming|Çiftçilik
qstr_Stealing|Hırsızlık
qstr_Oratory|Hitabetlik
qstr_Crafts|Zanaat
qstr_Martial_Arts|Savaş Sanatları
qstr_Slave|Köle
qstr_Traveler|Gezgin
qstr_Hunter|Avcı
qstr_Landowner|Toprak Sahibi
qstr_Christian|Hristiyan
qstr_Pagan|Pagan
qstr_Kingdom_Report|Krallık Raporu
qstr_Name:_^{playername}|Ad: ^{playername}
qstr_Name_^{playername}|Ad ^{playername}
qstr_Level:|Seviye:
qstr_Health:|Sağlık:
qstr_Renown:|Şöhret:
qstr_Reputation:|Ün:
qstr_Ruthless|Zalim
qstr_Vile|Alçak
qstr_Notorious|Adı çıkmış
qstr_Unkind|Nezaketsiz
qstr_Heroic|Kahramanlık
qstr_Admirable|Çok güzel
qstr_Kind|Kibar
qstr_Current_Silver:|Geçerli Gümüş:
qstr_Scandinavian_Gods|İskandinav Tanrıları
qstr_Christianity|Hristiyanlık
qstr_Can_read:|Okuyabilir:
qstr_Reading:|Okuma:
qstr_No_books.|Kitao yok.
qstr_Traits:|Özellikler:
qstr_Scars:|Kesikler:
qstr_{reg1}|{reg1}
qstr_Wounds:|Yaralar:
qstr_Enemies_Killed:|Düşmanlar öldürüldü:
qstr_Enemies_Wounded:|Düşmanlar yaralandı:
qstr_Friendly_Killed:|Friendly Killed:
qstr_Friendly_Wounded:|Friendly Wounded:
qstr_Story|Hikaye
qstr_Attributes/Skills|Nitelik/Yetenekler
qstr_Wounds|Yaralar
qstr_Quest|Görev
qstr_Party_Info|Grup Bilgisi
qstr_Relations_Info|İlişki Bilgisi
qstr_Weekly_Budget|Zayıf Bütçe
qstr_Statistics|İstatistikler
qstr_Companions__Missions|Yandaşların Görevleri
qstr_Faction_Relations|Taraf İlişkileri
qstr_Known_Lords|Ünlü Lordlar
qstr_Courtship_Relations|İltifat İlişkileri
qstr_Level:_{reg4}_^Days_|Seviye: {reg4} ^Seferdeki gün sayısı: {reg5}.
qstr_Settlements_Owned_by|Sahip olduğun yerleşimler: {reg0}
qstr_Hostile_Lords:_{reg0|Düşman Lordlar: {reg0}
qstr_You_need_to_be_the_r|Krallığının kontrol paneline erişebilmek için tarafının lideri olman gerekir. 
qstr_^^^^Wounds_Informati|^^^^Yara bilgileri:^^{s3}^^----------^^{s4}^^----------^^{s5}^^----------^^{s6}
qstr_Resume_Traveling|Seyahati sürdür.
qstr_Your_Camp|Kampın
qstr_You_stop_to_rest.^He|Dinlenmek için durman gerek. ^Kampın kaynaklarıbı burada yönetebilirsin. 
qstr_Send_Scouts:|Gözcüler gönder:
qstr_^Sending_scouts_ahea|^Ordunun önünde gözcüler göndermek, düşmanı kıstırma şansını artırır. Ancak bu adamlar her zaman korumasız kalır bu nedenle de hayatta kalma şansları düşüktür. 
qstr_Thirty_men_are_neede|Otuz adam gerekli.
qstr_Send_Foragers:|Avcılar gönder:
qstr_^Send_men_to_forage_|^Ordun seferdeyken avlanacak adamlar gönder. Bu adamlar her 12 saatte bir ekstra yiyecek ile döner. 
qstr_Forty_men_are_needed|Kırk adam gerekli.
qstr_Fortify_Camp:|Kampı güçlendir:
qstr_^Fortify_your_camp_w|^Basit savunmalarla kampını güçlendir. Bu zorlu göreve katılan herkese 200 pening vermen gerekecek ya da çıkacak sorunlarla başa çıkabilirsin. 
qstr_Sixty_men_are_needed|Altmış adam gerekli.
qstr_Your_Refuge|Sığınağın
qstr_Wait_Here|Burada bekle
qstr_Troop_Tree|Birlik şeması
qstr_Quarters|Karargah
qstr_Read_Book|Kitap oku
qstr_Retire|Emekli ol
qstr_Recruit_Prisoners|Mahkumları birliğe kat
qstr_Game_Options|Oyun Seçenekleri
qstr_Followers__Camp|Takipçilerin kampı
qstr_Visit_Camp|Kampı ziyaret et
qstr_You_can_not_build_yo|Sığınağını bir yerleşim yerine yakın inşa edemezsin. 
qstr_These_too_close_to_a|Buralar kamp için yerleşim yerine fazla yakın. 
qstr_You_cant_have_more_t|2 taneden fazla aktif birlik kampın olamaz.
qstr_You_cannot_read._You|Okuyamazsın. Bunu bir manastırda öğrenebilirsin. 
qstr_No_one_is_interested|Bu kez kimse ilgilenmedi. 
qstr_Back_to_Siege|Kuşatmaya geri dön
qstr_Your_Siege_Camp|Kuşatma Kampın
qstr_You_are_besieging_th|Düşmanı kuşatma altında tutuyorsun.^Buradan kampın kaynaklarını yönetebilirsin.
qstr_^Send_men_to_forage_n|^Etrafı yağmalamaları için adamlarını gönder. Her 12 saatte bir ekstra yiyecek ile dönerler. 
qstr_Your_Sea_Camp|Deniz Kampın
qstr_The_ship_is_at_the_m|Dinlenmek için durduğunda gemin rüzgarın merhametine kalır.^Buradan kampın kaynaklarını yönetebilirsin.
qstr_Calm^^The_sails_are_|Sakin^^Yelkenler deniz kadar düz. 
qstr_Light_breeze^^On_the|Hafif esinti^^Denizde küçük dalgalar farkedersin.^Yelkenler hafiften rüzgarla dolar.
qstr_Moderate_breeze^^Sma|Orta esinti^^Kırılan sivri küçük dalgalar denizin üzerinde yuvarlanıyor.^Yelkenler rüzgarla dolu.
qstr_Strong_breeze^^There|Güçlü esinti^^Orta dalgaların yanında daha büyük dalgalar yeni yeni oluşmaya başlar.^Yelkenler tam dolar ve biraz kapatılmaları gerekir. 
qstr_High_wind^^There_a_m|Kuvvetli rüzgar^^Görünür bir çok kırılan dalgalar vardır. Yelkenler kapatılmıştır. ^Az da olsa geminin hasar görme ihtimali vardır.
qstr_Gale^^The_sea_is_vio|Fırtına^^Deniz hiddetlidir. Yelkenler neredeyse tamamen kapalıdır. Gövdenin hasar alma riski yüksektir.
qstr_Storm^^Ships_are_tos|Kasırga^^Gemiler dalgalarda savulur ve alabora olur. 
qstr_Number_of_seaman_s:|Denizcilerin sayısı:
qstr_{reg5}|{reg5}
qstr_Speed_by_seaman_s:|Denizcilerin hızı:
qstr_{reg6}%|{reg6}%
qstr_View_Ships|Gemileri Görüntüle
qstr_Followers_Camp|Takipçi Kampı
qstr_Your_army_is_accompa|Çeşitli yerlerden takipçiler orduna katıldı. ^^Takipçiler önemli hizmetlere erişmeni ve moral desteği sağlıyor, ancak aynı zamanda ordunun yavaş ilerlemesine de neden oluyor.^^Takipçilerini istediğin zaman kovabilirsin fakat bu ordunun moraline etki edecek.^^Takipçilerinin sayısını seyehatlerinde tanıştığın kişileri rahipler, kadınlar ve diğerleri gibi gruplara alarak artırabilirsin. Ordunun bir bölüğünü, ordu menünden konuşarak takipçi grubun için atayabilirsin. ^^Eğer ordunu 300 kişinin altına indirmek istersen ya da ordun ciddi bir yenilgiye uğrar ve yüksek sayıda kayıp verirse takipçilerin, eğer kayıpların arasında değillerse, seni terkedebilir.  
qstr_Smith|Demirci
qstr_Healer|Şifacı
qstr_Mules|Katırlar
qstr_Slave_Trader|Köle Tüccarı
qstr_Dismiss|Çıkarmak
qstr_King:|Kral:
qstr_King_s_Towns:|Kralın Kasabaları:
qstr_King_s_Forts:|Kralın Kaleleri:
qstr_King_s_Villages:|Kralın Köyleri:
qstr_Lords:|Lordlar:
qstr_Caravans:|Karavanlar:
qstr_Kingdom_Towns:|Krallığın Kasabaları:
qstr_Kingdom_Forts:|Krallığın Kaleleri:
qstr_Kingdom_Villages:|Krallığın Köyleri:
qstr_Places_without_Lord:|Lordu olmayan Yerler:
qstr_Prisoner_Lords:|Esir Lordlar:
qstr_Minister:|Vekil:
qstr_Tax_Enforcement:|Vergi Uygulaması:
qstr_Yes__costs_3000_peni|Evet (3000 pening/hafta)
qstr_No__tax_revenue_lowe|Hayır (vergi geliri düşük)
qstr_King_s_Army_Size:|Kralın orgu büyüklüğü:
qstr_Royal_Decree|Kraliyet Fermanı
qstr_Kingdom_Info|Krallık Bilgisi
qstr_Lords|Lordlar
qstr_Economy|Ekonomi
qstr_Diplomacy|Diplomasi
qstr_Kingdom_Armies|Krallık Orduları
qstr_Kingdom_Centers|Krallık Merkezleri
qstr_Rename_Kingdom|Krallığı yeniden adlandır
qstr_Make_a_Royal_Decree:|Kraliyet fermanı ver:
qstr_Gather_Our_Forces|Birliklerimizi topla
qstr_Defend_the_Kingdom|Krallığı savun
qstr_You_order_the_lords_|Lordlara kendi halk orduları ile kendilerini temsil etmeleri emrini verirsin.
qstr_You_order_the_kingdo|Krallığın savunulması emrini verirsin. 
qstr_You_cannot_do_this_n|Bunu şuanda yapamazsın.
qstr_Exhausted|Bitap düşmüş
qstr_Very_Tired|Çok yorgun
qstr_Tired|Yorgun
qstr_High|Öfkeli
qstr_What_name_would_you_|Sığınağına ne ad vermek istersin? 
qstr_Save_it_as:_{s5}.|{s5} haliyle kaydet.
qstr_You_head_into_town_t|Tarafına eşya seçmek için kasabaya git...
qstr_Penings:_{reg0}|Pening: {reg0}
qstr_Save_for_Wages:_|Ücretleri biriktir: 
qstr_Reset|Reset
qstr_Commit|İşle
qstr_{s0}|{s0}
qstr_Melee_Weapons:|Yakın Dövüş Silahları:
qstr_Ranged_Weapons:|Menzilli Silahlar:
qstr_Armor:|Zırh:
qstr_Horses:|Atlar:
qstr_prsnt_outfit_party:m|prsnt techizat tarafı:fareyi tıkla ayrıl:birlik tuşu bulma hatası
qstr_prsnt_outfit_party:s|prsnt techizat tarafı:fareyi tıkla ayrıl:birlik tuşu bulma hatası
qstr_You_toss_the_offendi|Hoşuna gitmeyen malzemeyi geri at!
qstr_You_make_your_big_pu|Büyük alımını gerçekleştirdin!
qstr_From_Troop:_|Birlikten: 
qstr_{s1}_or_{s2}|{s1} ya da {s2}
qstr_turning_offf...|iskele alabandaaa...
qstr_{reg2}|{reg2}
qstr_Do_you_want_to_save_|Viking Kuşatması Seferindeki ilerlemeni kaydetmek ister misin? 
qstr_Yes.|Evet.
qstr_No.|Hayır.
qstr_On_several_occasions|Hayatın boyunca bir çok durumda, ilginç Latin harflerini gördün ve bu yüzden biran önce okumayı öğrenmelisin. Belki zamanla yazmayı da öğrenirsin!^^Bu senin manastırda bir hafta kalmana sebep olacak. Okumayı öğrenmeye başlamak ister misin? You want to learn to read?
qstr_No_one_here_wants_to|Burada hiç kimse sana katılmak istemiyor.
qstr_One_{s3}_is_willing_|Bir {s3} seni takip etmeye istekli.
qstr_{reg5}_{s3}_are_will|{reg5} {s3} seni takip etmeye istekli.
qstr_You_need_to_get_the_|Buradan adam toplayabilmen için sarayın lordundan izin almalısın.
qstr_Recruit_them__{reg6}|Orduna kat ({reg6} pening).
qstr_One_{s3}_volunteers_|Bir {s3} seni takip etmek için gönüllü.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} seni takip etmek için gönüllü. 
qstr_You_need_to_get_the_p|Buradan asker toplamak için köyün yetkilisinden izin alman gerekiyor.
qstr_My_Boats|Botlarım
qstr_Boats_for_Sale|Satılık Botlar
qstr_No_ships_for_sale^in|Bu kasabada hiç satılık gemi yok.
qstr_No_Name|İsim yok
qstr_{reg7}._Ship|{reg7}. Gemi
qstr_Flagship|Amiral gemisi
qstr_Very_Good|Çok iyi
qstr_Good|İyi
qstr_Acceptable|Kabul edilebilir
qstr_Bad|Kötü
qstr_Very_Bad|Çok kötü
qstr_Dangerous|Tehlikeli
qstr_Repair:_{reg8}_penin|Onar: {reg8} pening
qstr_Type:_{s7}^Wood:_{s6|Tip: {s7}^Malzeme: {s6}^Durum: {s1}^Hız: {reg1} deniz mili^Mürettebat: {reg6} adam^Fiyat: {reg7} pening^{s2}
qstr_Repair_Ship|Gemiyi Onar
qstr_Customize_Ship|Gemi özelleştir
qstr_Sell_Ship|Gemi Sat
qstr_Buy_Ship|Gemi Al
qstr_Leave_ship_at_the_sh|Gemiyi kıyıda bırak
qstr_Next_ship|Sonraki Gemi
qstr_Money:_{reg7}_pening|Para: {reg7} pening
qstr_Fleet_Capacity:_{reg|Donanma Kapasitesi: {reg1}/{reg2}
qstr_CHEAT:_New_Ships.|HİLE: Yeni Gemiler.
qstr_You_cannot_buy_this_|Botunu satamazsın çünkü yediden fazla botun yok.
qstr_You_cannot_buy_this_b|Bu botu alamazsın çünkü Deniz Kralı yeteneğin yok. 
qstr_You_cannot_buy_this_bo|Bu botu alamazsın çünkü bu bot daha ileri seviye Deniz Kralı yeteneği gerektiriyor. 
qstr_You_cannot_buy_this_boa|Bu botu alamazsın çünkü yeterli paran yok. 
qstr_You_can_t_leave_your|Gemini kıyıda bırakamazsın
qstr_You_can_t_leave_this|Gemini kıyıda bırakamazsın çünkü aksi takdirde mürettebatın geri kalan hiçbir gemiye sığmayacaktır.
qstr_{s1}_s_Ships|{s1}'ın Gemileri
qstr_You_need_to_get_clos|Gemini bırakman için kıyıya yaklaşman gerekiyor.
qstr_You_cannot_repair_th|Bu botu onaramazsın çünkü yeterli paran yok.
qstr_No_ships_for_sell^in|Bu kasabada satılık gemi yok. 
qstr_Wood:_{s0}^|Odun: {s0}^
qstr_blue_and_white|mavi ve beyaz
qstr_red_and_white|kırmızı ve beyaz
qstr_rich_striped|kalın çizgili
qstr_green_and_yellow|yeşil ve sarı
qstr_red|kırmızı
qstr_blue_and_red|mavi ve kırmızı
qstr_plain|düz
qstr_blue_and_yellow|mavi ve sarı
qstr_Sail:_{s0}^|Yelken: {s0}^
qstr_tarred|katranlı
qstr_tarred_and_red|katranlı ve kırmızı
qstr_varnished|vernikli
qstr_varnished_and_purple|vernikli ve mor
qstr_blue|mavi
qstr_blue_red_and_green|mavi, kırmızı ve yeşil
qstr_green|yeşil
qstr_Finish:_{s0}^|Cila: {s0}^
qstr_Price:_{reg7}_pening|Fiyat: {reg7} pening
qstr_{s1}{s2}{s3}{s4}|{s1}{s2}{s3}{s4}
qstr_Change_Finish|Cilayı Değiştir
qstr_Change_Sail|Yelkeni değiştir
qstr_Apply|Uygula
qstr_Only_ships_made_of_o|Yalnızca meşeden yapılmış gemiler özel bir cilayı hakeder.
qstr_You_don_t_have_enoug|Yeterli paran yok.
qstr_Accept|Kabul et
qstr_Dismiss_Staff|Mürettebatı çıkar.
qstr_Recruit_staff_for_yo|Sığınağın için adam topla:
qstr_^Hiring_staff_has_bo|^Mürettebat kiralamanın başlangıçta ve devam eden masrafları vardır. İyi bir ün ve etkileyici bir sığınak çok çeşitli adayların ilgisini çekecektir.
qstr_Description:|Tanım:
qstr_Captain:|Kaptan:
qstr_Priest:|Rahip:
qstr_Bard:|Ozan:
qstr_Bottler:|Şişe ustası:
qstr_Happy_Widow:|Mutlu Dul:
qstr_Talimci:|Talimci:
qstr_Smith:|Demirci:
qstr_Armorer:|Zırhçı:
qstr_Physician:|Doktor:
qstr_Cook:|Aşçı:
qstr_Captain_Marcus|Kaptan Marcus
qstr_Dismiss/No_Captain|Çıkar/Hiç kaptan yok
qstr_Priest_Beda|Rahip Beda
qstr_Godi_Olafr|Godi Olafr
qstr_Dismiss/No_Priest|Çıkar/Hiç Rahip yok
qstr_No_bard_wants_to_ser|Hiçbir ozan size hizmet etmek istemiyor.
qstr_Skald_Bragi|Skald Bragi
qstr_Bard_Siwi|Ozan Siwi
qstr_Dismiss/No_Bard|Çıkar/Hiç ozan yok
qstr_Casius|Casius
qstr_Dismiss/No_Bottler|Çıkar/Hiç şişe ustası yok
qstr_No_happy_widow_is_av|Hiç mutlu dul yok.
qstr_Suaibsech|Suaibsech
qstr_Tancoystl|Tancoystl
qstr_Gulla|Gulla
qstr_Eadgyd|Eadgyd
qstr_Dismiss/No_Whore|Çıkar/Hiç fahişe yok
qstr_Talimci_Harald|Talimci Harald
qstr_Dismiss/No_Talimci|Çıkar/Hiç talimci yok
qstr_Ulfberht|Ulfberht
qstr_Dismiss/No_Smith|Çıkar/Hiç demirci yok
qstr_Armorer__The_Hungry_|Zırhçı 'Macar Çekici'
qstr_Dismiss/No_Armorer|Çıkar/Hiç zırhçı yok
qstr_No_physicians_are_av|Hiç doktor yok.
qstr_Aurelius|Aurelius
qstr_Morgan|Morgan
qstr_Alexander|Alexander
qstr_Ailill|Ailill
qstr_Dismiss/No_Physician|Çıkar/Hiç doktor yok
qstr_Wamba|Wamba
qstr_Dismiss/No_Cook|Çıkar/Hiç aşçı yok
qstr_{s10}|{s10}
qstr_You_do_not_have_enou|Mürettebatını bu kadar genişletebilecek yeterlilikte paran yok. İşe aldığın insan sayısını azalt!
qstr_The_abbot_sends_for_|Başrahip tüm tarafların tapınağa gitmeleri için çağırıyor, bu sayede hikayenin her yönünü dinleyebileceksin. Kendi tarafın adına yazıları ve altınla işlenmiş metinleri incelemek için bekleme süresinden fayda sağlayabilirisin.
qstr_fort|kale
qstr_town|şehir
qstr_village|köy
qstr_Infiltration|Gizlice sokulma
qstr_A_good_way_to_hasten|Direnişçilerin savunmalarına zarar vermek için yiyecek dükkanlarına, su kaynaklarına ya da sadakatlerine zarar vermek {s2} 'ye girmenizi hızlandıracak bir yoldur. Ancak tehlikeli, riskli ve neredeyse intihar gibidir. Yolladığın adamların geri dönme ihtimalleri çok düşüktür ancak başarılı olurlarsa düşmana ciddi hasar verebilirler. Bu hasar için 600 peninge intiyaçları vardır. Ne tür bi sabotaj yapmalarını istersin?
qstr_Poison_the_{s2}_s_wa|{s2}{.nin} su kaynaklarını zehirle.
qstr_Kill_the_{s2}_s_catt|{s2}{.nin} sığırlarını öldür.
qstr_Burn_the_{s2}_s_food|{s2}{.nin} yiyecek dükkanlarını yak.
qstr_Subvert_the_{s2}_s_d|{s2}{.nin} savunmacılarını çökert.
qstr_____|    
qstr_A_group_of_chosen_me|Seçilmiş bir grup adam su kaynaklarını zehirlemek için gönderilecek. 
qstr_A_group_of_chosen_men|Seçilmiş bir grup adam sığırları öldürmek için gönderilecek. 
qstr_A_group_of_chosen_men_|Seçilmiş bir grup adam tahıl ambarlarını yakmak için gönderilecek.
qstr_A_group_of_chosen_men_w|Seçilmiş bir grup adam savunmacıları ççkertmek için gönderilecek.
qstr_You_do_not_have_the_|Bu görev için ödeme yapacak 600 peningin yok. 
qstr_{s1}_of_the_{s2}| {s2}{.nin} {s1}{.i}
qstr_Send|Gönder
qstr_You_are_hiring_a_mes|Bir ulak kiralıyorsun. ^Bir mesaj ile üç farklı şey yapabilirsin: Emir vermek, İlişkileri değiştimek ve Diplomasi yapmak.
qstr_Message_Type:|Mesaj Tipi:
qstr_Select_a_Place_for_y|Emirlerin için bir yer seç:
qstr_>>_Orders:^_You_cann|>> Emirler:^ Krallığına ait olmayan bir lorda emir veremezsin. 
qstr_Orders:_None.|Emirler: yok.
