p_zendar|Zendar Şehri
p_village_114|Tref Mon Doğusu
p_village_115|Tref Mon Batısı
p_village_116|Dun Ham Kuzeyi
p_village_117|Dun Ham Güneyi
p_village_118|Bal Scuin Doğusu
p_village_119|Bal Scuin Batısı
p_village_120|Witan Ham Kuzeyi
p_village_121|Witan Ham Güneyi
p_village_122|Tref Bodmine Doğusu
p_village_123|Tref Bodmine Batısı
p_village_124|Bal Cainnighn Kuzeyi
p_village_125|Bal Cainnighn Güneyi
p_village_126|Bal Rigmonaid Kuzeyi
p_village_127|Bal Rigmonaid Güneyi
p_village_128|Bal Celtair Doğusu
p_village_129|Bal Celtair Batısı
p_village_130|Bal Maistiu Doğusu
p_village_131|Bal Maistiu Batısı
p_village_132|Tref Meguaidd Doğusu
p_village_133|Tref Meguaidd Batısı
p_village_134|Tom Ham Kuzeyi
p_village_135|Tref Meguaidd Batısı
p_village_136|Bal Caiseal Doğusu
p_village_137|Bal Caiseal Batısı
p_village_138|Bal Aileach Doğusu
p_village_139|Bal Aileach Batısı
p_village_140|Tref Brycheiniog Doğusu
p_village_141|Tref Brycheiniog Batısı
p_village_142|Bebban Ham Kuzeyi
p_village_143|Bebban Ham Güneyi
p_village_144|Bal Cruaghan Doğusu
p_village_145|Bal Cruaghan Batısı
p_village_146|Bal Temair Kuzeyi
p_village_147|Bal Temair Güneyi
p_village_148|Cirren Ham Doğusu
p_village_149|Cirren Ham Batısı
p_village_150|Doccinga köyü
p_salt_mine|Tuz Madeni
p_four_ways_inn|Dört Yol Hanı
p_test_scene|test scene
p_battlefields|battlefields
p_frisa_beach|Friese Sahili
p_farmland|Ulf's Çiftliği
p_boar_grove|Yaban Domuzu Korusu
p_readingum|Readingum
p_aescesdun|Aescesdun
p_mega_danishrmy|Büyük Yaz Ordusu
p_battle_stones|Stone Row
p_farmland_special|Çiftlik Alanı
p_roman_fort|Roma Kalesi
p_troll_bridge|Trol Köprüsü
p_circle_mystic1|Circle Mystic
p_celidon_forest|Antik Taşlar
p_hidden_valley|Garip Harabeler
p_quarry1|Maden Ocağı
p_quarry2|Maden Ocağı
p_quarry3|Maden Ocağı
p_quarry4|Maden Ocağı
p_saltmine1|Tuz Madeni
p_saltmine2|Tuz Madeni
p_saltmine3|Tuz Madeni
p_saltmine4|Tuz Madeni
p_lumbercamp1|Kereste Kampı
p_lumbercamp2|Kereste Kampı
p_lumbercamp3|Kereste Kampı
p_lumbercamp4|Kereste Kampı
p_farmsteadsp1|Çiftlik
p_farmsteadsp2|Çiftlik
p_farmsteadsp3|Çiftlik
p_farmsteadsp4|Çiftlik
p_farmsteadsp5|Çiftlik
p_farmsteadsp6|Çiftlik
p_farmsteadsp7|Çiftlik
p_farmsteadsp8|Çiftlik
p_farmsteadsp9|Çiftlik
p_hadrian_wall1|Hadrian Kalesi
p_bjorn_camp|Bjorn Kampı
p_snotingaham_siege|Kuşatma altındaki Snotingaham
p_odin_cave|Odin'in Mağarası
p_stonemonumento|stonemonumento
p_forestbattle|Orman Savaşı
p_the_thing|Meclis
p_dhorak_keep|Dhorak Keep
p_training_ground|Talim Alanı
p_training_ground_1|Talim alanı
p_training_ground_2|Talim Köyü
p_training_ground_3|Talim alanı
p_training_ground_4|Talim Gölü
p_training_ground_5|Talim kampı
p_monasterio1|Ad Candida Casam
p_monasterio2|Willibrord
p_monasterio3|Dommoc
p_monasterio4|Lindisfarne
p_monasterio5|Aporcrosan
p_monasterio6|Petrus
p_monasterio7|Apurnethige
p_monasterio8|Llanteulyddog
p_monasterio9|Ynys Enlli
p_monasterio10|Eveshomme
p_monasterio11|Inderawuda
p_monasterio12|Hagustaldes
p_monasterio13|Briudun
p_monasterio14|Gudlac
p_monasterio15|Wochingas
p_monasterio16|Clofesho
p_monasterio17|Waerburh
p_monasterio18|Derhurst
p_monasterio19|Ythan
p_monasterio20|Petrockstow
p_monasterio21|Medeshamstede
p_monasterio22|Cocheham
p_monasterio23|Patricius
p_monasterio24|Daire Calgaich
p_monasterio25|Finian
p_monasterio26|Raithean
p_monasterio27|Carthach
p_monasterio28|Scelic Mhichi
p_monasterio29|Gleann Da Loch
p_yourlair|Benim Sığınağım
p_thiaderd_lair|Thiaderd'ın Sığınağı
p_destroy1|Thiaderd'ın Sığınağı, Yıkılmış
p_destroy2|Sven'in Sığınağı, Yıkılmış
p_destroy3|Aescesdun Savaşalanı
p_followers_camp|Müritlerin kampı
p_ferry_1a|Vapur limanı
p_ferry_2a|Vapur limanı
p_ferry_3a|Vapur limanı
p_ferry_4a|Vapur limanı
p_ferry_1b|Vapur limanı
p_ferry_2b|Vapur limanı
p_ferry_3b|Vapur limanı
p_ferry_4b|Vapur limanı
p_looter_spawn_point|Sığınakları
p_looter_spawn_point2|Sığınakları
p_looter_spawn_point3|Sığınakları
p_steppe_bandit_spawn_point|Kampları
p_taiga_bandit_spawn_point|their longphort
p_forest_bandit_spawn_point|Mağaraları
p_forest_bandit_spawn_point2|Mağaraları
p_forest_bandit_spawn_point4|Mağaraları
p_mountain_bandit_spawn_point|Mağaraları
p_mountain_bandit_spawn_point3|Mağaraları
p_sea_raider_spawn_point_1|their longphort
p_sea_raider_spawn_point_2|their longphort
p_sea_raider_spawn_point_3|their longphort
p_desert_bandit_spawn_point|kampları
p_frank_looters_sp_1|Mağaraları
p_frank_looters_sp_2|Mağaraları
p_pagan_spawn_1|kırsal yöre halkı
p_pagan_spawn_2|kırsal yöre halkı
p_pagan_spawn_3|kırsal yöre halkı
p_pagan_spawn_4|kırsal yöre halkı
p_ship_raider_spawn_point_1|İskeleleri
p_ship_raider_spawn_point_2|their longphort
p_ship_raider_spawn_point_3|İskeleleri
p_ship_raider_spawn_point_4|their longphort
p_ship_raider_spawn_point_5|their longphort
p_ship_raider_spawn_point_6|İskeleleri
p_landing_point|Çıkarma limanı
p_the_fleet|Donanma
p_transporter|Taşıyıcı
p_troop_camp_1|Takım kampı
p_troop_camp_2|Takım Kampı
