str_yes|Sí.
str_tutorialmq_1_msg_3|Excelente. A continuación centrémonos en el ataque con armas.^^Puedes blandir las diferentes armas que tienes en las casillas girando hacia adelante la rueda del ratón, o bien pulsando los cuatro primeros dígitos del teclado numérico.^^Puedes atacar con el arma que estés blandiendo en ese momento mediante el botón izquierdo del ratón. Mantén pulsado el botón para preparar el ataque, y luego suéltalo para golpear. Si mantienes pulsado el botón izquierdo durante cierto tiempo antes de soltarlo, el ataque será más potente. ^^Usa la rueda del ratón o el teclado numérico para sacar el escudo o hacerlo a un lado. ^^ Objetivo: hablar con el Veterano para practicar el combate.
str_tutorialmq_1_msg_4|¡Buen trabajo! Ya sabes todos los conceptos básicos para jugar a Viking Conquest. Ahora puedes explorar, hablar con los PNJs, luchar con los marineros o, cuando estés preparado, hablar con el capitán para continuar la aventura.
str_finished|(Finalizado)
str_delivered_damage|Infligió {reg60} puntos de daño.
str_archery_target_hit|Distancia: {reg61} yardas. Puntuación: {reg60}
str_use_baggage_for_inventory|Utiliza el arcón para acceder a tu inventario durante la batalla (está en tu posición de inicio).
str_cant_use_inventory_now|Ahora no puedes acceder al inventario.
str_cant_use_inventory_arena|No puedes acceder al inventario en la arena.
str_cant_use_inventory_disguised|No puedes acceder al inventario mientras estás disfrazado.
str_cant_use_inventory_tutorial|No puedes acceder al inventario en el campo de prácticas.
str_1_denar|1 penique
str_reg1_denars|{reg1} peniques
str_january_reg1_reg2|Enero {reg1}, {reg2}
str_february_reg1_reg2|Febrero {reg1}, {reg2}
str_march_reg1_reg2|Marzo {reg1}, {reg2}
str_april_reg1_reg2|Abril {reg1}, {reg2}
str_may_reg1_reg2|Mayo {reg1}, {reg2}
str_june_reg1_reg2|Junio {reg1}, {reg2}
str_july_reg1_reg2|Julio {reg1}, {reg2}
str_august_reg1_reg2|Agosto {reg1}, {reg2}
str_september_reg1_reg2|Septiembre {reg1}, {reg2}
str_october_reg1_reg2|Octubre {reg1}, {reg2}
str_november_reg1_reg2|Noviembre {reg1}, {reg2}
str_december_reg1_reg2|Diciembre {reg1}, {reg2}
str_town_nighttime|Ya es madrugada y la gente honesta ha abandonado las calles.
str_door_locked|La puerta está cerrada.
str_castle_is_abondened|El fuerte parece desierto.
str_town_is_abondened|La ciudad no tiene ninguna guarnición que la defienda.
str_place_is_occupied_by_player|El lugar está en manos de tus tropas.
str_place_is_occupied_by_enemy|El lugar está en manos de tropas hostiles.
str_place_is_occupied_by_friendly|El lugar está en manos de tropas amigas.
str_do_you_want_to_retreat|¿Seguro que deseas retirarte?
str_give_up_fight|¿Renuncias a luchar?
str_do_you_wish_to_leave_tutorial|¿Quieres dejar el tutorial?
str_do_you_wish_to_surrender|¿Quieres rendirte?
str_can_not_retreat|¡No es posible retroceder, hay enemigos cerca!
str_s1_joined_battle_enemy|{s1} uniría a tu enemigo a la batalla.
str_s1_joined_battle_friend|{s1} uniría a ti a la batalla.
str_entrance_to_town_forbidden|La guardia de la ciudad está alerta ante cualquier intruso y no podrás atravesar las puertas sin encontrar resistencia.
str_sneaking_to_town_impossible|Los guardias de la ciudad están alertas. Jamás podrás atravesar las puertas, no importa lo bien que te disfraces.
str_battle_won|¡Has ganado la batalla!
str_battle_lost|¡Has perdido la batalla!
str_attack_walls_success|Tras una sangrienta lucha, tus aguerridos soldados han logrado tomar las murallas enemigas.
str_attack_walls_failure|Tus soldados caen por docenas al asaltar las murallas, y los pocos que sobreviven huyen en desbandada.
str_attack_walls_continue|Una sangrienta batalla da comienzo y ambas partes demuestran igual valor. A pesar de los esfuerzos de tu hueste, la plaza sigue en manos del enemigo.
str_order_attack_success|Tus hombres luchan con valentía y derrotan al enemigo.
str_order_attack_failure|Contemplas la batalla con desesperación, mientras el enemigo destroza a tus hombres y hace huir a los escasos supervivientes.
str_order_attack_continue|Tras una larga escaramuza, tus tropas son incapaces de obtener una victoria decisiva.
str_join_order_attack_success|Tus hombres luchan codo con codo junto a tus aliados, compartiendo la gloria, mientras el enemigo es masacrado.
str_join_order_attack_failure|Contemplas la batalla con desesperación, mientras el enemigo destroza a tus hombres y hace huir a los escasos supervivientes.
str_join_order_attack_continue|Tras una larga escaramuza, ni tus tropas ni tus aliados son capaces de lograr una victoria decisiva.
str_siege_defender_order_attack_success|Los miembros de la guarnición defienden las murallas con destreza y valentía, desbaratando el ataque enemigo, y hábilmente transforman una posible derrota en una victoria en toda regla.
str_siege_defender_order_attack_failure|El asalto no tarda en convertirse en un baño de sangre. Los audaces esfuerzos son en vano; la guarnición es incapaz de salvaguardar los muros, y el enemigo pasa a cuchillo hasta el último defensor.
str_siege_defender_order_attack_continue|Los sucesivos ataques a las murallas son incapaces de ganar un palmo de terreno, pero demasiados enemigos permanecen aún en pie para que los defensores puedan considerarlo una victoria. El asedio continúa.
str_hero_taken_prisoner|{s1} de {s3} ha sido hecho prisionero por {s2}.
str_hero_freed|{s1} de {s3} ha sido liberado de su cautiverio por {s2}.
str_center_captured|el {s2} ha tomado {s1} del {s3}.
str_troop_relation_increased|Tu relación con {s1} ha aumentado de {reg1} a {reg2}.
str_troop_relation_detoriated|Tu relación con {s1} se ha deteriorado de {reg1} a {reg2}.
str_faction_relation_increased|Tu relación con el {s1} ha aumentado de {reg1} a {reg2}. {s2}
str_faction_relation_detoriated|Tu relación con el {s1} se ha deteriorado de {reg1} a {reg2}. {s2}
str_party_gained_morale|Tu hueste gana {reg1} de moral.
str_party_lost_morale|Tu hueste pierde {reg1} de moral.
str_other_party_gained_morale|{s1} gana {reg1} de moral.
str_other_party_lost_morale|{s1} pierde {reg1} de moral.
str_qst_follow_spy_noticed_you|¡El espía te ha visto! ¡Él se está burlando de ello!
str_duplicate|padre
str_s3s_s2|{s2} de {s3}
str_s5_is_s51|{s5} es {s51}.
str_s5_is_the_ruler_of_s51|{s5} es el señor de {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} es un noble de {s6}. 
str_relation_mnus_100|Némesis
str_relation_mnus_90|Implacable
str_relation_mnus_80|Vengativo
str_relation_mnus_70|Odioso
str_relation_mnus_60|Antagónico
str_relation_mnus_50|Hostil
str_relation_mnus_40|Iracundo
str_relation_mnus_30|Resentido
str_relation_mnus_20|Gruñón
str_relation_mnus_10|Suspicaz
str_relation_plus_0|Indiferente
str_relation_plus_10|Colaborador
str_relation_plus_20|Cordial
str_relation_plus_30|Favorable
str_relation_plus_40|Dispuesto
str_relation_plus_50|Amistoso
str_relation_plus_60|Cortés
str_relation_plus_70|Cariñoso
str_relation_plus_80|Leal
str_relation_plus_90|Devoto
str_relation_mnus_100_ns|{s60} es tu enemigo mortal.
str_relation_mnus_90_ns|{s60} se muestra implacable hacia ti.
str_relation_mnus_80_ns|{s60} se muestra vengativo hacia ti.
str_relation_mnus_70_ns|{s60} resulta odioso contigo.
str_relation_mnus_60_ns|{s60} se muestra como un adversario.
str_relation_mnus_50_ns|{s60} te es hostil.
str_relation_mnus_40_ns|{s60} está enfadado contigo.
str_relation_mnus_30_ns|{s60} se muestra resentido hacia ti.
str_relation_mnus_20_ns|{s60} se muestra como un gruñón hacia ti.
str_relation_mnus_10_ns|{s60} es suspicaz contigo.
str_relation_plus_0_ns|{s60} se muestra indiferente contigo.
str_relation_plus_10_ns|{s60} se muestra colaborador contigo.
str_relation_plus_20_ns|{s60} es cordial contigo.
str_relation_plus_30_ns|{s60} se muestra favorable hacia ti.
str_relation_plus_40_ns|{s60} se muestra colaborador contigo.
str_relation_plus_50_ns|{s60} se muestra amistoso contigo.
str_relation_plus_60_ns|{s60} se muestra cortés contigo.
str_relation_plus_70_ns|{s60} se muestra cariñoso hacia ti.
str_relation_plus_80_ns|{s60} te es leal.
str_relation_plus_90_ns|{s60} te es devoto.
str_relation_reg1| Relación: {reg1}
str_center_relation_mnus_100|^El pueblo te muestra un odio atávico.
str_center_relation_mnus_90|^El pueblo te odia intensamente
str_center_relation_mnus_80|^El pueblo te odia mucho
str_center_relation_mnus_70|^El pueblo te odia
str_center_relation_mnus_60|^El pueblo se muestra detestable hacia ti
str_center_relation_mnus_50|^El pueblo se muestra extremadamente hostil hacia ti
str_center_relation_mnus_40|^El pueblo es muy hostil hacia ti
str_center_relation_mnus_30|^El pueblo es hostil hacia ti
str_center_relation_mnus_20|^El pueblo está en contra tuyo
str_center_relation_mnus_10|^El pueblo se opone a ti
str_center_relation_plus_0|^El pueblo se muestra indiferente hacia ti
str_center_relation_plus_10|^El pueblo te acepta
str_center_relation_plus_20|^El pueblo colabora contigo
str_center_relation_plus_30|^El pueblo es afin hacia ti 
str_center_relation_plus_40|^El pueblo te muestra simpatía
str_center_relation_plus_50|^El pueblo te muestra apoyo
str_center_relation_plus_60|^El pueblo te es leal
str_center_relation_plus_70|^El pueblo te es muy leal
str_center_relation_plus_80|^El pueblo es devoto tuyo
str_center_relation_plus_90|^El pueblo es decididamente devoto tuyo
str_town_prosperity_0|^La pobreza de la ciudad de {s60} es insoportable.
str_town_prosperity_10|^La miserable ciudad de {s60} está casi desierta.
str_town_prosperity_20|^La ciudad de {s60} es un lugar mísero y desolado.
str_town_prosperity_30|^La ciudad de {s60} parece pobre y descuidada.
str_town_prosperity_40|^La ciudad de {s60} parece que tiene problemas.
str_town_prosperity_50|^La ciudad de {s60} resulta anodina.
str_town_prosperity_60|^La ciudad de {s60} se muestra floreciente.
str_town_prosperity_70|^La próspera ciudad de {s60} es un hervidero de actividad.
str_town_prosperity_80|^La ciudad de {s60} es rica y bien abastecida.
str_town_prosperity_90|^La opulenta ciudad de {s60} está llena de gente adinerada.
str_town_prosperity_100|^La deslumbrante ciudad de {s60} es alabada por su enorme riqueza.
str_fort_prosperity_0|^La pobreza del fuerte de {s60} es insoportable.
str_fort_prosperity_10|^El miserable fuerte de {s60} está casi desierto.
str_fort_prosperity_20|^El fuerte de {s60} es un lugar mísero y desolado.
str_fort_prosperity_30|^El fuerte de {s60} es pobre y descuidado.
str_fort_prosperity_40|^El fuerte de {s60} parece que tiene problemas.
str_fort_prosperity_50|^El fuerte de {s60} resulta anodino.
str_fort_prosperity_60|^El fuerte de {s60} se muestra floreciente.
str_fort_prosperity_70|^El próspero fuerte de {s60} es un hervidero de actividad.
str_fort_prosperity_80|^El fuerte de {s60} es rico y bien abastecido.
str_fort_prosperity_90|^El fuerte de {s60} está lleno de gente adinerada.
str_fort_prosperity_100|^El deslumbrante fuerte de {s60} es alabado por su enorme riqueza.
str_village_prosperity_0|^La pobreza de la aldea de {s60} es insoportable.
str_village_prosperity_10|^La aldea de {s60} resulta desoladoramente pobre y miserable.
str_village_prosperity_20|^La aldea de {s60} es un lugar mísero y desolado.
str_village_prosperity_30|^La aldea de {s60} parece pobre y descuidada.
str_village_prosperity_40|^La aldea de {s60} parece un tanto pobre.
str_village_prosperity_50|^La aldea de {s60} resulta anodina.
str_village_prosperity_60|^La aldea de {s60} se muestra floreciente.
str_village_prosperity_70|^La aldea de {s60} parece próspera.
str_village_prosperity_80|^La aldea de {s60} es rica y bien abastecida.
str_village_prosperity_90|^La aldea de {s60} parece muy rica y próspera.
str_village_prosperity_100|^La aldea de {s60}, rodeada de grandes y fértiles campos, se muestra inmensamente rica.
str_town_alt_prosperity_0|Las escasas mercancías que se venden en el mercado resultan caras para el empobrecido hombre de a pie y su escuálido ganado. Entre las casas destartaladas, niños harapientos juegan con piedras y palos.
str_town_alt_prosperity_20|Los lamentos sobre los altos precios son comunes en el mercado, donde escasean los productos. En las calles, los niños solicitan al transeúnte un mendrugo de pan o cualquier cosa de valor.
str_town_alt_prosperity_40|Los productos del mercado son de una calidad aceptable, y los mercaderes traen algunos artículos de lujo a los escasos lugareños acomodados. Hay casas que necesitan una reparación, aunque otras se hallan en buen estado.
str_town_alt_prosperity_60|En el mercado, abarrotado, acuden mercaderes de todas partes para comerciar y algunos se quedan para buscar suerte.
str_town_alt_prosperity_80|Las cabañas están arregladas en todo el pueblo, y la gente bien vestida. Cada día acuden más forasteros, atraídos por la prosperidad de este floreciente centro comercial.
str_village_alt_prosperity_0|Pocos son los lugareños que no estén aquejados por algún mal, mientras los campos siguen cubiertos de maleza. Muchos han decidido abandonar el poblado, y el ganado deambula desatendido por los alrededores, atrayendo a los animales salvajes.
str_village_alt_prosperity_20|Un puñado de campesinos aún trabajan los campos, pero muchos han emigrado en busca de una vida mejor. Algunas granjas están arruinadas y las malas hierbas cubren sus tierras de labranza.
str_village_alt_prosperity_40|Tanto los campesinos como los animales deambulan por las mieses y los prados dedicados al pasto. Sin embargo, hay cabañas que necesitan ser reparadas y algunas tierras de labor están sin sembrar.
str_village_alt_prosperity_60|Los campos y huertos se muestran pletóricos de actividad. Cientos de sacos de grano y piezas de carne en salazón dan testimonio de la fecundidad de las tierras de cultivo y los pastizales de la aldea.
str_village_alt_prosperity_80|Por los campos y huertos deambulan aldeanos saludables, que trabajan sin descanso para alimentar al ganado y ampliar las tierras de labor. Mientras tanto, muchos jornaleros acuden para ser partícipes de esta prosperidad.
str_oasis_village_alt_prosperity_0|Las arboledas de frutales están casi abandonadas, y el puñado de desnutridos aldeanos que aún no se ha marchado se muestra inquieto. Hace tiempo que los animales de tiro les sirvieron de alimento o murieron de hambre; algunos cadáveres aún se encuentran en las inmediaciones, los huesos roídos por los lobos.
str_oasis_village_alt_prosperity_20|Pocos aldeanos se molestan en podar los frutales y, en algunos lugares, el bosque los está engullendo. Los arbustos y las malas hierbas comienzan a invadir los huertos. El ganado se ha vuelto salvaje y los lobos han devorado los rebaños de ovejas.
str_oasis_village_alt_prosperity_40|Hombres y mujeres atienden los huertos y siegan los brezos que engullían las zonas de pasto. Los rebaños son cada vez más numerosos, aunque muchas de las granjas podrían ampliar sus instalaciones.
str_oasis_village_alt_prosperity_60|Por las arboledas de frutales y los huertos deambulan los atareados campesinos, que se saludan alegres mientras podan los árboles, esquilan a las ovejas y ordeñan a las vacas. El resonar del trabajo de los carpinteros al construir corrales y nuevas cercas para el ganado evocan la prosperidad del lugar.
str_oasis_village_alt_prosperity_80|Los huertos, mieses y frutales rebosantes de actividad, mientras los campesinos cargan cestos de manzanas y sacos de trigo para venderlos en el mercado. Hombres y mujeres trabajan, de forma incansable, en la tala del bosque y la roturación de los campos para crear más tierras de cultivo.
str_acres_grain|acres de campos de cereal
str_acres_orchard|acres de frutales
str_acres_oasis|acres de huertos
str_looms|telares
str_boats|botes
str_head_cattle|cabezas de ganado
str_head_sheep|ovejas
str_mills|molinos
str_kilns|hornos
str_pans|sartenes
str_deposits|depósitos
str_hives|colmenares
str_breweries|cervecerías
str_presses|prensas
str_smithies|forjas
str_caravans|expediciones comerciales
str_traps|trampas
str_gardens|pequeños jardines
str_tanneries|curtidurías
str_master_miller|Molinero jefe
str_master_brewer|Cervecero jefe
str_master_presser|Prensador jefe
str_master_smith|Herrero jefe
str_master_tanner|Curtidor jefe
str_master_weaver|Tejedor jefe
str_master_dyer|Tintorero jefe
str_war_report_minus_4|estamos a punto de perder la guerra
str_war_report_minus_3|la situación no es prometedora
str_war_report_minus_2|las cosas no nos van demasiado bien
str_war_report_minus_1|aún podemos ganar si nos reagrupamos
str_war_report_0|estamos igualados con el enemigo
str_war_report_plus_1|tenemos una buena oportunidad de ganar la guerra
str_war_report_plus_2|las cosas están yendo bastante bien
str_war_report_plus_3|no debería ser difícil derrotarlos
str_war_report_plus_4|estamos a punto de ganar la guerra
str_persuasion_summary_very_bad|Tratas de persuadir a {s50} lo mejor que puedes, pero ninguno de tus argumentos parece funcionar. Cada vez que dices algo que capta su atención, añades otra cosa que le molesta. Cuando terminas de hablar, has sido incapaz de hilvanar un sólo argumento a tu favor, y te das cuenta de que lo único que has logrado es hundirte aún más en la ciénaga. Como era de esperar, {s50} no se muestra impresionado.
str_persuasion_summary_bad|Intentas convencer a {s50}, pero {reg51?ella:él} muestra escepticismo desde el principio. Incluso tus mejores argumentos te suenan poco creíbles a ti mismo. {s50}, en definitiva, no otorga un gran valor a tus opiniones.
str_persuasion_summary_average|{s50} resulta ser un orador hábil y una mente despierta, da la impresión de que puede contrarrestar cualquier argumento que formules. Al final, ninguno de los dos habéis quedado por encima del otro en la discusión.
str_persuasion_summary_good|Gracias a una mente astuta y un discurso conciliador, logras imponer tu punto de vista y {s50} realiza algunas concesiones. Sin embargo, {reg51?ella:él} aún alberga dudas sobre tu petición.
str_persuasion_summary_very_good|Te vuelcas en un apasionado discurso que suena en los oídos de tus oyentes como si fuese poesía. Se diría que el mundo entero contiene el aliento para escucharte. Tus palabras han calado hondo en {s50}, que ahora se muestra mucho más dispuesto a ayudarte.
str_secret_sign_1|El arcón baila a medianoche...
str_secret_sign_2|Vendo estos hermosos tapices de Constantinopla. ¿Estás interesado en alguno?
str_secret_sign_3|El amigo de un amigo me envía...
str_secret_sign_4|El viento sopla con fuerza desde el este y el río fluye teñido de rojo...
str_countersign_1|¿Y para quién baila, para la mesa o el caldero?
str_countersign_2|Sí. ¿No tienes alguno en azul?
str_countersign_3|Pero, mi buen amigo... el amigo de tu amigo nunca tendrá un amigo como yo.
str_countersign_4|¿Has estado enfermo?
str_name_1|Aelle
str_name_2|Alduini
str_name_3|Berdun
str_name_4|Caedmon
str_name_5|Cearl
str_name_6|Coenred
str_name_7|Eadbald
str_name_8|Arthfael
str_name_9|Eafa
str_name_10|Earpwald
str_name_11|Hengist
str_name_12|Horsa
str_name_13|Osred
str_name_14|Thrydwulf
str_name_15|Wictred
str_name_16|Wuffa
str_name_17|Cyny
str_name_18|Cunedog
str_name_19|Idnerth
str_name_20|Dyfrig
str_name_21|Treni
str_name_22|Cadfan
str_name_23|Cadwgon
str_name_24|Rhiwallon
str_name_25|Hywel
str_surname_1|{s50} de Lundenwic
str_surname_2|{s50} de Dorce Ceaster
str_surname_3|{s50} de Bebbanburh
str_surname_4|{s50} de Caer Wenddoleu
str_surname_5|{s50} de Emain Macha
str_surname_6|{s50} de Cirren Ceaster
str_surname_7|{s50} de Din Draithou
str_surname_8|{s50} de Licidfelth
str_surname_9|{s50} de Caer Lloyw
str_surname_10|{s50} de Colne Ceaster
str_surname_11|{s50} de Din Erth
str_surname_12|{s50} de Norwic
str_surname_13|{s50} de Caer Riderch
str_surname_14|{s50} de Duin Ollaigh
str_surname_15|{s50} de Denisesburna
str_surname_16|{s50} de Dun Buicead
str_surname_17|{s50} de Swanawic
str_surname_18|{s50} de Wodetun
str_surname_19|{s50} de Badun
str_surname_20|{s50} de Leim an Eich
str_surname_21|{s50} el Largo
str_surname_22|{s50} el Demacrado
str_surname_23|{s50} Barba Sedosa
str_surname_24|{s50} el Gorrión
str_surname_25|{s50} el Mendigo
str_surname_26|{s50} el Tullido
str_surname_27|{s50} el Justo
str_surname_28|{s50} el Siniestro
str_surname_29|{s50} el Rojo
str_surname_30|{s50} el Negro
str_surname_31|{s50} el Alto
str_surname_32|{s50} el Ingenuo
str_surname_33|{s50} Sin Miedo
str_surname_34|{s50} el Bravo
str_surname_35|{s50} el ladino
str_surname_36|{s50} el Cobarde
str_surname_37|{s50} el Brillante
str_surname_38|{s50} el Raudo
str_surname_39|{s50} el Trovador
str_surname_40|{s50} el Temerario
str_surname_41|{s50} el Furioso
str_surnames_end|final de apodos
str_number_of_troops_killed_reg1|Número de efectivos muertos: {reg1}
str_number_of_troops_wounded_reg1|Número de efectivos heridos: {reg1}
str_number_of_own_troops_killed_reg1|Número de efectivos amistosos muertos: {reg1}
str_number_of_own_troops_wounded_reg1|Número de efectivos amistosos heridos: {reg1}
str_retreat|¡Retirada!
str_siege_continues|La lucha continúa...
str_casualty_display|Tus bajas: {s10}^Bajas del enemigo: {s11}{s12}
str_casualty_display_hp|^Has sido herido en {reg1} puntos de daño.
str_quest_log_updated|El registro de misiones ha sido actualizado...
str_banner_selection_text|Se te ha otorgado el derecho a llevar una bandera. Dicho estandarte simboliza tu rango y te otorga honra. ¿Qué estandarte deseas elegir?
str_retirement_text_1|Te das cuenta demasiado tarde de que tu dinero se ha agotado. No tardaste en malgastar lo poco que te habías molestado en ahorrar, y tampoco tuviste éxito en tus intentos de ganar fortuna. Tus días concluyen como mendigo en {s9}, viviendo de las limosnas y de la caridad de la Iglesia.
str_retirement_text_2|Te das cuenta demasiado tarde de que tu dinero se ha agotado. No tardaste en malgastar lo poco que te habías molestado en ahorrar, y tampoco tuviste éxito en tus intentos de ganar fortuna. Cuando el último penique se ha desvanecido entre tus manos, te ves forzado a comenzar una nueva vida dedicada al crimen en las calles de {s9}, utilizando tus habilidades para arrebatar el cobre a mujerzuelas y mendigos.
str_retirement_text_3|Te das cuenta demasiado tarde de que tu dinero se ha agotado. No tardaste en malgastar lo poco que te habías molestado en ahorrar, y acabas convertido en un vagabundo que deambula de taberna en taberna, solicitando cerveza a los parroquianos a cambio de relatar unas hazañas que nadie cree.
str_retirement_text_4|La plata que has ahorrado no duró mucho tiempo, pero aun así pudiste adquirir unas tierras cerca de la aldea de {s7}. Allí te convertiste en un campesino libre, lo cual atrajo a docenas de potenciales {reg59?maridos:esposas}. Con el tiempo, los lugareños comenzaron a considerarte un héroe local. Siempre serás honrado con un sitio de honor en los banquetes, y sus hazañas serán rememoradas en las tabernas para conservar un recuerdo de ti para siempre.
str_retirement_text_5|La plata que has ahorrado no dura demasiado, pero es suficiente para adquirir una modesta taberna en {s9}. Aunque al principio los lugareños se muestran un tanto reticentes, pronto te aceptan entre ellos. Con el tiempo, tu taberna se convierte en el lugar de encuentro para toda la comarca. La gente acude desde millas de distancia para festejar y escuchar las historias sobre tus aventuras.
str_retirement_text_6|Puesto que has ahorrado con prudencia a lo largo de tus aventuras, ahora puedes realizar algunas buenas inversiones de cara al futuro. Tras comprar varios comercios y almacenes en {s9}, te conviertes en el mercader más próspero de la ciudad y en una figura ilustre, famosa tanto por su imperio comercial como por sus hazañas en la batalla.
str_retirement_text_7|Como noble, aun de rango menor, tu porvenir está más que asegurado. Te instalas en tu feudo en {s7}, para administrar la villa y los campos, al tiempo que diriges los tribunales locales y cumples con tus obligaciones hacia tu señor. De vez en cuando, él te convoca para alguna campaña, pero esos períodos son breves y nunca volverás a las correrías de antaño. Ya hiciste tu fortuna. Con tu casa larga y tus posesiones, hay pocas ambiciones que tu riqueza y los frutos de tus tierras no puedan satisfacer.
str_retirement_text_8|No cabe duda de que te has labrado un futuro. Las propiedades y riquezas obtenidas durante tus aventuras son suficientes para garantizarte una vida fácil y próspera el resto de tus días. Retirado en tu noble casa de {s8}, sustituyes gustosamente aventuras por política, por lo que obtienes un poder considerable dentro del reino. Con toda clase de intrigas para mantenerte ocupado, tus propios bosques donde cazar, una gran sala para organizar festejos y cientos de historias de guerra que contar, no tienes problemas para disfrutar los años venideros.
str_retirement_text_9|Como recompensa por tu leal servicio, tu señor te concede un título hereditario, para así formar parte de la alta nobleza del reino. Eres investido como señor de {s7}, lo que te convierte en uno de los asesores más próximos al monarca; la fama que antaño adquiriste te ayudará a obtener influencia y poder en la Corte. Ahora pasas los días sumido en juegos de poder, en la administración de las tierras y en el recuerdo de los viejos tiempos de aventura y gloria.
str_retirement_text_10|A pesar de tener un origen humilde, tu señor te tiene en alta estima y, por ello, el reino se sume en una honda conmoción cuando te es concedido el título de {reg59?duquesa:duque} de {s9}. Grandes haciendas y fortunas se hallan ahora bajo tu gobierno. No tardas en convertirte en el consejero más leal de tu señor, casi su igual; sobre tus espaldas recaen buena parte de las responsabilidades del reino; sentado en un sitial de tu espléndido palacio, como una de las figuras más destacadas de Britannia e Hibernia.
str_loot_village|atacar a gente inocente
str_steal_from_villagers|robar a gente humilde
str_rob_caravan|robar una caravana de mercaderes
str_sell_slavery|vender gente como esclavos
str_men_hungry|se le acabe la comida
str_men_unpaid|no ser capaz de pagar a los hombres
str_excessive_casualties|hacer que cada batalla sea un baño de sangre para nosotros
str_surrender|rendirse al enemigo
str_flee_battle|huir de la batalla
str_pay_bandits|pagar a unos simples bandidos
str_fail_quest|fracasar en una misión en la que dimos nuestra palabra de honor
str_treason_one|honor
str_missed_npc|fallo.
str_squander_money|despilfarrar el dinero que se nos confió
str_murder_merchant|formar parte de un asesinato a sangre fría
str_round_up_serfs|reunir a siervos en nombre de algún noble
str_battle_fate_1|Fuimos separados en el fragor del combate
str_battle_fate_2|Fui herido y dado por muerto
str_battle_fate_3|Fui golpeado por el enemigo hasta quedar inconsciente
str_battle_fate_4|Fui apresado y retenido para solicitar un rescate
str_battle_fate_5|Fui capturado, pero más tarde logré escapar
str_npc_morale_report|Soy {s6} tu elección de compañeros, {s7} tu estilo de liderazgo, y {s8} el estado general de las cosas.
str_happy|feliz por
str_content|contento con
str_concerned|preocupado por
str_not_happy|nada feliz por
str_miserable|francamente horrorizado por
str_morale_reg1| Moral: {reg1}
str_bar_enthusiastic|                   Entusiasta
str_bar_content|              Contento
str_bar_weary|          Cansado
str_bar_disgruntled|     Disgustado
str_bar_miserable|  Desgraciado
str_here_plus_space|aquí 
str_npc1_intro|Salve, señor de la guerra. Mi nombre es Caio, mi padre me ha enviado.
str_npc2_intro|Heill! Mi nombre es Egil.
str_npc3_intro|{reg59? ¿Quién te envió? Nunca regresaré: No te me acerques. ¡Estoy cansado de ser maltratado por cada persona que se cruza en mi camino!}
str_npc4_intro|¿Sí?
str_npc5_intro|Hola, viajero. ¿Quieres tomarte una copa conmigo?
str_npc6_intro|Tengo cosas que decirte, escucha con atención.
str_npc7_intro|¿Sí? Mantente a distancia, por cierto.
str_npc8_intro|¿Qué quieres?
str_npc9_intro|Mantente ahí. Por favor, ¿serías tan amable de traerme otra bebida?
str_npc10_intro|¡God thee mid sie, {reg59?señora:señor}!¡Aquí está para la perdición y ruina de todos los galeses!
