qstr_Breaking_camp...|Levantando el campamento...
qstr_{s33}_s_attempts_to_|Los intentos de {s33} para influenciar a las gentes de {s34} han fracasado.
qstr_The_people_of_{s34}_|La gente de {s34} te odia tanto, que a {s33} los guardias no le permiten entrar.
qstr_A_livestock_epidemic|Una epidemia de ganado ha matado {reg4} vacas en {s4}.
qstr_A_livestock_epidemic_|Una epidemia de ganado ha matado {reg5} ovejas en {s4}.
qstr_A_livestock_epidemic_h|Una epidemia de ganado ha matado {reg4} vacas y {reg5} ovejas en {s4}.
qstr_You_receive_a_messag|Recibes un mensaje de {s1}, en el que te exige tierras para apoyarlos de un modo que claramente les beneficia.
qstr_You_receive_a_message|Recibes un mensaje de {s1}, en el que te recuerda tus obligaciones de proveer a tus vasallos.
qstr_Your_men_made_some_d|Tus hombres hicieron una deliciosa mantequilla de leche de vaca.
qstr_A_livestock_epidemic_ha|Una epidemia de ganado ha matado {reg5} de tus vacas y el de una granja de {s4}.
qstr_A_livestock_epidemic_has|Una epidemia de ganado ha matado {reg4} de tus vacas y {reg5} de las que tienes en una granja de {s4}.
qstr_Your_party_is_spotte|Tu hueste es descubierta por {s1}.
qstr_Your_men_have_nothin|¡Tus hombres no tienen nada para comer!
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?han:ha} escapado de tu hueste durante la noche.
qstr_{s1}_of_the_{s3}_has|{s1} del {s3} ha sido liberado de su cautiverio.
qstr_{s1}_is_no_longer_in|{s1} ya no está infectado de bandidos por la noche.
qstr_{s1}_has_won_the_tou|{s1} ha ganado el torneo en {s2}.
qstr_You_pay_for_accommod|Pagas por el alojamiento.
qstr__Your_tactics_skill_| Tu habilidad Táctica se ha incrementado en 1.
qstr__Your_persuasion_ski| Tu habilidad de Persuasión se ha incrementado en 1.
qstr__Your_leadership_ski| Tu habilidad de Liderazgo se ha incrementado en 1.
qstr__Your_intelligence_h| Tu inteligencia se ha incrementado en 1.
qstr__Your_trade_skill_ha| Tu habilidad de Comercio se ha incrementado en 1.
qstr__Your_weapon_master_| Tu habilidad Maestría en armas se ha incrementado en 1.
qstr__Your_engineer_skill| Tu habilidad en Ingeniería se ha incrementado en 1.
qstr_You_have_finished_re|Has terminado de leer {s1}.{s2}
qstr_Book_Read|Libro leído
qstr_Christian_monastery|Monasterio cristiano
qstr_Christian_church|Iglesia cristiana
qstr_shrine_to_Norse_gods|santuario de dioses nórdicos
qstr_temple_to_Odin|templo de Odín
qstr_People_of_{s24}_are_|La gente de {s24}, desencantada por tu intolerancia religiosa, destruye {s25}.
qstr_You_have_{reg0}_days|Tienes {reg0} días para terminar esta misión.
qstr_{s1}_is_scouted.|{s1} es explorado.
qstr_{s1}_has_switched_fr|{s1} ha cambiado desde el {s2} al {s3}.
qstr_The_merchants__rest_|El albergue para mercaderes de {s1} aumenta su prosperidad.
qstr_Christian_monastery_|El monasterio cristiano de {s33} aumenta la fe de Cristo en {s34}.
qstr_The_scriptorium_in_{|El scriptorium de {s1} aumenta tu renombre.
qstr_Due_to_the_good_word|A causa de las buenas palabras de los clérigos cristianos hacia ti, tu relación con el {s1} mejora.
qstr_Due_to_the_bad_word_|A causa de las agrias palabras de los clérigos cristianos hacia ti, tu relación con el {s1} empeora.
qstr_{s1}_has_become_host|{s1} ha pasado a ser hostil a ti debido a tus maltratos a los súbditos cristianos.
qstr_Faction_became_hosti|Este reino es hostil ahora.
qstr_Due_to_the_good_word_|A causa de las buenas palabras de los devotos paganos hacia ti, tu relación con el {s1} mejora.
qstr_Due_to_the_bad_word_i|A causa de las agrias palabras de los devotos paganos hacia ti, tu relación con el {s1} empeora.
qstr_{s1}_has_become_hosti|{s1} a pasado a ser hostil a ti debido a tus maltratos a los súbditos paganos.
qstr_{s13}_has_too_many_t|{s13} tiene demasiadas tropas acuarteladas y tal vez ha sido escogido por el dux para reclutar levas.
qstr_most|la mayoría
qstr_half|la mitad
qstr_some|algún
qstr_few|poco
qstr_There_are_too_many_m|Hay demasiada gente en tu refugio. ¡Algunos están a disgusto y se marchan!
qstr_Refuge_Garrison|Guarnición del refugio
qstr_You_receive_word_tha|Te llegan noticias de que el instructor de {s1} ha completado su tarea.
qstr_TEST:_I_moved_Lords_|PRUEBA: moví a los señores a Santa Helena.
qstr_TEST:_I_bring_Lords_|PRUEBA: traje de vuelta a los señores.
qstr_Physicians_in_larger| Los médicos de las ciudades más grandes pueden tratar las heridas por un precio, tras lo cual se curan en pocos días. Cualquier efecto negativo desaparecerá.
qstr_You_are_wounded|Estás herido
qstr_{s1}You_have_only_on|{s1}Te queda sólo un día para cuidar de {reg7} de tus heridas. Visita a un médico de una ciudad grande para ello.^^
qstr_{s1}{reg7}_of_your_i|{s1}{reg7} de tus heridas se {reg8?han hecho permanentes:ha hecho permanente} porque {reg8?no han sido atendidas:no ha sido atendida}.^^
qstr_{s1}{reg7}_of_your_w|{s1}{reg7} de tus heridas {reg8?están curadas:está curada}, y tus habilidades relacionadas ya no están limitadas.
qstr_{s1}|{s1}
qstr_Wound_Report|Informe de heridas
qstr_A_ship_has_been_buil|Un barco ha sido construido para ti en {s0}.
qstr_Ship_finished|Barco terminado
qstr_{s0}_has_recovered_f|{s0} se ha recuperado del ataque.
qstr_By_now_you_have_more|Desde ahora, tienes más de un barco. En una batalla naval puedes dar la orden de “permanecer” o “cargar” a tus naves, dándole número de clase nueve, igual que las órdenes a una clase de tropas en una batalla campal. Las primeras tropas de tu lista de ejército estarán contigo en la nave capitana. El resto de tropas estarán en los siguientes barcos. Puedes cambiar de nave capitana en un puerto o mientras acampas en el mar. Si estás cerca de la costa, también puedes dividir la flota mientras está acampada, o buscar el lugar de desembarco más próximo haciendo clic derecho sobre tu hueste.
qstr_Ship_management|Gestión del barco
qstr_Your_troops_are_angr|Tus tropas están disgustadas, pues odian a pasar la noche en el mar.
qstr_Your_troops_feel_une|Tus tropas se muestran intranquilas por cruzar el mar.
qstr_Severe_weather_has_d|El clima riguroso ha dañado el {s1} ({s7}).
qstr_Severe_weather_has_de|El clima riguroso ha destruido el {s1} ({s7}).
qstr_vSeason|vSeason
qstr_vWindStrength|vWindStrength
qstr_The_weather_changed_|El clima cambia a: "Calma
qstr_The_weather_changed_t|El clima cambia a: "Ligera brisa
qstr_The_weather_changed_to|El clima cambia a: "Brisa moderada
qstr_The_weather_changed_to:|El clima cambia a: "Brisa fuerte
qstr_The_weather_changed_to:_|El clima cambia a: "Viento fuerte
qstr_The_weather_changed_to:__|El clima cambia a: "Vendaval
qstr_The_weather_changed_to:__S|El clima cambia a: "Tormenta
qstr_The_operation_of_the|Las operaciones del mercado de esclavos en {s33} reducen tu reputación.
qstr_DEBUG_rebellion:_che|DEBUG rebellion: comprobando la facción {s1} en el día {reg1}
qstr_DEBUG_rebellion:_fac|DEBUG rebellion: la facción {s1} resurge en el día {reg1}
qstr__Possible_Rebellion_|(Posible Rebelión) Los rumores dicen que {s14} recluta en tu reino pese a tu liderazgo.
qstr__Possible_Rebellion__|(Posible Rebelión) Los rumores dicen que {s14} está en punto de restaurar su reino.
qstr__Possible_Rebellion__R|(Posible rebelión) Los rumores dicen que {s14} está aún con vida.
qstr__Possible_Rebellion__Ru|(Posible rebelión) Los rumores dicen que {s14} está almacenando armas y buscando apoyos entre los francos.
qstr__Possible_Rebellion__Rum|(Posible rebelión) Los rumores dicen que {s14} se reune en secreto con sus más fieles.
qstr__Possible_Rebellion__Rumo|(Posible rebelión) Los rumores dicen que la gente está a favor de la restauración de {s14}.
qstr__Possible_Rebellion__Rumor|(Posible rebelión) Los rumores dicen que {s14} está reuniendo un ejército para recuperar el trono.
qstr__Possible_Rebellion__Rumors|(Posible rebelión) Los rumores dicen que {s14} está almacenando armas.
qstr__| 
qstr_Congratulations!_You|¡Felicidades! Has conseguido reunir a 7 ó más señores presos en la mazmorra de {s13}. Realmente eres un auténtico amo del calabozo.
qstr_Dungeon_master_Achie|Hazaña del amo del calabozo
qstr_Congratulations!_You_|¡Enhorabuena! Has logrado convertir a 5 ó más mujeres en tus amantes. Las señoras andan siempre detrás de ti, de lo cual debes sentirte orgulloso. ¡Sigue así de bien!
qstr_Skirt_Chaser_Achieve|Hazaña del mujeriego
qstr_Congratulations!_You_v|¡Felicidades!! Has conseguido esconder 25 ó más barriles de vino en tus bodegas, una gran hazaña teniendo en cuenta que esta tierra propia de la hidromiel y la cerveza. O tienes un serio problema con la bebida, o eres un auténtico experto en vinos. 
qstr_Wine_Connoisseur_Ach|Hazaña del degustador de vino
qstr_{s33}_revokes_your_r|{s33} revoca tu derecho de reclutar en {s34} debido a las malas relaciones entre los dos.
qstr_The_village_leader_o|El líder del pueblo de {s34} revoca tu derecho de reclutar debido a las malas relaciones entre tú y su aldea.
qstr_fixing_banners;_plea|ajustando estandartes; por favor, reajusta tu estandarte
qstr_unable_to_restore_ba|no es posible restaura estandarte {reg0} asignado a la tropa {reg1}
qstr_Prisoners_revolted!_|¡Los prisioneros se rebelaron! Cerca de {s33}
qstr_Your_gift_sent_to_{s|El regalo que enviaste a {s13} parece haber mejorado sus relaciones con él.
qstr_Gift_Sent_to_Lord|Regalo enviado a señor
qstr_Tutorial|Tutorial
qstr_Recruiting_warriors|Reclutando guerreros
qstr_Your_troops_feel_ref|Tus tropas se sienten recuperadas tras el descanso nocturno.
qstr_Your_men_need_rest_o|Tus hombres necesitan descansar o su moral se resentirá.
qstr_Foragers|Forrajeadores
qstr_Scouts|Exploradores
qstr_Morale|Moral
qstr_Each_day_of_the_sieg|Cada día de asedio necesitas cubrir una serie de gastos. Pagas por las recompensas, el cavar letrinas, la limpieza de establos, la compra y el transporte de agua y comida, el cocinado, el entretener a las tropas... 
qstr_You_do_not_have_mone|No tienes dinero para cubrir los gastos básicos de un asedio, lo cual socava la moral en gran medida.
qstr_{reg65?my_Lady:my_Lo|{reg65?señora:señor}
qstr_{reg65?My_Lady:My_Lo|{reg65?Señora:Señor}
qstr_{reg65?madame:sir}|{reg65?señora:señor}
qstr_{reg65?Madame:Sir}|{reg65?Señora:Señor}
qstr_Dog|Perro
qstr_Welcome_landlubber._|Bienvenido, marinero de agua dulce. Soy el carpintero de ribera.
qstr_Welcome_{reg59?lady:|{reg59?Bienvenida, señora:Bienvenido, señor} {playername}.
qstr_Welcome_{reg59?madam|{reg59?Bienvenida, señora:Bienvenido, señor}.
qstr_Welcome.|Bienvenido.
qstr_Your_ship_is_in_a_ba|Tu nave se encuentra en mal estado. Deberías sopesar el repararlo aquí, en mi astillero.
qstr_The_{s7}_is_the_most|El {s7} es la nave más célebre que jamás he conocido. Es un gran honor que mi {reg59?señora:señor} la tenga aquí en nuestro puerto.
qstr_Your_ship_is_of_poor|Tu nave es de mala calidad. Deberías pensar en comprarme un barco mejor.
qstr_That_s_a_decent_ship|El barco que tienes es bastante decente.
qstr_Your_ship_the_{s7}_i|Tu barco, el {s7}, es excelente. Mis trabajadores podrían aplicarle algo de barniz y pintarlo, si te parece.
qstr_The_{s7}_is_a_wonder|El {s7} es una gran nave. Me siento feliz de verla en mi puerto.
qstr_{s2}_{s3}|{s2} {s3}
qstr_You_are_already_in_{|Ahora estás en {s1}.
qstr__and_your_troops|a ti y tus tropas
qstr_There_is_a_ship_that|Hay un barco que puede llevarte {s3} al puerto de {s1} por {reg1} peniques.
qstr_I_changed_my_mind.|Cambié de opinión.
qstr_For_a_ship_of_this_s|Para un barco de este tamaño, no tengo suficiente madera, brea y lana, así que necesito que traer estos materiales adicionales.
qstr___He_indicates_the_f|--Señala el otro lado de la bahía con el brazo.--
qstr_Now_you_must_join_th|Ahora debes unirte a la flota de Sven Cuello de Toro y Harald Haraldsson, que pronto abandonará Ribe en dirección a Englaland. Una vez más tu destino te lleva a otras tierras.
qstr___His_eyes_shine.__|--Sus ojos brillan.--
qstr_The_port_master_of_R|El maestre del puerto de Ribe te dijo la ubicación del escondite de Sven: al sureste de {s3}. Ve allí para rescatar a los prisioneros del Woden Ric.
qstr___He_approaches_you_|--Se acerca a ti, hasta que puedes oler la cerveza barata de su aliento.--
qstr___He_looks_with_a_pe|--Te dedica una mirada perversa.--
qstr_The_port_master_of_Ri|El maestre del puerto de Ribe quiere un libro llamado El Cathach de Colum Cille, que se encuentra en Gleann Da Loch, un monasterio próximo a {s3}, en Ériu, Hibernia.
qstr_The_port_master_from|El maestre del puerto de Ribe te dijo la ubicación del escondite de Sven: al sureste de {s3}. Ve allí para rescatar a los prisioneros del Woden Ric.
qstr___He_gives_you_a_str|--Te dirige una mirada extraña.--
qstr_The_port_master_of_{|El maestre del puerto de {s4} quiere que lleves un lote de pieles hasta {s3} en Ériu, a un comerciante local llamado Hogni.
qstr_The_port_master_from_|El maestre del puerto de {s4} te dijo la ubicación de la Cueva de Odín: cerca de {s3}. Ve allí a recuperar la carta de Bodo.
qstr_The_port_master_from_R|El maestre del puerto de Ribe te dijo la ubicación de la Cueva de Odín: cerca de {s3}. Ve allí a recuperar la carta de Bodo.
qstr_Embark_on_your_boat_|Embárcate en tu nave para unirte a la flota que se dirige a Douar-an-Enez.
qstr_Perhaps_there_is_a_l|Tal vez queda poco tiempo para el fin del mundo. (Flemático)
qstr_You_re_right!_The_co|¡Tienes razón! ¡La llegada de los vikingos evidencia que ha llegado el Fin! (Melancólico)
qstr_The_Bible_also_says_|La Biblia también dice que un rey unificará toda la tierra. Yo soy ese rey. (Colérico)
qstr_A_change_in_the_worl|Los cambios en el mundo sólo crean más oportunidades para los audaces, eso es todo. (Sanguíneo)
qstr_I_appreciate_your_re|Agradezco tus palabras tranquilizadoras, pero me temo que el día del fin del mundo ya se ha establecido, y nada de lo que hagamos o digamos puede cambiarlo. Lo único que podemos hacer es esperar y luchar hasta que los ejércitos de Dios lleguen.
qstr_Exactly!_West_Seaxe_|¡Exacto! West Seaxe es el último bastión de los fieles, pero va a sucumbir ante las hordas paganas a pesar de todos sus esfuerzos. ¡Vamos a morir todos! Déjame en paz, no quiero hablar más de ello.
qstr_Your_self_confidence|Tu confianza en ti mismo me reconforta, pero debo informarte de que el rey será derrotado por las huestes del mal, y sólo la llegada del ejército de Dios salvará al mundo. Sin embargo, si alguna vez te conviertes en rey, será un placer luchar y morir a tu lado.
qstr_I_m_surprised_that_y|Me sorprende que encuentres algún beneficio en las desgracias ajenas. Sin duda eres mucho más despiadado de lo que pensaba.
qstr_You_need_to_rid_your|Necesita librarte de tanta arrogancia. (Flemático)
qstr_I_am_always_willing_|Siempre estoy dispuesto a aprender. Gracias, Egil. (Melancólico)
qstr_I_think_it_s_clear_t|Creo que está claro que el destino me es más favorable a mí que a ti. (Colérico)
qstr_Silence!_You_shall_n|¡Silencio! ¡No menoscabes mi autoridad! (Sanguíneo)
qstr_Yes_I_pretended_to_b|Sí, fingía ser modesto. Bueno, es algo que está en mi naturaleza, aunque la arrogancia es buena en un líder. Debes aprender a ser un poco más arrogante cuando sea necesario --es parte de mi consejo-- e inspirarás a tus hombres confianza. Tus órdenes deben ser rotundas, y quien te desobedezca debe ser castigado. Esto es lo que valoro en un jefe, y me alegra que me hayas escuchado. Sin embargo, basta ya de charla.
qstr_I_understand._Someon|Lo entiendo, alguien como tú no tiene mi experiencia y mis conocimientos. Es importante que trates de aprender de mí, {playername}. Trata de ser como yo, alguien a quien la gente admira y respeta. También me sugiero que seas el primero en la batalla, para dar un ejemplo a tus hombres, y que compartas la plata con tus hombres sin avaricia. Estos son mis consejos; ahora tengo cosas que hacer.
qstr_Your_men_see_the_way|Tus hombres ven el modo en el que Egil te trata, y pierdes autoridad.
qstr_And_people_say_that_|¡Y la gente dice que soy arrogante! Ante tal acusación, ¿qué puedo decir? En fin, me gusta. Eso es lo que más valoro de un líder: su capacidad para demostrar confianza en sí mismo y para convencer a los demás gracias a su carisma. Tienes razón, no tengo nada que enseñarte.
qstr_I_only_pretended_to_|Sólo pretendía darte consejos, aunque está claro que no te interesan. Bueno, diste una orden, lo cual demuestra cierta autoridad, pero eso no te convierte en un buen líder. Obedeceré y regresaré a mis tareas.
qstr_I_am_just_a_poor_far|Soy sólo un pobre campesino de por aquí, mejor habla al juez de la granja.
qstr_I_just_work_the_fiel|Yo sólo sé trabajar el campo, mejor habla habla al juez de la granja que está por allá.
qstr_Stranger_go_talk_to_|Extranjero, ve a habla al juez de la granja si quieres hacer negocios aquí.
qstr__Relation:_{reg0}| Relación: {reg0}
qstr_{s12}I_want_to_plund|{s12}Quiero saquear y conservar {s1} para mí. {s2}
qstr__no_fiefs_|(sin feudos)
qstr__fiefs:_{s0}_|(feudos: {s0})
qstr___The_child_looks_at|--El niño te mira con ojos divertidos y ríe.--
qstr_My_mother_told_me_no|Mi mamá no quiere que hable con extraños. ¡Adiós!
qstr_Running_is_fun!_I_ca|¡Correr es divertido! ¡Puedo correr más rápido que tú! ¿Quieres verlo?
qstr_We_are_landless_poor|Somos campesinos sin tierra, pobres y perseguidos. La vida nos ha llevado a esto, {reg59?niña:compañero}. No hagas movimientos bruscos o te ensartaremos.
qstr_Luckily_for_you_you_|Por suerte para ti, me has pillado de buen humor. Danos toda tu plata y puede que te dejemos con vida.
qstr_This_a_robbery_eh?_I|Esto es un robo, ¿vale? Te damos una sola oportunidad de entregarnos todo lo que lleves encima, o mis colegas y to te rebanaremos el cuello. ¿Está claro?
qstr_big|grande
qstr_medium_sized|mediano
qstr_small|pequeño
qstr_don_t_|no 
qstr_Note_4:_{s9}_has_sen|Nota 4: {s9} ha enviado hombres para matarte. Te tienden una emboscada en el río, y aunque sobrevives al ataque, ahora tu sueño no es tan apacible.
qstr___A_large_group_of_S|--Un gran grupo de sajones se interpone en tu camino. Su líder se adelanta y alza una mano.--
qstr_we_have_made_very_li|hemos hecho muy pocos progresos hasta ahora
qstr_we_have_succeeded_in|hemos logrado ganar algo de terreno, pero aún tenemos un mucho camino por recorrer
qstr_we_have_become_a_sig|nos hemos convertido en una fuerza importante, y tenemos una oportunidad de victoria
qstr_we_are_winning_the_w|estamos ganando la guerra, pero nuestros enemigos aún resisten.
qstr_we_are_on_the_verge_|estamos en el borde de la victoria. Los enemigos ya no suponen una amenaza, pero aún debemos darles caza.
qstr_Warlord|Señor de la guerra
qstr_Note_5:_You_fell_in_|Note 5: Te has enamorado de Morrigan.
qstr_{s21}_seems_happy._{|{s21} parece feliz. {s21} se muestra complacido.
qstr___She_smiles.__|--Ella sonríe.--
qstr___He_mutters_somethi|--Murmura algo en voz baja como si hablase a alguien invisible.--
qstr___He_seems_very_nerv|--Parece muy nervioso y asustado.--
qstr_Please_calm_down._I_|Por favor, cálmate, no soy tu enemigo. Inspira hondo y háblame de mi madre. (Flemático)
qstr_You_re_making_me_wor|Me estás preocupando... mucho... Por favor cálmate y háblame de mi madre. (Melancólico)
qstr_Relax!_You_re_talkin|Relájate, hablas con un amigo, y puedo protegerte de quien trate de hacerte daño. (Colérico)
qstr_Calm_down_and_tell_m|¡Cálmate y háblame de mi madre! De lo contrario, te juro que será tu cadáver quien deba responderme. (Sanguíneo)
qstr_Thank_you_for_being_|Gracias por ser tan comprensivo. Hoy he tenido un mal día. Ahora estoy mejor. Escucha, tengo cosas importantes que decirte.
qstr_Please_please_do_not|¡Por favor, no seas tan ansioso! Cuando Sven estaba ansioso, le cortaba los dedos a quienes le molestaban. Mira, ya estoy mejor, te diré cosas importantes.
qstr_Oh_well_yes_I_trust_|Oh, bueno... sí, confío en ti. Ella me dijo que confiara en ti. Voy a contártelo todo.
qstr_Oh_my_god..._Do_not_|Oh, Dios mío... ¡No me mates! Ya estoy tranquilo, besaré el suelo que pisas. Seré tu fiel servidor, pero no me mates. Te contaré todo lo que sé.
qstr___He_seems_calmer.__|--Parece más calmado.--
qstr_In_Boar_Grove_you_fo|En la Arboleda del Jabalí, encuentras a un sacerdote llamado Beda, que había sido un esclavo de tu madre. Fue liberado para que te encontrase y te recordara el amor de tu madre. Al fin consigues obtener noticias sobre ella. Ahora estás un paso más cerca de encontrarla.^^Estás preparado para navegar hacia Douar-an-Enez. Habla con el viejo capitán en el puerto. Él está siempre cerca de los barcos.
qstr___He_smiles.__|--Sonríe.--
qstr___He_closes_his_eyes|--Cierra los ojos durante un instante, como si buscase las palabras correctas.--
qstr___He_takes_a_deep_br|--Inspira profundamente, y luego responde con calma.--
qstr_Asbjorn_has_joined_y|Asbjorn se ha unido a tu hueste para asegurarse de que te unes a la flota. Además, se ha ofrecido para acompañaros como médico. Es el momento de conseguir que el maestre del puerto de {s3} te lleve con la flota vikinga que se dispone a partir hacia Englaland.
qstr___Bodo_seems_excited|--Bodo parece excitado.--
qstr___He_smiles_at_you._|--Te sonríe.--
qstr___He_takes_the_lette|--Te quita la carta de las manos.--
qstr___He_looks_up_from_t|--Levanta la vista de la página y se vuelve hacia ti.--
qstr_Bodo_s_letter_has_fa|La carta de Bodo ha caído en tus manos, y has decidido averiguar qué hacer con ella una vez se resuelva el Thing y todos los actuales problemas. De momento, le dirás a {s9} que la carta se quemó durante el ataque a la Cueva de Odín, para asegurarte de que {s11} no pueda usarla en tu contra.
qstr_Brunhild_thinks_that|Brunhild cree que eres un líder débil.
qstr_Reginhard_thinks_tha|Reginhard cree que eres un líder débil.
qstr_Bodo_thinks_that_you|Bodo cree que eres un líder débil.
qstr_Brunhild_has_advised|Brunhild te ha advertido que busques primero a un enemigo de {s9}, {s11}, para hallar apoyo antes de ponerte tú mismo en manos del hijo de Ragnar.
qstr_I_m_not_sure_I_want_|No estoy seguro de querer escuchar lo que vas a decirme. (Flemático)
qstr_You_are_worrying_me_|Me estás preocupando, Bodo. ¿Qué tienes que decir? ¡Dilo de una vez! (Melancólico)
qstr_I_m_very_calm..._Tru|Estoy muy tranquilo, créeme. No te gustaría verme nervioso, Bodo. Tengo muy poca paciencia. Ahora habla, o te daré una paliza. (Colérico)
qstr_Whatever_you_have_to|Lo que tengas que decirme, dilo ya. Me he preparado para este momento hace mucho tiempo. (Sanguíneo)
qstr_I_understand_my_frie|Lo entiendo, amigo, pero debes saberlo... todo.
qstr_Stay_calm_please._I_|Cálmate, por favor. Te lo contaré todo.
qstr_No_need_to_be_aggres|No es necesario mostrarte agresivo. Ya sabes que mi lealtad hacia mis amigos es incuestionable. Ahora, escucha.
qstr_I_admire_your_strong|Admiro tu carácter. Te lo voy a contar todo.
qstr___He_puts_his_hand_o|--Te pone la mano en el hombro y sonríe con tristeza.--
qstr___He_sighs_impatient|--Suspira con impaciencia.--
qstr___He_steps_back_take|--Da un paso atrás, inspira hondo y te mira a los ojos.--
qstr_Sven_wanted_you_but_|Sven te buscaba, pero ¿cómo sabía dónde encontrarte? ¿Quién nos ha traicionado? (Sabiduría)
qstr_Your_redemption_and_|Tu redención y mi objetivo coinciden. (Fortaleza)
qstr_I_understand_that_wh|Entiendo que lo sucedido fue por tu causa, pero no tienes la culpa. (Templanza)
qstr_You_re_responsible_f|Eres responsable de lo sucedido. Después de Sven, deberías ser tú quien pague con su vida. (Justicia)
qstr___He_sighs_with_anno|--Suspira con fastidio.--
qstr___He_lowers_his_head|--Baja el rostro, avergonzado, sus manos inquietas.--
qstr___He_strains_his_fac|--Sus facciones se tensan y te mira fijamente, sin parpadear.--
qstr_Info:|Info:
qstr_Regarding_that_matte|Respecto a eso, pensaba que el Woden Ric estaba a salvo, pero me equivoqué. (Sabiduría)
qstr_Note_Bodo:_Bodo_feel|Nota Bodo: Bodo se siente responsable, de forma indirecta, de la muerte de la gente del Woden Ric.
qstr_So_our_paths_have_me|Así que nuestros caminos se cruzan, amigo. Te contaré el resto, y entonces podemos aunar esfuerzos contra nuestro enemigo común. (Fortaleza)
qstr_Note_Bodo:_Bodo_felt|Nota Bodo: Bodo se siente responsable, de forma indirecta, de la muerte de la gente del Woden Ric, pero lo perdonaste.
qstr_Thanks_for_your_trus|¡Gracias por tu confianza! Espero ser digno de ella. (Templanza)
qstr_That_would_be_just._|Eso sería justo. Pagaría por todo el daño que he causado. Cuando Sven Cuello de Toro esté muerto, pondré mi cuello bajo tu espada. (Justicia)
