str_no_string|NO STRING!
str_may_reg1_reg2|{reg2}년 5월 {reg1}일
str_june_reg1_reg2|{reg2}년 6월 {reg1}일
str_july_reg1_reg2|{reg2}년 7월 {reg1}일
str_august_reg1_reg2|{reg2}년 8월 {reg1}일
str_september_reg1_reg2|{reg2}년 9월 {reg1}일
str_october_reg1_reg2|{reg2}년 10월 {reg1}일
str_november_reg1_reg2|{reg2}년 11월 {reg1}일
str_december_reg1_reg2|{reg2}년 12월 {reg1}일
str_town_nighttime| 늦은 밤이 되어 사람들이 거리를 떠났습니다.
str_door_locked|문이 잠겨있습니다.
str_castle_is_abondened|성이 비어있는 것 같습니다.
str_town_is_abondened|도시는 적을 막아낼 수비병이 없습니다.
str_place_is_occupied_by_player|당신의 병력에 의해 점령된 곳
str_place_is_occupied_by_enemy|적대적인 병력에 의해 점령된 곳
str_place_is_occupied_by_friendly|우호적인 병력에 의해 점령된 곳
str_do_you_want_to_retreat|정말 퇴각하시겠습니까? (사기 대폭 저하)
str_give_up_fight|전투를 포기하시겠습니까?
str_do_you_wish_to_leave_tutorial|튜토리얼을 끝내시겠습니까?
str_do_you_wish_to_surrender|항복하시겠습니까?
str_can_not_retreat|적이 근처에 있어서 퇴각할 수 없습니다.
str_s1_joined_battle_enemy|{s1}이(가) 적의 부대에 합류 했습니다.
str_s1_joined_battle_friend|{s1}이(가) 당신의 부대에 합류 했습니다.
str_entrance_to_town_forbidden|도시 경비병들이 경비를 서고 있습니다. 아무 문제없이 문을 통과하기란 불가능할 것 같습니다.
str_sneaking_to_town_impossible|도시 경비병들이 눈치 챘습니다. 당신이 아무리 잘 변장하더라도 문을 통과할 수 없습니다.
str_battle_won|당신은 전투에서 승리하였습니다!
str_battle_lost|당신은 전투에서 패배하였습니다!
str_attack_walls_success|치열한 전투 후, 당신의 용감한 병사들이 적으로부터 성벽을 넘겨 받았습니다.
str_attack_walls_failure|당신의 병사들은 성벽을 향해 돌격하였으나 파도에 빠지듯이 사라지고, 살아 남은 일부 병사들은 바로 패배 하여 도망쳐 버리고 더 이상 보이지 않습니다.
str_attack_walls_continue|치열한 전투는 계속되고 있고, 양쪽은 대등한 전투력으로 전투를 합니다. 당신 병력의 노력에도 불구하고, 성은 적의 손에 있습니다.
str_order_attack_success|당신의 병사들은 용감하게 싸워 적을 격파했습니다.
str_order_attack_failure|적군이 당신의 병사들을 줄여나갔고, 기진맥진한 생존자들을 손쉽게 쓰러뜨리며 전투는 절망적으로 보입니다.
str_order_attack_continue|장시간 전투에도 불구하고, 당신의 부대는 결정적인 승리를 이끌어 낼 수 없었습니다.
str_join_order_attack_success|당신의 병력은 동맹군과 함께 잘 싸워 적군을 무찌른 영광을 함께 나누고 있습니다.
str_join_order_attack_failure|적군이 당신의 병사들을 줄여나가고, 기진맥진한 생존자들을 손쉽게 쓰러뜨리며 전투는 절망적으로 보입니다.
str_join_order_attack_continue|장시간 전투에도 불구하고, 당신의 부대는 결정적인 승리를 이끌어 낼 수 없었습니다.
str_siege_defender_order_attack_success|기술과 용기를 가진 수비병들은 성벽을 확보하고 있으며, 적군의 공격을 막아내고 완벽히 패배 시켰습니다.
str_siege_defender_order_attack_failure|신속한 공격으로 인해 난전이 되었습니다. 용맹스런 노력에도 불구하고 우수한 수비병들은 성벽을 지킬 수 없었고, 적군은 마지막 수비병에게 칼을 찌릅니다.
str_siege_defender_order_attack_continue|사방에서 성벽을 얻기 위한 치열한 시도들이 반복해서 실패하고 있습니다. 그러나 아직 승리를 원하는 많은 적군들이 남아있습니다. 공성은 계속 되고 있습니다.
str_hero_taken_prisoner|{s3}의 {s1}은(는) {s2}에 의해 포로로 붙잡혔습니다.
str_hero_freed|{s3}의 {s1}은(는) {s2}의 포로신세에서 자유롭게 되었습니다.
str_center_captured|{s2}은(는) {s3}의 {s1}을(를) 점령하였습니다.
str_troop_relation_increased|{s1}와의 관계가 {reg1}에서 {reg2}으로 향상되었습니다.
str_troop_relation_detoriated|{s1}와의 관계가 {reg1}에서 {reg2}으로 악화되었습니다.
str_faction_relation_increased|{s1} 세력과의 관계가 {reg1}에서 {reg2}으로 향상되었습니다.
str_faction_relation_detoriated|{s1} 세력과의 관계가 {reg1}에서 {reg2}으로 악화되었습니다.
str_party_gained_morale|당신의 부대는 {reg1}의 사기를 얻었습니다.
str_party_lost_morale|당신의 부대는 {reg1}의 사기를 잃었습니다.
str_other_party_gained_morale|{s1}은(는) {reg1} 사기를 얻었습니다.
str_other_party_lost_morale|{s1}은(는) {reg1} 사기를 잃었습니다.
str_qst_follow_spy_noticed_you|스파이가 당신을 발견했습니다. 그는 도망치고 있습니다!
str_father|아버지
str_husband|남편
str_wife|아내
str_daughter|딸
str_mother|어머니
str_son|아들
str_brother|형제
str_sister|자매
str_he|그
str_she|그녀
str_s3s_s2|{s3}의 {s2}
str_s5_is_s51|{s5}은(는) {s51}.
str_s5_is_the_ruler_of_s51|{s5}은(는) {s51}의 통치자입니다.
str_s5_is_a_nobleman_of_s6|{s5}은(는) {s6}의 귀족입니다. 
str_relation_mnus_100|복수심
str_relation_mnus_90|복수심
str_relation_mnus_80|복수심
str_relation_mnus_70|증오
str_relation_mnus_60|증오
str_relation_mnus_50| 적대적
str_relation_mnus_40|  화남
str_relation_mnus_30|    분개
str_relation_mnus_20|      불만스러움
str_relation_mnus_10|        의심
str_relation_plus_0|         무관심
str_relation_plus_10|          협조적
str_relation_plus_20|           환영
str_relation_plus_30|            호의적인
str_relation_plus_40|             지지하는
str_relation_plus_50|              우호적인
str_relation_plus_60|               공손한
str_relation_plus_70|                 친근함
str_relation_plus_80|                  충성
str_relation_plus_90|                   헌신
str_relation_mnus_100_ns|{s60}는 당신에게 복수심을 가집니다
str_relation_mnus_90_ns|{s60}는 당신에게 복수심을 가집니다
str_relation_mnus_80_ns|{s60}는 당신에게 복수심을 가집니다
str_relation_mnus_70_ns|{s60}는 당신을 증오 합니다.
str_relation_mnus_60_ns|{s60}는 당신을 증오 합니다.
str_relation_mnus_50_ns|{s60}는 당신을 적대시 합니다.
str_relation_mnus_40_ns|{s60}는 당신에게 화가난 상태 입니다.
str_relation_mnus_30_ns|{s60}는 당신에게 분개하고 있습니다.
str_relation_mnus_20_ns|{s60}는 당신에게 불만스러워 하고 있습니다.
str_relation_mnus_10_ns|{s60}는 당신을 의심스러워 하고 있습니다.
str_relation_plus_0_ns|{s60}는 당신에 대해서 무관심 합니다.
str_relation_plus_10_ns|{s60}는 당신에 대해서 협조적입니다.
str_relation_plus_20_ns|{s60}는 당신은 환영합니다.
str_relation_plus_30_ns|{s60}는 당신에게 호의적입니다.
str_relation_plus_40_ns|{s60}는 당신에게 지지적입니다.
str_relation_plus_50_ns|{s60}는 당신에게 우호적입니다.
str_relation_plus_60_ns|{s60}는 당신에게 공손합니다.
str_relation_plus_70_ns|{s60}는 당신을 좋아합니다.
str_relation_plus_80_ns|{s60}는 당신에게 충성적입니다.
str_relation_plus_90_ns|{s60}는 당신에게 헌신적입니다.
str_relation_reg1| 평판: {reg1}
str_center_relation_mnus_100|주민들은 당신을 대단히 증오하고 있습니다.
str_center_relation_mnus_90|주민들은 당신을 대단히 증오하고 있습니다.
str_center_relation_mnus_80|주민들은 당신을 대단히 증오하고 있습니다.
str_center_relation_mnus_70|주민들은 당신을 매우 증오하고 있습니다.
str_center_relation_mnus_60|주민들은 당신을 증오하고 있습니다.
str_center_relation_mnus_50|주민들은 당신에게 극도의 적개심을 갖고 있습니다.
str_center_relation_mnus_40|주민들은 당신을 매우 적대시 하고 있습니다.
str_center_relation_mnus_30|주민들은 당신에게 적개심을 갖고 있습니다.
str_center_relation_mnus_20|주민들은 당신에게 반항적입니다.
str_center_relation_mnus_10|주민들은 당신에게 적대적입니다.
str_center_relation_plus_0|주민들은 당신에게 무관심합니다.
str_center_relation_plus_10|주민들은 당신을 받아들입니다.
str_center_relation_plus_20|주민들은 당신에게 협력적입니다.
str_center_relation_plus_30|주민들은 당신을 지지하기 시작합니다.
str_center_relation_plus_40|주민들은 당신을 지지합니다.
str_center_relation_plus_50|주민들은 당신을 매우 지지합니다.
str_center_relation_plus_60|주민들은 당신에게 충성합니다.
str_center_relation_plus_70|주민들은 당신에게 높은 충성심을 보입니다.
str_center_relation_plus_80|주민들은 당신에게 헌신적으로 보입니다.
str_center_relation_plus_90|주민들은 당신에게 맹렬하게 헌신적으로 보입니다.
str_town_prosperity_0|빈곤한 마을{s60}은 가난합니다.
str_town_prosperity_10|{s60}의 마을은 모두가 더럽고 삭막합니다.
str_town_prosperity_20|{s60}의 마을은 비참하고 황폐해 보입니다.
str_town_prosperity_30|{s60}의 마을은 가난하고 빈곤해 보입니다.
str_town_prosperity_40|{s60}의 마을은 고군분투 할 것처럼 보입니다.
str_town_prosperity_50|{s60}의 마을은 하찮아 보입니다.
str_town_prosperity_60|{s60}의 마을은 번성할 것으로 보입니다.
str_town_prosperity_70|번영한 마을 {s60}은 활동적으로 보입니다.
str_town_prosperity_80|{s60}마을은 부를 잘 유지하고 있어 보입니다.
str_town_prosperity_90|{s60}마을은 부유하고 사람들로 북적여 보입니다.
str_town_prosperity_100|빛나는 마을 {s60}은 그들의 부를 과시합니다.
str_village_prosperity_0|가난한 촌락{s60}은 빈곤함을 견딜 수 있습니다.
str_village_prosperity_10|{s60}촌락은 가난하고 비참해 보입니다.
str_village_prosperity_20|{s60}촌락은 가난하고 황폐해 보입니다.
str_village_prosperity_30|{s60}촌락은 가난하고 소외되어 보입니다.
str_village_prosperity_40|{s60}촌락은 가난을 이겨내기 위해 고군분투해 보입니다.
str_village_prosperity_50|{s60}촌락은 하찮아 보이지 않습니다.
str_village_prosperity_60|{s60}촌락은 번성해 보입니다.
str_village_prosperity_70|{s60}촌락은 점점더 번성합니다.
str_village_prosperity_80|{s60}촌락은 잘사는것 처럼 보이고 활동적입니다.
str_village_prosperity_90|{s60}촌락은 아주 잘 살며 번영해 보입니다.
str_village_prosperity_100|{s60}촌락은, 주변에 비옥한 땅과 곡식으로 넘쳐나는 엄청난 부자입니다.
str_town_alt_prosperity_0|시장에서 판매되는 약간의 물품들은 주민들이 살 수 없는 가격인 것 같습니다. 사람들은 영양실조에 걸리고 그들의 가축들은 아프거나 죽어가고 있고, 그들의 거래수단이 사라진 것 같습니다. 뒷골목에는 버려진 지저분한 개와 파리가 있습니다.
str_town_alt_prosperity_20|당신은 시장에서 가끔 모든 물건의 가격과 절반정도 비어있는 상점에 대한 불평을 듣습니다. 사람들과 가축들의 영양실조의 조짐과, 건물과 연장의 수리지연으로 인한 고생이 보입니다. 대부분이 일자리를 찾기위해 다른 곳으로 이동할 준비를 할 지도 모릅니다.
str_town_alt_prosperity_40|당신은 시장에서 가끔 모든 물건의 가격에 대한 불평을 듣습니다. 그러나 그것은 판매에 적합한 가격인 것 같습니다. 당신은 가끔 비어있는 건물, 가게, 수레를 볼 수 있지만, 보통보단 나은 경우입니다.
str_town_alt_prosperity_60|사람들은 비교적 배불러 보입니다. 장인은 사업이 번창하고, 다른 지역에서 온 일부 이주자들은 그들의 행운을 찾은 것 같아 보입니다.
str_town_alt_prosperity_80|성벽, 거리 그리고 집들이 잘 가꾸어져 있습니다. 시장에는 유용성 있는 물품과 일거리에 이끌려 온 주변마을의 이주민과 군중들이 있습니다. 망치질의 리듬과 장인워크샵의 사업에 대한 이야기가 어렴풋이 보입니다.
str_village_alt_prosperity_0|오직 몇몇 사람만이 많은 잡초가 우거진 들판에서 충분히 일할 수 있습니다. 다른 사람들은 약하고 영양 실조 상태이거나 이미 다른 곳으로 떠나버렸습니다. 짐을 운반하는 가축들은 오랜 기간동안 굶주리거나 먹지 못했고, 여전히 외곽에는 몇몇 시체가 누워 있었으며, 그들의 뼈를 야생 동물들이 갉아먹고 있습니다.
str_village_alt_prosperity_20|몇몇 농부들과 가축들은 들판에 나가 있지만 그들은 소수이며 몇몇 마을 주민들에게 먹을 것을 찾아 이주하기를 권하고 있습니다. 농장 연장들은 녹슬고 부서진 걸로 보입니다. 그들은 덤불과 잡초로 된 들판의 가장 바깥쪽을 개간하고 있습니다.
str_village_alt_prosperity_40|들판과 과수원은 제철에 열심히 일하는 마을 주민들로 바쁩니다. 사람들과 가축 모두 비교적 건강하고 배불러 보입니다. 그러나 가장 바깥쪽 들판의 약간만 개간한 상태이고, 몇몇 부서진 울타리만 수리되었으며, 여전히 필요한 모든 일을 하기에는 손이 많이 부족합니다.
str_village_alt_prosperity_60|들판과 과수원의 흥겨운 콧노래와 꽉찬 곡물 포대, 그리고 말린 고기가 마을의 농경지와 목장의 생산성을 증명하고 있습니다.
str_village_alt_prosperity_80|들판과 과수원에 흥겨운 콧노래와 방금 파놓은 관개수로로 인해 농부들은 충분한 휴가 시간과 에너지를 가지고 경작지를 확장해 가고 있습니다. 계절 노동자들은 일을 도와주기 위해 몰려 들고 대체적으로 번창에 참여하는 것 같습니다.
str_oasis_village_alt_prosperity_0|팜 농장은 사실상 버려졌고, 물을 대던 수로는 흙으로 막혀버렸습니다. 눈에 띄는 몇몇 주민들은 영양실조에 지쳐보입니다. 가축들은 굶주린지 오래됐거나 잡아먹혔습니다. 몇몇 가축 시체들은 변두리에 방치되어 있고, 그 뼈는 사나운 사막의 자칼들이 갉아먹은 흔적이 있습니다.
str_oasis_village_alt_prosperity_20|한 두 명의 마을 주민들이 팜 농장으로 향하는 것을 볼 수 있습니다. 사막의 모래들이 정원을 덮고 있습니다. 수로는 대부분 막혀버렸고, 우물과 물통들은 모래로 가득 차 있습니다.
str_oasis_village_alt_prosperity_40|남자와 여자들은 팜 농장을 향해가거나 나무 꼭대기에 올라가 과일을 따느라 분주합니다. 건강한 가축들은 농지에 물을 대는 펌프와 휠을 끌고 있습니다. 약간의 수로와 물통의 사용하기 위해 보수가 필요합니다.
str_oasis_village_alt_prosperity_60|팜 농장과 과수원은 활기로 가득차 있습니다. 농부들은 과일을 따기 위해 나무 꼭대기로 올라 서로를 불러대고 있습니다. 나무 펌프의 삐걱거림, 가축들이 우는 소리, 관개 수로에 힘차게 흐르는 물소리에 마을은 주민들의 관심 속에 점점 번영하고 있습니다.
str_oasis_village_alt_prosperity_80|팜 농장은 풍성한 수확물을 시장에 팔려고 싣는 농부들의 활기로 가득차 있습니다. 남자와 여자들은 새로 만든 땅에 물을 대기 위해 우물과 수로를 파느라 열심입니다.
str_acres_grain|넓은 곡식밭
str_acres_orchard|넓은 과수원과 포도원
str_acres_oasis|넓은 오아시스 관개지
str_looms|직조기
str_boats|배
str_head_cattle|소
str_head_sheep|양
str_mills|선반
str_kilns|가마
str_pans|팬
str_deposits|예금
str_hives|꿀벌통
str_breweries|양조장
str_presses|압축기
str_smithies|대장간
str_caravans|사막길의 대상
str_traps|함정
str_gardens|작은 정원
str_tanneries|무두질 통
str_master_miller|방앗간 마스터
str_master_brewer|양조장이 마스터
str_master_presser|압착기 담당 마스터
str_master_smith|대장장이 마스터
str_master_tanner|무두장이 마스터
str_master_weaver|직공 마스터
str_master_dyer|염색공 마스터
str_war_report_minus_4|우리는 전장에서 질 수 밖에 없습니다.
str_war_report_minus_3|상황이 의기소침해졌습니다.
str_war_report_minus_2|모든 것이 우리에게 불리할 것입니다.
str_war_report_minus_1|마음만 먹는다면 우리는 전장에서 이길수 있습니다.
str_war_report_0|우리는 여전히 적과 균형잡혀 있습니다.
str_war_report_plus_1|우리는 전장에서 승리하기 위해 동등한 기회를 가집니다.
str_war_report_plus_2|만사가 잘 되어가고 있습니다.
str_war_report_plus_3|그들을 정복하는데 아무런 어려움도 없습니다.
str_war_report_plus_4|우리는 전장에서 이길수 밖에 없습니다.
str_persuasion_summary_very_bad|당신은 {s50}을 설득하는데 최선을 다 했습니다, 그러나 당신의 생각도 표현되었습니다. 당신이 이해되기 시작할 때마다, 전적으로 당신을 뒤쫓는 속임수가 잘못된 것 같다. 말하기를 마칠 무렵에 당신에게 부탁이나 예절등 일관된 시점으로 나아가는 것에 실패 했습니다, 그리고 당신의 실망감이 스스로 잘못된 구멍속으로 깊이 파고들게 했습니다. 당연히, {s50}에게 어떠한 감동도 보여지지 않습니다.
str_persuasion_summary_bad|당신은 {s50}을 설득했습니다, 그러나 {reg51?그녀:그}에게 시작부터 당신의 겉모습을 드러냈습니다. 심지어 당신 귀에다 되고 신중하게 생각하도록 말하는것과 같았습니다. {s50},에게도 당신의 이야기는 신뢰할만 수준의 의견으로 받아들여지기 어렵습니다. 
str_persuasion_summary_average|{s50}을 섬세한 마음과 숙련되고, 사실을 밝혔을 때, 그리고 {reg51?그녀:그}의 관계에 아무런 핵심이 되는 것을 구체적으로 가져오지 없을 때. 결국, 당신의 의견은 이 토론에 맨 밑에 깔리게 될 것이다.
str_persuasion_summary_good|논쟁에 임했을때 생각을 빠르고 부드럽게, 당신의 의견을 수렴시키며,{s50}에게 몇 가지를 양보한다. 그러나, {reg51?그녀:그}는 당신의 의견에 여전히 의심스러워 할 것입니다.
str_persuasion_summary_very_good|당신은 모두가 경청하고 생각할 수 있는 인상적인 연설을 하고 모두 동의를 표했을 때. 모든 것은 조용히 당신의 의견을 경청하고 뜻대로 흘러갈 것으로 보입니다. {s50}의 세관은 깊숙히 움직여, {reg51?그녀:그}는 당신을 돕는 쪽으로 결정할 것입니다.
str_secret_sign_1|자정에 무기고에서 춤을...
str_secret_sign_2|저는 괜찮은 케이지트 테피스 트리를 판매하고 있습니다. 몇 개를 주문하시겠습니까?
str_secret_sign_3|친구의 친구가 나를 보냈습니다.
str_secret_sign_4|동쪽에서 바람이 불면 강은 붉게 물듭니다.
str_countersign_1|하지만 의상이나 촛대를 위한 춤은 추지 않으실 겁니까?
str_countersign_2|그래요, 당신은 파란색으로 가지고 있는 것은 없나요?
str_countersign_3|그러나, 내 친구, 친구의 친구 중에도 나 같은 친구는 없습니다.
str_countersign_4|아파본 적 있나요?
str_name_1|아렐
str_name_2|얼듀이니
str_name_3|버덴
str_name_4|케드문
str_name_5|써를
str_name_6|퀴너드
str_name_7|이드발
str_name_8|어스파엘
str_name_9|이프라
str_name_10|이얼프월드
str_name_11|헨지스트
str_name_12|호사
str_name_13|오서
str_name_14|티드울프
str_name_15|윅터
str_name_16|월파
str_name_17|사이니
str_name_18|커너독
str_name_19|이드너스
str_name_20|다이프리그
str_name_21|트레니
str_name_22|케드판
str_name_23|케드곤
str_name_24|라이월른
str_name_25|하이웰
str_surname_1|런드윅 {s50}
str_surname_2|돌스 씨이스터 {s50}
str_surname_3|베덴버그 {s50}
str_surname_4|케어 웬털루 {s50}
str_surname_5|이메인 마챠 {s50}
str_surname_6|씨렌 씨이스터 {s50}
str_surname_7|딘 드레이투 {s50}
str_surname_8|루시펠스 {s50}
str_surname_9|케어 로이 {s50}
str_surname_10|콜른 씨이스터 {s50}
str_surname_11|딘 어쓰 {s50}
str_surname_12|노르윅 {s50}
str_surname_13|케어 리덕 {s50}
str_surname_14|듀인 올레이 {s50}
str_surname_15|데너시즈버나 {s50}
str_surname_16|던 비세드 {s50}
str_surname_17|스와나윅 {s50}
str_surname_18|워드턴 {s50}
str_surname_19|바든 {s50}
str_surname_20|라임 엔 아이크 {s50}
str_surname_21|철저한 {s50}
str_surname_22|수척한 {s50}
str_surname_23|부드럽고 매끈한 수염의 {s50}
str_surname_24|참새 {s50}
str_surname_25|거지 {s50}
str_surname_26|상처입은 {s50}
str_surname_27|살결이 희고 금발인 {s50}
str_surname_28|완강한 {s50}
str_surname_29|붉은 {s50}
str_surname_30|검은 {s50}
str_surname_31|키가 큰 {s50}
str_surname_32|별 모양의 눈을 가진 {s50}
str_surname_33|겂없는 {s50}
str_surname_34|씩씩한 {s50}
str_surname_35|교활한 {s50}
str_surname_36|겁쟁이 {s50}
str_surname_37|똑똑한 {s50}
str_surname_38|재빠른 {s50}
str_surname_39|음유시인 {s50}
str_surname_40|용감한 {s50}
str_surname_41|불같은 {s50}
str_surnames_end|가문 종료
str_number_of_troops_killed_reg1|다음의 군사가 죽음: {reg1}명
str_number_of_troops_wounded_reg1|다음의 군사가 부상: {reg1}명
str_number_of_own_troops_killed_reg1|다음의 아군 병사가 죽음: {reg1}명
str_number_of_own_troops_wounded_reg1|다음의 아군 병사가 부상: {reg1}명
str_retreat|퇴각!
str_siege_continues|전쟁 계속...
str_casualty_display|당신의 사상자: {s10}^적의 사상자: {s11}{s12}
str_casualty_display_hp|^당신은 {reg1}의 충격으로 부상당했습니다.
str_quest_log_updated|퀘스트 로그가 갱신되었습니다.
str_banner_selection_text|당신은 깃발을 소유할 수 있게 되었습니다. 당신의 깃발은 당신의 지위를 나타내고 당신에게 명예를 가져다줄 것입니다. 어떤 깃발이 마음에 드시나요?
str_retirement_text_1|당신의 돈이 오래가지 못한다는 것을 깨닫는데 너무 오래 걸렸다. 아끼려 노력했음에도 오래가지 못했다. 그리고 모험을 다시 시작하기 위한 몇번의 무모한 시도에도 불구하고 가난한 생활을 계속하였다. 당신은 {s9}에서 완전히 거지가 되었고, 교회의 구호품과 기부금으로 살아간다.
str_retirement_text_2|당신의 돈이 오래가지 못한다는 것을 깨닫는데 너무 오래 걸렸다. 아끼려 노력했음에도 오래가지 못했다. 당신 손에서 실버가 사라질 때마다, {s9}의 뒷골목에서 범죄자의 길을 걸을 수 밖에 없었으며, 당신의 기술을 이용해 여자들과 가난한 마을사람들로부터 동전들을 훔쳐 살아간다.
str_retirement_text_3|당신의 돈이 오래가지 못한다는 것을 깨닫는데 너무 오래 걸렸다. 아끼려 노력했음에도 오래가지 못했다. 그리고 당신은 빈털터리 방랑자가 되었으며, 선술집들을 오가며 더 이상 믿는 사람도 없는 없는 전쟁이야기로 순진한 손님들을 꾀어 술이나 얻어 마시며 살아간다.
str_retirement_text_4|당신이 모아놓은 돈은 오래가지 못했지만, {s7}마을 근처 약간의 땅을 살 돈은 되었다. 그곳에서 농부가 되었고, {부인들/남편들}을 만나게 되었다. 마을 사람들은 당신을 그 지역의 영웅으로 받들게 되고 축제때마다 존경을 받게 되고 당신의 업적은 선술집들에서 계속 이야기 되어 아이들은 영원히 당신의 이야기를 기억할 것이다.
str_retirement_text_5|당신이 모아놓은 돈은 오래가지 못했지만, {s9}에 있는 작은 선술집을 사기에는 충분했다. 처음에 마을 사람들은 당신을 경계했지만 곧 당신을 받아들이게 된다.당신의 선술집은 연회장과 회담장으로 유명해지게 된다. 당신의 모험에 대한 서사시가 유명해짐에 따라 사람들은 멀리서도 식사와 잠자리를 위해 찾아오게 된다.
str_retirement_text_6|당신은 모험하는 동안 현명하게 절약하였고, 당신의 돈과 지혜를 통해 미래를 탄탄하게 할 훌륭한 투자를 하게된다. {s9}에서 몇개의 상점과 창고들을 사들인 뒤에, 당신의 통찰력은 마을에서 가장 뛰어난 상인으로 만들어 주게 되고, 곧 전투에서의 업적 만큼이나 무역 제국을 이끄는 부유한 {남자/여자}로 이름을 날리게 된다.
str_retirement_text_7|비록 작지만 땅을 가지고 있는 귀족으로 당신의 미래는 탄탄했다. {s7}에 정착하여, 마을과 땅들을 관리하고, 지역 재판에서 판결을 내리고 당신 군주에 대한 의무를 다하게 된다. 종종 당신의 군주는 당신을 소집하여 작전에 참가할 것을 명령했지만, 그것은 잠깐 이었고, 당신의 젊은날과 같이 완전히 모험의 세계로 돌아가지는 않았다. 당신은 이미 운명을 결정지었다. 당신의 집과 땅들로 개인적인 부와 만족스럽진 못하지만 당신의 땅에서의 수입등 원하는 몇가지를 가질 수 있었다.
str_retirement_text_8|당신 자신이 훌륭한 일을 해냈다는것에 의심할 여지가 없었다. 당신의 값비싼 영토들과 여행에서 쌓은 부는 당신의 여생을 편히 살수 있게 해주었다. {s8}에서 귀족의 자리에서 은퇴한뒤, 정치계에 입문했고, 당신 군주의 왕국에서 적지않은 힘을 가진 사람이 되었다. 당신 소유의 숲에서 사냥을 하고, 연회를 개최하여 수많은 전쟁이야기 들을 하며 바쁜 나날을 보냈고, 이후 몇년간 당신은 세상의 관심사였다.
str_retirement_text_9|당신의 능력과 충성에 대한 보답으로, 당신의 군주는 당신이 왕국에서 주요 귀족사회로 들어갈수 있는 세습되는 직위를 받을것이라고 공표했다. 곧 당신은 {s7}의 남작으로 임명되고, 당신 군주의 가까운 조언자이며 부관이 되었다. 당신의 명성은 정치적임 힘과 영향력을 가져다 주었다. 당신은 이제 권력 게임을 즐기고, 거대한 영지를 관리하며, 지난날의 모험과 영광을 되새기며 시간을 보내고 있다.
str_retirement_text_10|비록 당신이 보잘것없이 시작했지만, 당신의 군주는 당신을 높이 평가하였고, 당신을 세습되는 직위인 {s9}의 {백작/백작부인}으로 임명했을때 왕국에는 충격의 물결이 스쳐 지나갔다. 광대한 영지와 재물은 이제 당신의 발아래 놓였다. 당신은 빠르게 당신 군주의 가장 신임하는 조언자가 되었고, 거의 그와 동등하게 왕국을 운영하게 되었다, 그리고 Britannia 와 Hibernia의 가장 강력한 존재중의 하나로 당신의 찬란한 성에서 왕좌에 앉게 되었다.
str_loot_village|무고한 시민을 공격
str_steal_from_villagers|가난한 주민을 약탈
str_rob_caravan|상단을 습격
str_sell_slavery|노예 매매
str_men_hungry|군량 부족
str_men_unpaid|임금 체불
str_excessive_casualties|다수의 아군 사상자
str_surrender|적에게 항복
str_flee_battle|전투에서 도주
str_pay_bandits|도적과 거래
str_fail_quest|임무를 실패
str_trechery|휴전 상대를 공격
str_missed_duel_npc|결투 신청에 실패
str_squander_money|믿고 준 돈을 탕진
str_murder_merchant|냉혈한 살인에 참여
str_round_up_serfs|귀족들을 위해 노예 거래
str_battle_fate_1|전쟁의 열기에서 분리됨
