dlga_event_triggered:upgrade_talk|네? {s65}?
dlga_start:archer_talk|좋은 하루되시길, 젊은 친구. 나는 궁술 훈련을 원하는 이들에게 내 시간을 할애하고 있다오. 만약 당신이 지도를 원한다면, 나에게 알려주시오. 그럼 내가 활과 석궁, 자벨린에 대해 지도해드리리다.
dlga_archer_talk:archer_challenge|예, 원거리 무기를 어떻게 쓰는지 보여주십시오.
dlga_archer_talk:close_window|아니요, 아직 아닙니다.
dlga_archer_challenge:archer_challenge_2|좋소, 첫번째 훈련은 궁술 훈련소에서 이루어질 것이오. 활은 익히기에 어려운 무기지만 충분히 익힌다면, 당신은 빠르고 강하게 목표를 맞출 수 있소. 활과 화살을 잡고 저기 있는 목표물을 맞추시오.
dlga_archer_challenge_2:close_window|좋아요, 준비됐습니다!
dlga_archer_challenge_2:close_window.1|잠깐만요, 다른 걸 해보고 싶습니다.
dlga_start:horseman_melee_challenge_2|말 타기를 즐기길 바라오. 이제 우린 좀 더 어려운 것을 배울 것이오. 저기 보이는 창을 잡고 목표물 주변을 돌면서 적어도 한 번 이상 목표물을 공격해보시오.
dlga_start:horseman_melee_challenge_2.1|멋지군! 당신은 말 위에서 적을 공격하는 법을 배웠소. 그건 초보자들에게 쉬운 일이 아니오. 당신은 이제 활과 화살로 목표를 공격하는 법을 배우게 될 것이오. 당신의 성공을 고려해서 각 목표물을 화살로 맞춰보시오.
dlga_start:horsemanship_end|아주 잘했소. 당신은 이제 말 위에서 적을 활로 쏠 수 있을 것이오. 매일 연습한다면 당신은 말타기의 전문가가 될 것이오.
dlga_horsemanship_end:close_window|이제, 만약 하지 않았다면 근접전 교관이나 궁술 교관에게 가보시오. 당신은 자신을 지키기 위해 배울 수 있는 것을 모두 배워야 할 것이오.
dlga_start:horseman_talk|좋은 날이군! 난 여기에 승마 연습을 하러 왔는데, 내 늙어빠진 뼈가 심하게 쑤셔서 오늘은 그냥 쉬기로 했소. 만약 승마를 배우고 싶다면, 여기서 내 말을 타시오. 당신의 연습은 아마 그 말에게도 좋을 것 같소.
dlga_horseman_talk:horseman_challenge|네, 승마 연습을 하고 싶습니다.
dlga_horseman_talk:close_window|음. 아무래도 나중에 해야겠습니다.
dlga_horseman_challenge:horseman_melee_challenge_2|좋소. 이제, 당신에게 승마와 말 위에서 무기 쓰는 법을 알려드리겠소. 첫 번째는 간단하오. 그냥 말을 타고 코스를 돌기만 하면 되오. 빠르게든 느리게든 당신이 원하는 데로 달리시오. 충분하다고 생각하시면 나에게 와서 좀 더 어려운 연습을 할 수 있소.
dlga_horseman_melee_challenge_2:close_window|알겠습니다. 전 준비됐습니다.
dlga_horseman_melee_challenge_2:close_window.1|잠시만요. 다른 걸 먼저 하고 싶습니다.
dlga_tutorial_troop_default:close_window|이보시오, 난 여기서 연습 중이잖소. 원거리 무기를 지도받고 싶다면 궁술 교관에게 가서 말을 걸어보시오.
dlga_start:lord_prison_break_confirm_3|계획에 변화가 있나요?
dlga_start:lord_prison_break|무슨 일이오?
dlga_start:drunk_response|네놈이 {playername}인가.
dlga_start:drunk_response.1|네놈이 {playername}인가.
dlga_player_duel_response:close_window|어떤 놈이 보낸거지...
dlga_player_duel_response:close_window.1|죽을 뻔 했군.
dlga_drunk_response:drunk_fight_start|맞는데 왜 나를 찾지?
dlga_drunk_response:drunk_fight_start.1|아닌데요.
dlga_drunk_fight_start:close_window|그렇다면 죽어라!
dlga_drunk_response:drunk_player_high_renown|날 공격하고도 네가 무사할 수 있을까?
dlga_drunk_player_high_renown:drunk_fight_start|그건 나중에 생각하도록 하지.
dlga_drunk_player_high_renown:drunk_player_high_renown|...의뢰는 중요하지만 내가 죽어서야 의미가 없겠지. {playername}. 운이 좋군.
dlga_drunk_player_high_renown:drunk_fight_start.1|운동삼아 널 죽여보는 것도 괜찮을 것 같군!
dlga_drunk_player_high_renown:close_window|내 앞에서 사라져.
dlga_start:fistfight_response|당신은 몇 가지 곤란한 점을 가지고 있고, 그것을 나누고 싶어하는 {친구/부인}같군요. 나에게 사업상의 제안이 있습니다.
dlga_fistfight_response:fistfight_response_2|어때?
dlga_fistfight_response_2:fistfight_response_2a|좋아요. 당신이 관심있어 하는것 같아 기쁘군요. 여기 계획이에요... 조금 복잡하긴하지만 잘 듣고 있군요. 
dlga_fistfight_response_2a:fistfight_response_3|당신과 여기 다른 친구들이 여기서 무기와 갑옷 없이 싸움을 시작하세요. 내가 여기 뒤에 앉아서 돈을 걸고, 그 이득을 승리자와 나누겠소. 만약 우리가 진다면, 내가 손실을 담당하리다. 당신은 어떤 손해도 없을거요. 물론 약간의 피흘린 것을 제외한다면...
dlga_fistfight_response_3:fistfight_response_4|모든 사람이 벌써부터 돈을 거는 저 멋진 경기장에서의 한판 승부를 우리가 열지 못하겠지만, 사람들이 소음에 이끌려 걸어와 한 두푼을 자기가 이길 거라 생각하는 사람에 걸게 될 것이오. 물론 당신들 둘 중에 하나겠지. 나는 그들에게 '공정한' 배당을 줄 것이오. 하긴 이미 맥주 3병을 마신 사람에게는 그 어떤 일도 너무 교묘해서 알아차리기 힘들겠지.
dlga_fistfight_response_4:fistfight_response_4a|그래서, 당신도 알겠지만, 이 속임수는 당신이 지고 있다고 가능한한 오래 보이게 만드는데 있지, 사람들은 상대방에게 걸게 될 거고, 그렇게 되면 빠르게 상황을 역전시켜 승리하는 거지, 배당이 역전되기 전에 말이야. 최고로 많이 돈을 버는 법은 당신이 거의 바닥에 널부러졌을 때, 뛰어올라 상대방을 발로 걷어차버리는 거야. 그렇게 승리하면 돈을 벌게 되는거지.
dlga_fistfight_response_4a:fistfight_response_5|또한, 싸움을 최대한 오래 지속시키야지, 그렇지 않으면 사람들이 의심할 걸. 그래서, 당신들 중 누구라도 주먹을 맞고 피를 약간 흘려줘야 해, 난 누구의 피라도 신경쓰진 않지만...
dlga_fistfight_response_5:fistfight_response_5a|그리고 좀 다른 얘기지만 당신의 적, 그가 혼란에 빠지지 않고, 당신에게 곧바로 온다면! 그 때가 당신의 예술적 수완이 필요한 때지.
dlga_fistfight_response_5a:fistfight_response_confirm|그래, 어떻게 생각하시오?
dlga_fistfight_response_confirm:close_window.1|내게는 더 좋은 다른 일이 있군요.
dlga_oim_tracai_monk_talk_quest_ended:close_window|꺼져. 내가 맥주마실땐 건들지 말라고...
dlga_start:ramun_introduce_1|안녕하신가, {젊은이/아가씨}.
dlga_ramun_introduce_1:ramun_introduce_2|실례요만, 상인처럼 보이시는데 상품은 전혀 보이지가 않는군.
dlga_ramun_introduce_1:close_window|아무것도 아니오.
dlga_ramun_introduce_2:ramun_introduce_3|상인, 아 그렇지, 난 의심할 여지 없이 상인이야. 하지만 내가 취급하는 것들은 대부분의 것들과는 다르지. 하루 두끼 식사를 먹여줘야 하고 물도 줘야하지. 또, 내가 안 보는 사이에 달아나려고까지 한다네.
dlga_ramun_introduce_3:ramun_introduce_4|가축이오?
dlga_ramun_introduce_4:ramun_introduce_5|거의 맞췄군. 나는 내가 이 세상 모든 배들을 움직인다고 말하곤 하지. 노를 저어서 움직이는 배들 말이야. 노를 저을 사람들이 없다면, 배들이 다 멈춰 버릴 것 아닌가?
dlga_ramun_introduce_5:ramun_introduce_6|노젓는 노예들이군.
dlga_ramun_introduce_6:ramun_introduce_7|이제야 맞췄군! 이곳같은 무역항은 노예들 없이는 살아갈 수가 없다네. 매 항해마다 노예들을 조금씩 잃다보니, 늘 수요가 많거든. 선장들은 내게 와서 좋은 값에 사가지.
dlga_ramun_introduce_7:ramun_introduce_8|노예들은 어디서 오는 것이오?
dlga_ramun_introduce_8:ramun_introduce_9|대부분은 관헌에서 사오는 유죄판결된 범죄자들이야. 다른이들은 다양한 국가에서 온 전쟁포로들인데, 내가 값을 제일 잘 쳐주기 때문에 나에게로 데려와지지. 특별한 경우엔 사략선이나 다른... '개인'에게서 사기도 한다네. 뭘 그리 법석을 떠나. 이 바닥이 다 그래. 자네 혹시 포로 생길 일 없나?
dlga_ramun_introduce_9:ramun_introduce_10|나? 
dlga_ramun_introduce_10:ramun_introduce_11|왜 자네라고 안될일 있나? 자네가 이 마을에서 나가면, 곧 어떤 사람들이랑 싸움이 생기게 되어있어. 그리고 뭐... 아마 이기겠지? 그렇다면 돈을 조금만 더 벌 수 있다구. 그 녀석들을 생포해서 가지고 오면, 내가 한 명당 50 실버에 사주지. 그 녀석들이 어디서 뭘 하던 놈들인지는 상관 안해.
dlga_ramun_introduce_11:ramun_introduce_12|음... 생각해 보겠소.
dlga_ramun_introduce_12:close_window|그럼, 그럼! 물론 생각해봐야지. 세상에 널린 게 돈이야. 우리가 쓰기에 넘칠 정도지.
dlga_start:ramun_talk|안녕하시오, {playername}.
dlga_ramun_pre_talk:ramun_talk|다른 용건이라도?
dlga_ramun_talk:ramun_sell_prisoners|에도메어씨, 포로들을 좀 데려왔는데. 한번 보시겠오?
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|음... 어디보자...
dlga_ramun_sell_prisoners_2:close_window|자네와 거래하는 것은 늘 좋군, 그래.
dlga_ramun_talk:ramun_ask_about_capturing|어떻게 하면 사람을 포로로 잡을 수 있소?
dlga_ramun_talk:ramun_ask_about_capturing.1|포로를 어떻게 잡느지 다시한번 말해 보시겠소?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|음... 자네 이런 것은 처음이구만? 좋아, 내가 좀 쉽게 설명해주지. 자네 곤봉이나 메이스같은 둔기류의 무기 있지? 그런걸로 적들을 기절시키라고. 칼로 베어 죽여버리면 노예로 쓸 수가 없잖나.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|물론.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|음... 둔기가 없는데?
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|잘 됐네. 그럼 그냥 나가서 두들겨 눕히게. 그 다음, 쇠고랑에 채워서 나한테 데리고 오면 되는거지. 뭐... 귀족들은 워낙 갑옷을 잘 입고 있어서 아무거나로 때려도 기절하지만, 보통 놈들을 칼 같은 것으로 베면 피를 철철 흘리거든. 내가 노예로 사는 놈들을 깐깐하게 고르진 않지만, 적어도 숨은 쉬는 놈들이었으면 좋겠네.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|없다구? 뭐, 오늘 자네 운이 좀 좋군. 마침 내가 버릴려고 한 곤봉이 하나 있는데... 좀 낡았지만 아직 쓸만할 거야. 그걸 자네한테 주지.Aethelmaer
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|고맙소, Aethelmaer씨. 한번 해보지.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|좋아, 내가 다시 한번 설명해주지. 자네 곤봉이나 메이스같은 둔기류의 무기 있지? 그런걸로 적들을 기절시키라고. 칼로 베어 죽여버리면 노예로 쓸 수가 없잖나. That way he goes to sleep for a little while rather than bleeding to death, you see? It's a bit different for nobles and such, they tend to be protected enough that it won't matter what kind of weapon you use, but your average rabble-rouser will bleed like a stuck pig if you get him with something sharp.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|음... 알 것 같군요.
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|뭐... 사실 그렇게 딱 알만큼 쉬운 일도 아니지. 둔기류의 무기들은 다른 무기들보다 데미지를 적게 준다고. 자네가 이 주변 도적들과 만났을 때, 뭐 누가 곤봉 쓴다고 봐줄 줄 알아? 잘못하면 오히려 니가 잡힌다고. 또, 포로로 잡힌 녀석들은 자네의 이동 속도도 감소시킨다네. 그 이유 때문에 많은 사람들이 전투 후에 포로들을 그냥 놓아주기도 하고 말이야. 그 아까운 걸... 그게 다 돈인데...
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|그렇군요. 이제 다 된거죠?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|마지막으로 하나만 말해주지. 잡은 포로들을 관리하는 것도 결코 쉬운 일이 아니라네. 여러 명의 포로들을 한꺼번에 관리하는 것, 그것도 다 기술이야. 기술이 없다면 포로를 한 명도 못 잡을 것일세.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|그렇군요. 감사합니다.
dlga_ramun_talk:ramun_leave|이제 그만 가봐야겠어요.
dlga_ramun_leave:close_window|자네, 다음에도 포로를 잡으면 꼭 나에게 데려오게!
dlga_start:close_window.3|미천한 이몸이 감히 요청드리는데 거기 나으리 두 손을 내가 볼 수 있도록 두시지.
dlga_start:manhunter_talk_b|이봐, 자네! 이 부근에 무법자들을 본 적 없나?
dlga_manhunter_talk_b:manhunter_talk_b1|아... 네, 조금 전에 이쪽으로 가던데요.
dlga_manhunter_talk_b1:close_window|내가 그럴 줄 알았어! 여러분 갑시다! 이 망할 놈들을 다 잡아 패자구요!
dlga_manhunter_talk_b:manhunter_talk_b2|아뇨... 최근엔 본 적이 없습니다.
dlga_manhunter_talk_b2:close_window|쳇, 다들 쥐새끼처럼 숨었군. 두고보시오. 우리가 하나하나 찾아낼테니까.
dlga_manhunter_talk_b:manhunter_talk_b3|내가 잡은 놈들의 현상금을 받고 싶소만.
dlga_manhunter_talk_b3:close_window|여기 당신의 현상금이오. 난 이제 다른곳에서 도둑놈들이나 잡으러 가봐야겠소.
dlga_manhunter_talk_b:manhunter_talk_b4|내 생각엔 자네가 무법자 같은데.. 내게서 도망칠 준비나 하시지.
dlga_manhunter_talk_b4:close_window|감히! 죽을 준비나 해라.
dlga_manhunters_attack_1:manhunters_attack_2|{s4}
dlga_manhunters_attack_2:close_window|한번해보자, 사기꾼!
dlga_manhunters_attack_2:close_window.1|등짝에 칼을 쑤셔주지 개자식.
dlga_looters_1:looters_2|{s4}
dlga_looters_2:close_window|내가 겁먹은 줄 아나? 너야말로 쫄지 말고 덤벼봐!
dlga_looters_2:close_window.1|내가 자네에게 줄건 나의 칼 밖엔 없소.
dlga_start:village_farmer_talk|저희는 {s11}에서 온 가난한 농부들일 뿐입니다요. {reg1?저희 물품들을 {s12}에 있는 시장에 갖다 팔려구요.:{s12}에 있는 시장에 물건을 팔고 마을로 돌아오는 길입니다.}
dlga_village_farmer_talk:farmer_bandit_information|저는... 이러한 모습을 한 도적 떼를 추적 중인데, 그들을 본 적이 있습니까?
dlga_farmer_bandit_information:village_farmer_talk|{s15}
dlga_village_farmer_talk:close_window|흠... 일단 자네 물건들을 뺏어보고 난 뒤에 얼마나 가난한지 이야기해보자고.
dlga_village_farmer_talk:close_window.1|그렇군, 그럼 잘 가게.
dlga_start:relikwias|자네가 이겼어...내 전사들은 모두 전장에서 쓰러졌소, 이제 그들은 다시 싸움에 복귀할 수 없겠지. 그들은 죽어서도 브리소닉의 부인 아버지 그리고 자식들을 찾을 것이오 그래야 영원한 안식에 잠들 수 있겠지. 내 상처가 심각하군..죽음이 느껴지네 ...
dlga_relikwias:relikwia2s|내가 당신을 돕게 해주시오.
dlga_relikwia2s:relikwia3s|그저 고맙네 자네 덕에 전사로써 죽을 수 있게 되었네. 전장에서 그의 적군 칼에 찔려 죽는다라..
dlga_relikwia3s:close_window|-오만가지 감정이 당신을 감쌌고, 당신은 그의 영혼이 안식에 잠길수 있도록 그의 목을 잘랐다. -
dlga_start:order21|넌 계속 여관에 머물렀어야 했어.
dlga_order21:order31|누군가는 반드시 당신을 멈추어야만 해!
dlga_order31:order41|이미 너무 늦었어. 나의 신, Erudino님께서 피를 원하신다. 그리고 나 카도 역시 원하고 내가 온 나라를 지배할 왕이 될것이다.
dlga_order41:close_window|그렇다면 시작하지.
dlga_order2:close_window|행운을 비네.
dlga_start:pj_talk|무엇을 원하는 겁니까?
dlga_npc18_pretalk:pj_talk|네?
dlga_pj_talk:close_window|신경쓰지 마시오 곧 떠날것이오.
dlga_pj_talk:pj_talk2|당신은 누구요? 프랑스 사람도 영국 사람도 아닌 것 같은데.
dlga_pj_talk2:pj_talk3|그렇소 난 리투아니아 인이오. 나의 고향 리투아니아는 폴란드의 북동 쪽에 위치하고 있소.
dlga_pj_talk3:pj_talk4|오 난 당신 이야기가 듣고 싶어지는군. 같이 한잔 하겠습니까?. 종업원!!
dlga_pj_talk4:pj_talkcado|나의 가족은 리투아니아의 카우나스에 살았었지. 하지만 어느날 튜턴기사단이 우리의 신앙을 빌미로 군대를 끌고 왔네. 우린 용감하게 싸웠지만 놈들은 수도 많고 강했지. 결국 우리 고향은 완전히 적의 수중에 떨어졌네.
dlga_pj_talkcado:pj_talk5|우린 리투아니아 군은 힘을 키우기 위해 여러곳을 떠돌며 용병활동을 했지. 이젠 규모가 제법 커졌어. 그리고 얼마전 한가지 정보를 입수했지. 그것은 튜턴기사단이 우리 고향을 짓밟도록 만든자가 바로 게르만의 황제라는 것이지! 더는 참을 수 없어 나 또한 놈들의 백성들을 죽이고 강간하고 불태울태다. 그러기 위해 우리는 이곳 파리에 당도한거지. 전혀 예상치 못한 곳에서 진군하면 놈들의 마을을 쉽게 불태울 수 있을테니.
dlga_pj_talk3:close_window|지루할것 같군 잘 있게.
dlga_pj_talk5:pj_talk6|백성들을 죽인다? 그렇다면 내가 당신 모두를 죽일것이오.
dlga_pj_talk5:pj_talk6.1|당신은 완전히 미쳤어.
dlga_pj_talk5:pj_talk71|당신은 완전히 미쳤어.
dlga_pj_talk6:cado_bye|흥! 누가 우릴 막지? 아무도 우릴 막지는 못해!
